"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"499","PRLR","227629_at",5.05e-37,3.61e-39,-17.3,78.5021334,-2.7,"prolactin receptor","227629_at",0.221,0.00250956,-3.38,-3.08522,-1.1,"prolactin receptor","231981_at",0.00396,0.00129,-3.6148093,-1.631101,-0.60631589,"prolactin receptor"
"500","PRRG4","238513_at",9.79e-16,7.67e-17,9.29,27.393442,0.863,"proline rich and Gla domain 4","207291_at",0.255,0.00507311,3.09,-3.7651,0.941,"proline rich and Gla domain 4","238513_at",0.00111,0.000288,-4.1946031,-0.17488,-0.76136956,"proline rich and Gla domain 4"
"501","PRSS27","232074_at",6.76e-66,1.61e-69,30,147.8348598,5.86,"protease, serine 27","232074_at",0.488,0.04451864,2.12,-5.79273,1.35,"protease, serine 27","232074_at",0.0145,0.00588,3.0047093,-3.083452,1.56082312,"protease, serine 27"
"502","PRSS53","214226_at",3.04e-26,7.41e-28,13.2,52.5835651,1.96,"protease, serine 53","214226_at",0.266,0.00667065,2.98,-4.02725,1.94,"protease, serine 53","214226_at",0.0201,0.0086,2.8459916,-3.441574,0.63235696,"protease, serine 53"
"503","PSMB10","202659_at",2.08e-17,1.35e-18,9.93,31.395954,1.09,"proteasome subunit beta 10","202659_at",0.367,0.01887759,2.52,-5.00831,0.745,"proteasome subunit beta 10","202659_at",2.65e-08,5.7e-10,9.6026981,12.900013,1.48489402,"proteasome subunit beta 10"
"504","PTAFR","227184_at",3.57e-39,1.98e-41,18.1,83.6819449,2.53,"platelet activating factor receptor","206278_at",0.195,0.00122525,3.68,-2.38547,1.14,"platelet activating factor receptor","227184_at",5.14e-07,2.69e-08,7.8670731,9.051648,1.14342573,"platelet activating factor receptor"
"505","PTCH1","209815_at",1.7e-16,1.23e-17,-9.58,29.2071081,-0.792,"patched 1","209815_at",0.255,0.00487078,-3.11,-3.72601,-0.69,"patched 1","209815_at",5.92e-05,9.03e-06,-5.519241,3.246066,-0.72366302,"patched 1"
"506","PTGS1","205127_at",0.00114,0.000374,-3.63,-1.1716018,-0.802,"prostaglandin-endoperoxide synthase 1","205128_x_at",0.497,0.04710007,2.1,-5.84321,0.809,"prostaglandin-endoperoxide synthase 1","205128_x_at",2.26e-06,1.75e-07,-7.0828195,7.180442,-1.05811206,"prostaglandin-endoperoxide synthase 1"
"507","PTGS2","204748_at",0.00127,0.00042,3.6,-1.2802307,0.854,"prostaglandin-endoperoxide synthase 2","204748_at",0.502,0.04847284,2.08,-5.86888,1.18,"prostaglandin-endoperoxide synthase 2","204748_at",0.00351,0.00112,3.6710439,-1.492414,1.22179571,"prostaglandin-endoperoxide synthase 2"
"508","PTPN22","206060_s_at",5.23e-15,4.43e-16,9.01,25.6579484,1.72,"protein tyrosine phosphatase, non-receptor type 22","236539_at",0.323,0.01304947,2.69,-4.66319,0.717,"protein tyrosine phosphatase, non-receptor type 22","208010_s_at",9.21e-10,4.55e-12,12.0708181,17.688385,1.84752058,"protein tyrosine phosphatase, non-receptor type 22"
"509","PTPRC","207238_s_at",1.1e-07,2.13e-08,5.88,8.2366382,1.06,"protein tyrosine phosphatase, receptor type C","212588_at",0.368,0.01900316,2.52,-5.01447,1.49,"protein tyrosine phosphatase, receptor type C","1569830_at",1.09e-06,6.93e-08,7.4666707,8.106143,1.82849846,"protein tyrosine phosphatase, receptor type C"
"510","PWAR6","226591_at",2.29e-10,3.28e-11,-7.1,14.5861635,-1.44,"Prader Willi/Angelman region RNA 6","226591_at",0.271,0.00723801,-2.94,-4.10514,-1.09,"Prader Willi/Angelman region RNA 6","226591_at",0.000593,0.000137,-4.4803445,0.558213,-0.67594733,"Prader Willi/Angelman region RNA 6"
"511","PXMP4","219428_s_at",2.18e-22,8.05e-24,11.8,43.3433042,1.84,"peroxisomal membrane protein 4","238746_at",0.402,0.02494028,-2.4,-5.26592,-0.585,"peroxisomal membrane protein 4","238746_at",0.00027,5.46e-05,-4.8300655,1.462215,-1.01957994,"peroxisomal membrane protein 4"
"512","RAB27A","209514_s_at",2.09e-49,3.14e-52,22.3,108.3997033,4.74,"RAB27A, member RAS oncogene family","210951_x_at",0.45,0.03542964,2.23,-5.58674,0.961,"RAB27A, member RAS oncogene family","209514_s_at",1.2e-07,4.16e-09,8.6851116,10.916629,1.41752112,"RAB27A, member RAS oncogene family"
"513","RAB31","217763_s_at",3.21e-27,7.01e-29,13.6,54.9292375,2.63,"RAB31, member RAS oncogene family","217763_s_at",0.159,0.00051746,4.02,-1.53658,0.982,"RAB31, member RAS oncogene family","217763_s_at",2.68e-09,2.27e-11,11.2084336,16.10178,1.52772275,"RAB31, member RAS oncogene family"
"514","RAC2","213603_s_at",1.19e-15,9.4e-17,9.26,27.1924782,1.21,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)","213603_s_at",0.255,0.00516423,3.09,-3.78219,1.1,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)","207419_s_at",4.65e-09,5.06e-11,10.793886,15.306888,1.80855952,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)"
"515","RALA","214435_x_at",1.1e-37,7.32e-40,17.5,80.0895336,1.64,"RALA Ras like proto-oncogene A","214435_x_at",0.262,0.00604689,3.02,-3.9334,0.61,"RALA Ras like proto-oncogene A","214435_x_at",8.96e-06,9.35e-07,6.4060345,5.505951,0.68989642,"RALA Ras like proto-oncogene A"
"516","RARRES2","209496_at",4.08e-07,8.51e-08,-5.6,6.8883651,-0.787,"retinoic acid receptor responder 2","209496_at",0.333,0.01431629,-2.65,-4.75015,-0.939,"retinoic acid receptor responder 2","209496_at",2.93e-08,6.53e-10,9.538034,12.763984,2.05275595,"retinoic acid receptor responder 2"
"517","RBM26-AS1","1568807_a_at",3.24e-13,3.35e-14,-8.29,21.3776718,-1.36,"RBM26 antisense RNA 1","233021_at",0.446,0.03438737,-2.25,-5.55963,-0.624,"RBM26 antisense RNA 1","1568807_a_at",0.0039,0.00126,-3.6225337,-1.61209,-0.67072074,"RBM26 antisense RNA 1"
"518","RBPMS","207837_at",3.37e-11,4.38e-12,-7.46,16.5699182,-1.21,"RNA binding protein with multiple splicing","209487_at",0.331,0.01401816,-2.66,-4.73041,-0.616,"RNA binding protein with multiple splicing","209488_s_at",9.24e-07,5.61e-08,7.5551632,8.316909,0.94544188,"RNA binding protein with multiple splicing"
"519","RERGL","220276_at",2.23e-19,1.16e-20,-10.7,36.1168638,-2.15,"RERG like","220276_at",0.344,0.01550718,-2.61,-4.82495,-1.38,"RERG like","220276_at",0.00116,0.000303,-4.1758299,-0.222779,-1.73452844,"RERG like"
"520","RGS1","202988_s_at",6.59e-35,5.87e-37,16.5,73.4358763,4.01,"regulator of G-protein signaling 1","216834_at",0.288,0.00884493,2.86,-4.29586,1.88,"regulator of G-protein signaling 1","202988_s_at",0.000149,2.71e-05,5.0975959,2.155562,1.98407844,"regulator of G-protein signaling 1"
"521","RHOF","219045_at",8.51e-14,8.27e-15,8.53,22.7613276,1.33,"ras homolog family member F, filopodia associated","219045_at",0.196,0.00133803,3.64,-2.47175,0.6,"ras homolog family member F, filopodia associated","222812_s_at",7.02e-06,6.97e-07,6.5233661,5.799832,0.9533192,"ras homolog family member F, filopodia associated"
"522","RIT1","209882_at",3.08e-41,1.27e-43,18.9,88.7021676,3.35,"Ras like without CAAX 1","209882_at",0.416,0.02767684,2.35,-5.36154,1.08,"Ras like without CAAX 1","209882_at",2.99e-08,6.72e-10,9.5248138,12.736104,1.02315517,"Ras like without CAAX 1"
"523","RNASE4","213397_x_at",1.43e-39,7.37e-42,-18.3,84.6631709,-1.21,"ribonuclease A family member 4","213397_x_at",0.211,0.00198312,-3.48,-2.85616,-0.673,"ribonuclease A family member 4","205158_at",0.00132,0.000353,-4.1166715,-0.373459,-0.70784752,"ribonuclease A family member 4"
"524","RNF128","219263_at",2.64e-16,1.94e-17,-9.51,28.7549967,-1.28,"ring finger protein 128, E3 ubiquitin protein ligase","219263_at",0.229,0.00278265,-3.34,-3.18548,-1.07,"ring finger protein 128, E3 ubiquitin protein ligase","219263_at",1.68e-07,6.47e-09,-8.488509,10.476717,-1.79215744,"ring finger protein 128, E3 ubiquitin protein ligase"
"525","RNF144B","235549_at",6e-13,6.39e-14,8.18,20.7403605,1.35,"ring finger protein 144B","239704_at",0.307,0.01106927,2.76,-4.50819,0.763,"ring finger protein 144B","235549_at",0.0192,0.00816,2.868025,-3.392441,0.59453529,"ring finger protein 144B"
"526","RNF19B","36564_at",6.49e-21,2.85e-22,11.3,39.7998315,1.13,"ring finger protein 19B","36564_at",0.323,0.01292823,2.69,-4.65442,0.89,"ring finger protein 19B","36564_at",0.000366,7.79e-05,4.6943512,1.110851,0.74235005,"ring finger protein 19B"
"527","RNF213","233880_at",8.13e-06,1.98e-06,4.93,3.834299,0.618,"ring finger protein 213","230000_at",0.482,0.04293267,2.14,-5.76016,0.633,"ring finger protein 213","232155_at",1.71e-05,2.05e-06,6.095338,4.721317,1.04341286,"ring finger protein 213"
"528","RORC","228806_at",2.68e-49,4.06e-52,-22.3,108.1427674,-1.92,"RAR related orphan receptor C","228806_at",0.254,0.00483543,-3.11,-3.71901,-1.34,"RAR related orphan receptor C","228806_at",2.99e-05,4.01e-06,-5.8336654,4.054065,-1.33695779,"RAR related orphan receptor C"
"529","RPS6KA6","228503_at",7.92e-06,1.93e-06,-4.93,3.8615868,-0.613,"ribosomal protein S6 kinase A6","228503_at",0.243,0.00390054,-3.2,-3.51214,-0.659,"ribosomal protein S6 kinase A6","220738_s_at",0.000337,7.05e-05,-4.7325653,1.209736,-0.7926924,"ribosomal protein S6 kinase A6"
"530","RRAGD","221523_s_at",2.17e-11,2.76e-12,-7.54,17.0261858,-1.03,"Ras related GTP binding D","221523_s_at",0.231,0.00294113,-3.32,-3.23918,-0.683,"Ras related GTP binding D","221523_s_at",0.000406,8.79e-05,-4.6483143,0.991791,-0.61324281,"Ras related GTP binding D"
"531","RRM2","209773_s_at",5.31e-46,1.28e-48,20.9,100.1384917,4.99,"ribonucleotide reductase regulatory subunit M2","209773_s_at",0.311,0.01155497,2.74,-4.5487,2.3,"ribonucleotide reductase regulatory subunit M2","209773_s_at",0.000205,3.94e-05,4.9541739,1.783831,1.22537008,"ribonucleotide reductase regulatory subunit M2"
"532","RSAD2","213797_at",1.82e-39,9.56e-42,18.2,84.405198,5.42,"radical S-adenosyl methionine domain containing 2","242625_at",0.503,0.0490393,2.08,-5.87925,1.13,"radical S-adenosyl methionine domain containing 2","213797_at",1.69e-06,1.2e-07,7.2367824,7.553947,1.74893325,"radical S-adenosyl methionine domain containing 2"
"533","RTP4","219684_at",2.26e-44,6.86e-47,20.2,96.1838264,4.1,"receptor transporter protein 4","219684_at",0.398,0.02392341,2.42,-5.22758,1.65,"receptor transporter protein 4","219684_at",2.42e-08,5.05e-10,9.6601235,13.020343,1.47769866,"receptor transporter protein 4"
"534","S100A12","205863_at",3.31e-84,6.06e-89,40.6,191.7651815,9.8,"S100 calcium binding protein A12","205863_at",0.448,0.03512121,2.24,-5.5788,2.26,"S100 calcium binding protein A12","205863_at",6.62e-05,1.03e-05,5.4671137,3.111589,3.11453203,"S100 calcium binding protein A12"
"535","S100A7A","232220_at",1.13e-67,2.47e-71,30.9,151.9540474,8.22,"S100 calcium binding protein A7A","232170_at",0.355,0.01693282,2.57,-4.90709,3.17,"S100 calcium binding protein A7A","232170_at",0.00105,0.000268,4.2231559,-0.101957,3.29964061,"S100 calcium binding protein A7A"
"536","SAMD9","219691_at",3.11e-58,1.42e-61,26.3,129.7384554,5.1,"sterile alpha motif domain containing 9","228531_at",0.503,0.04910922,2.08,-5.88052,0.919,"sterile alpha motif domain containing 9","228531_at",3.79e-07,1.83e-08,8.0336166,9.438677,1.37613361,"sterile alpha motif domain containing 9"
"537","SAMD9L","226603_at",2.66e-23,8.87e-25,12.1,45.5351765,2.33,"sterile alpha motif domain containing 9 like","226603_at",0.381,0.02120857,2.47,-5.11631,0.788,"sterile alpha motif domain containing 9 like","226603_at",2.26e-07,9.37e-09,8.3248796,10.10656,1.52697555,"sterile alpha motif domain containing 9 like"
"538","SAMHD1","204502_at",6.92e-14,6.64e-15,8.56,22.9786776,1.63,"SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1","1559882_at",0.14,0.00034101,4.19,-1.12342,1.46,"SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1","204502_at",8.29e-05,1.35e-05,5.3643399,2.846112,1.02262602,"SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1"
"539","SAMSN1","220330_s_at",4.84e-28,9.5e-30,13.9,56.917562,3.32,"SAM domain, SH3 domain and nuclear localization signals 1","220330_s_at",0.258,0.00564788,3.05,-3.86804,1.87,"SAM domain, SH3 domain and nuclear localization signals 1","1555638_a_at",4.33e-10,1.31e-12,12.7716287,18.91424,2.36015927,"SAM domain, SH3 domain and nuclear localization signals 1"
"540","SBNO2","204166_at",1.91e-25,5.05e-27,12.9,50.6749101,1.78,"strawberry notch homolog 2","204166_at",0.184,0.00095402,3.78,-2.13982,0.776,"strawberry notch homolog 2","204166_at",0.000549,0.000125,4.514369,0.645917,0.94779049,"strawberry notch homolog 2"
"541","SCARB1","1552256_a_at",4.27e-06,1.01e-06,-5.08,4.4898596,-0.703,"scavenger receptor class B member 1","1552256_a_at",0.307,0.01100384,-2.76,-4.50259,-0.628,"scavenger receptor class B member 1","232421_at",0.016,0.0066,-2.9566016,-3.193007,-0.59842274,"scavenger receptor class B member 1"
"542","SCIN","1552365_at",7.79e-26,1.97e-27,-13.1,51.6123981,-2.54,"scinderin","1552365_at",0.235,0.00308957,-3.3,-3.28687,-1.33,"scinderin","1552367_a_at",6.87e-05,1.08e-05,-5.4512626,3.070672,-1.14189221,"scinderin"
"543","SCN7A","228504_at",1.43e-22,5.16e-24,-11.9,43.7853427,-2.08,"sodium voltage-gated channel alpha subunit 7","228504_at",0.349,0.01626784,-2.59,-4.8697,-1.69,"sodium voltage-gated channel alpha subunit 7","228504_at",0.000924,0.000231,-4.279721,0.042751,-1.67815615,"sodium voltage-gated channel alpha subunit 7"
"544","SCO2","205241_at",2.72e-37,1.9e-39,17.4,79.1403747,3.17,"SCO2 cytochrome c oxidase assembly protein","205241_at",0.229,0.00281019,3.34,-3.19503,1.19,"SCO2 cytochrome c oxidase assembly protein","205241_at",0.00111,0.000285,4.1983543,-0.165304,0.77266244,"SCO2 cytochrome c oxidase assembly protein"
"545","SCUBE3","217600_at",1.58e-09,2.48e-10,-6.73,12.597659,-0.892,"signal peptide, CUB domain and EGF like domain containing 3","228407_at",0.379,0.02083565,-2.48,-5.09988,-1.45,"signal peptide, CUB domain and EGF like domain containing 3","217600_at",0.0132,0.00526,-3.0502993,-2.978861,-0.785924,"signal peptide, CUB domain and EGF like domain containing 3"
"546","SEL1L3","212314_at",1.28e-12,1.41e-13,8.05,19.9615201,1.09,"SEL1L family member 3","212314_at",0.428,0.02983481,2.31,-5.43025,0.728,"SEL1L family member 3","212311_at",2.42e-09,1.96e-11,11.2852269,16.246692,3.16835547,"SEL1L family member 3"
"547","SELE","206211_at",1.18e-12,1.3e-13,8.07,20.0407661,2.37,"selectin E","206211_at",0.167,0.00069027,3.91,-1.82117,3.01,"selectin E","206211_at",0.0043,0.00141,3.5777739,-1.722068,1.16803427,"selectin E"
"548","SELL","204563_at",7.62e-17,5.31e-18,9.72,30.0406479,1.84,"selectin L","204563_at",0.328,0.01354335,2.67,-4.69808,1.18,"selectin L","204563_at",4.2e-08,1.07e-09,9.306596,12.272497,2.46097596,"selectin L"
"549","SELP","206049_at",6.4e-06,1.54e-06,4.98,4.0797221,0.961,"selectin P","206049_at",0.318,0.01237849,2.71,-4.61355,0.742,"selectin P","206049_at",6.82e-06,6.72e-07,6.5377772,5.83583,1.09094669,"selectin P"
"550","SELPLG","209879_at",3.24e-08,5.93e-09,6.13,9.4876,0.974,"selectin P ligand","209879_at",0.236,0.00318134,3.29,-3.31521,1.28,"selectin P ligand","209879_at",1.3e-07,4.58e-09,8.6419955,10.820606,1.35171636,"selectin P ligand"
"551","SEPP1","229620_at",7.32e-10,1.11e-10,-6.88,13.3862617,-0.964,"selenoprotein P, plasma, 1","229620_at",0.244,0.00398599,-3.19,-3.53304,-0.658,"selenoprotein P, plasma, 1","229620_at",0.00107,0.000276,-4.2117783,-0.131025,-0.6998611,"selenoprotein P, plasma, 1"
"552","SEPTIN11","201307_at",6.87e-21,3.04e-22,-11.2,39.7365628,-1,"septin 11","214293_at",0.267,0.00679654,-2.97,-4.0451,-0.654,"septin 11","214293_at",0.000351,7.42e-05,4.7131035,1.15937,0.70095592,"septin 11"
"553","SERPINA1","211429_s_at",2.14e-37,1.46e-39,17.4,79.4011566,4.23,"serpin family A member 1","211429_s_at",0.475,0.04148984,2.16,-5.72942,1.03,"serpin family A member 1","202833_s_at",2.29e-10,5.07e-13,13.3236351,19.841899,3.10824108,"serpin family A member 1"
"554","SERPINB1","212268_at",4.7e-41,2e-43,18.9,88.2532621,2.41,"serpin family B member 1","212268_at",0.459,0.03776849,2.2,-5.64463,0.776,"serpin family B member 1","212268_at",3.33e-07,1.54e-08,8.108489,9.61146,1.69720142,"serpin family B member 1"
"555","SERPINB9","242814_at",1.07e-17,6.7e-19,10,32.0929733,1.36,"serpin family B member 9","209723_at",0.494,0.04635881,2.1,-5.82902,0.682,"serpin family B member 9","242814_at",0.000142,2.56e-05,5.1189107,2.210795,1.31532691,"serpin family B member 9"
"556","SGK2","220357_s_at",0.000947,0.000306,-3.69,-0.9816432,-0.687,"SGK2, serine/threonine kinase 2","230573_at",0.294,0.0097474,-2.81,-4.38796,-1.98,"SGK2, serine/threonine kinase 2","230573_at",0.0478,0.024,-2.3987436,-4.392513,-1.03722736,"SGK2, serine/threonine kinase 2"
"557","SGO2","230165_at",3.48e-22,1.32e-23,11.7,42.8537408,1.2,"shugoshin 2","230165_at",0.331,0.01399147,2.66,-4.72863,0.858,"shugoshin 2","230165_at",0.000221,4.31e-05,4.9200566,1.695404,0.61033625,"shugoshin 2"
"558","SH3BGRL2","225354_s_at",5.75e-17,3.93e-18,-9.76,30.3375302,-1.29,"SH3 domain binding glutamate rich protein like 2","225354_s_at",0.403,0.02507203,-2.39,-5.27076,-0.946,"SH3 domain binding glutamate rich protein like 2","225354_s_at",0.0121,0.00471,-3.0955741,-2.874275,-0.72264309,"SH3 domain binding glutamate rich protein like 2"
"559","SH3BP2","209371_s_at",0.000209,6.12e-05,-4.11,0.5419405,-0.908,"SH3 domain binding protein 2","211250_s_at",0.169,0.0007249,3.89,-1.86944,0.745,"SH3 domain binding protein 2","211250_s_at",0.000225,4.4e-05,4.912636,1.676172,0.64185035,"SH3 domain binding protein 2"
"560","SHROOM3","228400_at",8.04e-08,1.54e-08,-5.95,8.5570774,-0.949,"shroom family member 3","228400_at",0.403,0.02510728,-2.39,-5.27206,-1.37,"shroom family member 3","225548_at",0.000136,2.44e-05,-5.1381126,2.260548,-1.22477644,"shroom family member 3"
"561","SIK3","204157_s_at",3.68e-17,2.46e-18,9.84,30.8038554,1.58,"SIK family kinase 3","204157_s_at",0.329,0.01361777,2.67,-4.70323,0.793,"SIK family kinase 3","1563455_at",0.000493,0.00011,-4.5621539,0.769204,-0.89668986,"SIK family kinase 3"
"562","SIPA1L1","237032_x_at",3.05e-25,8.23e-27,12.9,50.1895468,1.74,"signal induced proliferation associated 1 like 1","202254_at",0.236,0.00322851,-3.28,-3.32945,-0.621,"signal induced proliferation associated 1 like 1","237032_x_at",0.000427,9.34e-05,4.6255123,0.932851,0.87658002,"signal induced proliferation associated 1 like 1"
"563","SIX1","228347_at",0.000125,3.57e-05,-4.25,1.0573255,-1.37,"SIX homeobox 1","228347_at",0.268,0.00688775,-2.96,-4.05783,-2.41,"SIX homeobox 1","228347_at",7.27e-05,1.15e-05,5.4252601,3.003527,1.86810628,"SIX homeobox 1"
"564","SLA","203761_at",2.17e-08,3.91e-09,6.21,9.896636,0.982,"Src-like-adaptor","203761_at",0.258,0.00556707,3.05,-3.85423,0.633,"Src-like-adaptor","203761_at",1.93e-07,7.69e-09,8.4119449,10.303971,1.41088272,"Src-like-adaptor"
"565","SLAMF8","219386_s_at",2.36e-13,2.42e-14,8.35,21.7014875,1.48,"SLAM family member 8","219386_s_at",0.204,0.00172979,3.54,-2.72285,1.52,"SLAM family member 8","219385_at",1.16e-07,3.97e-09,8.7065034,10.964176,2.0783404,"SLAM family member 8"
"566","SLC16A14","238029_s_at",1.91e-11,2.4e-12,7.56,17.1606,0.585,"solute carrier family 16 member 14","238029_s_at",0.319,0.01241992,2.71,-4.61669,1.16,"solute carrier family 16 member 14","238029_s_at",1.08e-06,6.83e-08,-7.4725799,8.120249,-1.00504252,"solute carrier family 16 member 14"
"567","SLC16A7","207057_at",0.000404,0.000123,-3.93,-0.1231069,-0.934,"solute carrier family 16 member 7","230003_at",0.196,0.00134008,-3.64,-2.47325,-0.825,"solute carrier family 16 member 7","241925_x_at",0.00889,0.00331,-3.2395148,-2.537295,-0.60188963,"solute carrier family 16 member 7"
"568","SLC25A29","225306_s_at",1.1e-06,2.42e-07,-5.38,5.8728888,-0.595,"solute carrier family 25 member 29","225305_at",0.252,0.00474988,-3.12,-3.70185,-0.703,"solute carrier family 25 member 29","232280_at",9.16e-07,5.56e-08,-7.5590107,8.32605,-1.14033982,"solute carrier family 25 member 29"
"569","SLC25A35","228836_at",6.02e-05,1.64e-05,-4.44,1.8019612,-0.944,"solute carrier family 25 member 35","228836_at",0.283,0.0084243,-2.88,-4.24959,-0.844,"solute carrier family 25 member 35","228836_at",3.89e-05,5.45e-06,5.7148998,3.749569,0.76893996,"solute carrier family 25 member 35"
"570","SLC38A10","230448_at",9.84e-16,7.72e-17,9.29,27.3877023,1.34,"solute carrier family 38 member 10","230448_at",0.351,0.01655333,2.58,-4.88594,0.607,"solute carrier family 38 member 10","230448_at",2.57e-06,2.04e-07,7.0191752,7.025203,1.38469149,"solute carrier family 38 member 10"
"571","SLITRK6","232176_at",2.84e-15,2.33e-16,-9.11,26.2918111,-1.1,"SLIT and NTRK like family member 6","232176_at",0.385,0.02173465,-2.46,-5.13898,-0.617,"SLIT and NTRK like family member 6","232481_s_at",1.19e-08,1.95e-10,-10.120829,13.969782,-2.08258399,"SLIT and NTRK like family member 6"
"572","SNCA","211546_x_at",1.64e-11,2.05e-12,-7.59,17.3192518,-0.627,"synuclein alpha","236081_at",0.394,0.0232959,-2.43,-5.20306,-0.993,"synuclein alpha","204467_s_at",0.0159,0.00654,-2.9602278,-3.184779,-0.58977912,"synuclein alpha"
"573","SNTB1","214708_at",7.69e-06,1.87e-06,-4.94,3.8912536,-0.614,"syntrophin beta 1","226438_at",0.229,0.00268492,-3.36,-3.1508,-0.639,"syntrophin beta 1","208608_s_at",0.00437,0.00144,-3.569806,-1.741599,-0.5997558,"syntrophin beta 1"
"574","SNX20","228869_at",1.88e-17,1.21e-18,9.95,31.506437,1.59,"sorting nexin 20","228869_at",0.144,0.00039078,4.14,-1.25855,1.25,"sorting nexin 20","228869_at",5.93e-08,1.67e-09,9.100802,11.829363,1.43548759,"sorting nexin 20"
"575","SOAT1","228479_at",3.24e-08,5.93e-09,-6.13,9.4880119,-0.787,"sterol O-acyltransferase 1","228479_at",0.335,0.01454967,-2.64,-4.7653,-0.885,"sterol O-acyltransferase 1","221561_at",0.00201,0.000579,3.9259061,-0.85631,1.04026302,"sterol O-acyltransferase 1"
"576","SOBP","218974_at",3.11e-18,1.83e-19,-10.2,33.3781326,-1.85,"sine oculis binding protein homolog","218974_at",0.377,0.02050339,-2.49,-5.08498,-0.996,"sine oculis binding protein homolog","229034_at",2.82e-06,2.3e-07,6.9709376,6.907221,1.04736321,"sine oculis binding protein homolog"
"577","SOCS1","210001_s_at",2.69e-16,1.98e-17,9.51,28.7357493,1.35,"suppressor of cytokine signaling 1","210001_s_at",0.275,0.00757715,2.92,-4.14877,0.805,"suppressor of cytokine signaling 1","210001_s_at",1.17e-06,7.62e-08,7.4271784,8.011759,1.88996558,"suppressor of cytokine signaling 1"
"578","SOCS3","227697_at",2.73e-19,1.44e-20,10.6,35.9058866,1.31,"suppressor of cytokine signaling 3","227697_at",0.169,0.00070902,3.9,-1.84759,1.95,"suppressor of cytokine signaling 3","206359_at",2.66e-07,1.17e-08,8.2285744,9.886998,2.1763153,"suppressor of cytokine signaling 3"
"579","SORBS2","233720_at",9.09e-07,1.97e-07,-5.43,6.0714098,-0.7,"sorbin and SH3 domain containing 2","227826_s_at",0.499,0.04755745,-2.09,-5.85185,-0.859,"sorbin and SH3 domain containing 2","204288_s_at",0.0173,0.00724,-2.9179082,-3.280498,-0.63745064,"sorbin and SH3 domain containing 2"
"580","SORD","230782_at",1.25e-10,1.73e-11,-7.22,15.2174155,-1.15,"sorbitol dehydrogenase","230782_at",0.406,0.02581697,-2.38,-5.29769,-1.12,"sorbitol dehydrogenase","230782_at",0.000603,0.000139,-4.4732421,0.539914,-1.38149221,"sorbitol dehydrogenase"
"581","SOX9-AS1","230419_at",4.77e-11,6.3e-12,-7.4,16.2120586,-0.888,"SOX9 antisense RNA 1","230419_at",0.451,0.03564933,-2.23,-5.59234,-0.864,"SOX9 antisense RNA 1","230419_at",0.0203,0.00872,-2.8397959,-3.455355,-0.80164115,"SOX9 antisense RNA 1"
"582","SP110","209762_x_at",5.38e-30,8.29e-32,14.6,61.6361617,1.54,"SP110 nuclear body protein","209762_x_at",0.329,0.01372111,2.67,-4.71032,0.783,"SP110 nuclear body protein","209762_x_at",1.07e-07,3.59e-09,8.7516041,11.064215,0.96539107,"SP110 nuclear body protein"
"583","SPC25","209891_at",9.67e-34,9.7e-36,16,70.6450743,2.39,"SPC25, NDC80 kinetochore complex component","209891_at",0.292,0.00930832,2.83,-4.34429,1.42,"SPC25, NDC80 kinetochore complex component","209891_at",0.0276,0.0125,2.6855297,-3.793313,0.59713716,"SPC25, NDC80 kinetochore complex component"
"584","SPOCK2","202524_s_at",5.37e-15,4.55e-16,9,25.6304207,1.3,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2","202524_s_at",0.243,0.00390317,3.2,-3.51279,0.748,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2","202523_s_at",2.54e-07,1.1e-08,8.255979,9.949605,1.44111759,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2"
"585","SPTBN1","242220_at",5.7e-11,7.58e-12,-7.36,16.0285095,-0.884,"spectrin beta, non-erythrocytic 1","226342_at",0.255,0.0051669,-3.08,-3.78268,-0.623,"spectrin beta, non-erythrocytic 1","214856_at",0.00175,0.000494,-3.9877739,-0.700268,-0.61770313,"spectrin beta, non-erythrocytic 1"
"586","SPTLC2","203127_s_at",6.44e-61,2.35e-64,27.6,136.0767679,4.43,"serine palmitoyltransferase long chain base subunit 2","203127_s_at",0.323,0.01308384,2.69,-4.66566,1.09,"serine palmitoyltransferase long chain base subunit 2","216202_s_at",0.00141,0.000381,4.0869718,-0.44895,0.65853819,"serine palmitoyltransferase long chain base subunit 2"
"587","SRGN","201858_s_at",6.39e-08,1.21e-08,5.99,8.7912836,1.22,"serglycin","201859_at",0.261,0.00591605,3.03,-3.91247,0.75,"serglycin","201858_s_at",2.31e-08,4.78e-10,9.6864072,13.075271,1.77771881,"serglycin"
