"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"478","PLAU","205479_s_at",2.56e-11,3.28e-12,7.51,16.8542146,1.16,"plasminogen activator, urokinase","205479_s_at",0.264,0.00650707,2.99,-4.00354,1.02,"plasminogen activator, urokinase","205479_s_at",6.98e-06,6.92e-07,6.5263046,5.807174,1.74862649,"plasminogen activator, urokinase"
"479","PLAUR","210845_s_at",3.01e-14,2.77e-15,8.71,23.8438303,1.6,"plasminogen activator, urokinase receptor","210845_s_at",0.201,0.00143134,3.61,-2.53774,0.873,"plasminogen activator, urokinase receptor","214866_at",1.03e-10,1.41e-13,14.0995935,21.092479,3.02583482,"plasminogen activator, urokinase receptor"
"480","PLCB4","203896_s_at",8.16e-15,7.05e-16,-8.93,25.19781,-1.55,"phospholipase C beta 4","203895_at",0.422,0.02886608,-2.33,-5.40007,-1.05,"phospholipase C beta 4","203895_at",8.08e-05,1.31e-05,-5.3764423,2.877395,-0.94431555,"phospholipase C beta 4"
"481","PLEK","203471_s_at",5.47e-20,2.68e-21,10.9,37.5740947,1.72,"pleckstrin","203471_s_at",0.319,0.01249943,2.71,-4.62269,0.639,"pleckstrin","203470_s_at",2.34e-06,1.83e-07,7.0654116,7.13803,2.13050747,"pleckstrin"
"482","PLEKHA6","229245_at",3.11e-19,1.65e-20,-10.6,35.7713921,-1.53,"pleckstrin homology domain containing A6","229245_at",0.245,0.00407347,-3.18,-3.55397,-1.53,"pleckstrin homology domain containing A6","229245_at",0.000143,2.58e-05,-5.1164889,2.20452,-1.45689919,"pleckstrin homology domain containing A6"
"483","PLEKHH1","225727_at",2.26e-24,6.76e-26,-12.5,48.0947299,-1.29,"pleckstrin homology, MyTH4 and FERM domain containing H1","225726_s_at",0.427,0.0295332,-2.32,-5.42097,-0.94,"pleckstrin homology, MyTH4 and FERM domain containing H1","225727_at",3.52e-08,8.37e-10,-9.4211211,12.516611,-1.58034293,"pleckstrin homology, MyTH4 and FERM domain containing H1"
"484","PLSCR1","202446_s_at",1.64e-30,2.35e-32,14.8,62.890768,1.33,"phospholipid scramblase 1","202446_s_at",0.279,0.00795946,2.9,-4.19562,0.752,"phospholipid scramblase 1","202446_s_at",8.98e-08,2.84e-09,8.857483,11.297973,1.27037452,"phospholipid scramblase 1"
"485","PLXDC1","214081_at",0.00737,0.00275,3.04,-3.0289874,0.849,"plexin domain containing 1","214081_at",0.236,0.0032258,3.28,-3.32864,1.28,"plexin domain containing 1","219700_at",2.78e-06,2.25e-07,6.9790834,6.927164,1.03260667,"plexin domain containing 1"
"486","PMAIP1","204285_s_at",4.12e-10,6.09e-11,6.99,13.9784438,1.66,"phorbol-12-myristate-13-acetate-induced protein 1","204285_s_at",0.347,0.0160287,2.6,-4.85587,0.656,"phorbol-12-myristate-13-acetate-induced protein 1","204286_s_at",0.00109,0.00028,-4.205245,-0.147711,-0.61835835,"phorbol-12-myristate-13-acetate-induced protein 1"
"487","PMEPA1","222450_at",7.71e-15,6.64e-16,-8.94,25.2566407,-0.603,"prostate transmembrane protein, androgen induced 1","222449_at",0.433,0.03096026,-2.3,-5.46407,-0.607,"prostate transmembrane protein, androgen induced 1","222449_at",9.71e-08,3.15e-09,8.8114329,11.196493,1.10418211,"prostate transmembrane protein, androgen induced 1"
"488","PNPLA3","220675_s_at",2.24e-06,5.11e-07,-5.22,5.1464549,-0.998,"patatin like phospholipase domain containing 3","233030_at",0.294,0.00980926,-2.81,-4.39395,-1.62,"patatin like phospholipase domain containing 3","220675_s_at",0.00033,6.88e-05,-4.7421531,1.234553,-1.42143622,"patatin like phospholipase domain containing 3"
"489","POU6F1","205878_at",3.35e-08,6.14e-09,-6.13,9.4544055,-0.92,"POU class 6 homeobox 1","229809_at",0.268,0.00696846,-2.96,-4.06894,-1.27,"POU class 6 homeobox 1","229809_at",0.000398,8.59e-05,-4.6572049,1.014777,-0.69541017,"POU class 6 homeobox 1"
"490","PPARA","226978_at",1.91e-16,1.38e-17,-9.56,29.0914978,-0.787,"peroxisome proliferator activated receptor alpha","226978_at",0.255,0.00513619,-3.09,-3.77696,-0.661,"peroxisome proliferator activated receptor alpha","1560981_a_at",0.000232,4.55e-05,4.8997517,1.642781,0.77157198,"peroxisome proliferator activated receptor alpha"
"491","PPARGC1A","219195_at",2.22e-32,2.56e-34,-15.5,67.3881406,-2,"PPARG coactivator 1 alpha","219195_at",0.444,0.03404555,-2.25,-5.55056,-1.2,"PPARG coactivator 1 alpha","219195_at",0.0137,0.00551,-3.0314867,-3.022109,-0.93704333,"PPARG coactivator 1 alpha"
