"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"428","TCF12","233678_at",2.14e-10,3.06e-11,-7.11,14.6559474,-0.943,"transcription factor 12","ILMN_2314007",0.03233259,0.00612,2.9395693,-2.6295,0.8049318,"transcription factor 12","215611_at",2.69e-05,3.53e-06,-5.8829543,4.180149,-1.30069811,"transcription factor 12"
"429","TEF","225840_at",2.43e-07,4.93e-08,-5.71,7.4202996,-0.841,"TEF, PAR bZIP transcription factor","ILMN_1706511",0.00066807,1.95e-05,-5.0218513,2.78188,-0.7870104,"TEF, PAR bZIP transcription factor","225840_at",0.00752,0.00272,-3.3187614,-2.34906,-0.82119079,"TEF, PAR bZIP transcription factor"
"430","TGFB1I1","209651_at",2.63e-10,3.79e-11,-7.08,14.4448443,-0.715,"transforming growth factor beta 1 induced transcript 1","ILMN_2389876",0.00222985,0.000125,-4.3729351,1.00985,-0.6376603,"transforming growth factor beta 1 induced transcript 1","209651_at",2.69e-05,3.53e-06,5.8838092,4.182334,0.71575868,"transforming growth factor beta 1 induced transcript 1"
"431","THAP6","230169_at",1.63e-08,2.88e-09,-6.27,10.1942242,-0.852,"THAP domain containing 6","ILMN_1661424",0.03160961,0.00593,2.9519863,-2.60082,0.6413014,"THAP domain containing 6","230169_at",2.63e-05,3.44e-06,-5.8933095,4.206616,-0.63500975,"THAP domain containing 6"
"432","TIGAR","219099_at",6.32e-35,5.61e-37,16.5,73.4806863,3.03,"TP53 induced glycolysis regulatory phosphatase","ILMN_1791792",0.00472676,0.000378,3.9811844,-0.03543,0.6411004,"TP53 induced glycolysis regulatory phosphatase","219099_at",9.64e-05,1.62e-05,5.2955893,2.668305,0.98343301,"TP53 induced glycolysis regulatory phosphatase"
"433","TIMM8A","205217_at",3.31e-18,1.96e-19,10.2,33.3120122,1.2,"translocase of inner mitochondrial membrane 8 homolog A (yeast)","ILMN_1722239",0.00262965,0.000161,4.2841495,0.7708,0.6081553,"translocase of inner mitochondrial membrane 8 homolog A (yeast)","210800_at",2.83e-06,2.31e-07,-6.9699394,6.904777,-1.3455888,"translocase of inner mitochondrial membrane 8 homolog A (yeast)"
"434","TM7SF2","210130_s_at",7.53e-11,1.02e-11,7.31,15.7389683,1.13,"transmembrane 7 superfamily member 2","ILMN_1690040",0.0202094,0.00314,-3.1999287,-2.01487,-0.752735,"transmembrane 7 superfamily member 2","210130_s_at",0.00107,0.000275,-4.2126274,-0.128856,-0.85095126,"transmembrane 7 superfamily member 2"
"435","TM9SF1","209149_s_at",3.62e-27,7.94e-29,13.6,54.8054958,1.55,"transmembrane 9 superfamily member 1","ILMN_1709334",0.00900445,0.000975,-3.6378224,-0.9264,-0.6533323,"transmembrane 9 superfamily member 1","209149_s_at",3e-08,6.76e-10,9.5217237,12.729584,1.10073263,"transmembrane 9 superfamily member 1"
"436","TMED5","202195_s_at",2.16e-15,1.76e-16,9.16,26.5730104,1.01,"transmembrane p24 trafficking protein 5","ILMN_1803279",0.01470687,0.002,3.3716595,-1.5954,1.2114517,"transmembrane p24 trafficking protein 5","202195_s_at",4.67e-08,1.23e-09,9.242083,12.134202,1.10818618,"transmembrane p24 trafficking protein 5"
"437","TMEM159","213272_s_at",1.47e-06,3.26e-07,-5.32,5.5824271,-1.05,"transmembrane protein 159","ILMN_1655876",0.0396792,0.00808,-2.8281012,-2.88387,-0.7300607,"transmembrane protein 159","213272_s_at",0.000508,0.000114,-4.5487261,0.734547,-0.93874448,"transmembrane protein 159"
"438","TMEM167A","226276_at",2.44e-17,1.6e-18,9.91,31.2291258,1.37,"transmembrane protein 167A","ILMN_1742813",0.00208313,0.000113,4.4080189,1.10461,0.6630655,"transmembrane protein 167A","226276_at",1.62e-07,6.18e-09,8.5084713,10.521625,0.79852831,"transmembrane protein 167A"
"439","TMEM237","228255_at",3.53e-20,1.69e-21,-11,38.0299607,-0.838,"transmembrane protein 237","ILMN_1800958",0.00375012,0.000271,4.1007293,0.28076,0.9773315,"transmembrane protein 237","1553956_at",1.59e-05,1.87e-06,-6.1318091,4.813875,-0.71055143,"transmembrane protein 237"
"440","TMEM266","1552400_a_at",7.04e-06,1.7e-06,-4.96,3.9819642,-0.85,"transmembrane protein 266","ILMN_1808956",0.01063681,0.00125,-3.546848,-1.15743,-0.7220477,"transmembrane protein 266","1552400_a_at",0.000837,0.000206,-4.324149,0.15662,-1.05815501,"transmembrane protein 266"
"441","TMEM91","229957_at",1.44e-15,1.15e-16,-9.22,26.992752,-0.73,"transmembrane protein 91","ILMN_2211065",0.02982971,0.00545,-2.9850529,-2.52413,-0.7813407,"transmembrane protein 91","229957_at",0.02,0.00858,-2.8470344,-3.439253,-0.58728051,"transmembrane protein 91"
"442","TMOD3","223078_s_at",9.85e-20,4.95e-21,10.8,36.9636132,1.57,"tropomodulin 3","ILMN_1809484",0.03777335,0.00752,2.8569603,-2.81855,0.5913994,"tropomodulin 3","242316_at",0.000132,2.34e-05,-5.1530832,2.299334,-0.88764852,"tropomodulin 3"
"443","TMSB15B","214051_at",1.29e-09,2.01e-10,-6.77,12.8042185,-0.926,"thymosin beta 15B///thymosin beta 15a","ILMN_1740512",0.00110484,4.22e-05,4.7537355,2.04562,0.9839878,"thymosin beta 15B","205347_s_at",5.83e-05,8.87e-06,5.5260533,3.263631,1.56514715,"thymosin beta 15B///thymosin beta 15a"
"444","TNFRSF21","214581_x_at",7.05e-25,2e-26,12.7,49.3047167,1.61,"TNF receptor superfamily member 21","ILMN_1699695",0.02748486,0.00484,3.0315085,-2.41561,1.0411976,"TNF receptor superfamily member 21","214581_x_at",0.00468,0.00156,3.5387548,-1.817576,0.84900622,"TNF receptor superfamily member 21"
"445","TNNT2","215389_s_at",2.26e-23,7.5e-25,-12.2,45.7019623,-1.9,"troponin T2, cardiac type","ILMN_1664071",0.01393167,0.00185,3.4009319,-1.52289,0.6522375,"troponin T2, cardiac type","215389_s_at",1.38e-08,2.39e-10,-10.0212766,13.767005,-1.49710373,"troponin T2, cardiac type"
"446","TNPO1","225766_s_at",7.16e-20,3.55e-21,10.9,37.2950175,1.49,"transportin 1","ILMN_1837935",0.02373454,0.00395,3.1107556,-2.22843,0.7213024,"transportin 1","225765_at",1.8e-07,7.05e-09,8.4500098,10.389954,0.70727605,"transportin 1"
"447","TPM2","227397_at",0.000275,8.22e-05,-4.04,0.2617489,-0.601,"tropomyosin 2 (beta)","ILMN_1789196",0.04221,0.0088,2.7939236,-2.96072,0.7784066,"tropomyosin 2 (beta)","212654_at",3.34e-07,1.54e-08,8.1064641,9.606797,0.96433506,"tropomyosin 2 (beta)"
