"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS","ID","adj.P.Val","P.Value","t","B","logFC","Gene.title"
"71","PARP9","227807_at",1.34e-32,1.51e-34,15.6,67.9125818,2.55,"poly(ADP-ribose) polymerase family member 9","223220_s_at",0.255,0.0052148,3.08,-3.79154,1.23,"poly(ADP-ribose) polymerase family member 9","227807_at",0.00199,0.000573,3.9304178,-0.84495,1.0387162,"poly(ADP-ribose) polymerase family member 9",8090018,0.0004232,1.77e-06,8.1246906,5.47607,1.23117238,"poly(ADP-ribose) polymerase family member 9"
"72","PI15","229947_at",2.37e-16,1.74e-17,9.53,28.8665243,2.17,"peptidase inhibitor 15","229947_at",0.384,0.02159592,2.46,-5.13306,0.915,"peptidase inhibitor 15","229947_at",3.12e-08,7.09e-10,9.4994921,12.682638,2.98366835,"peptidase inhibitor 15",8146957,0.0536403,0.00474,3.3938611,-2.29945,0.77949452,"peptidase inhibitor 15"
"73","PLA2R1","235746_s_at",3.9e-07,8.1e-08,-5.61,6.9362521,-0.649,"phospholipase A2 receptor 1","210194_at",0.481,0.04260546,-2.14,-5.75328,-0.662,"phospholipase A2 receptor 1","240039_at",0.000141,2.53e-05,-5.1234754,2.222623,-0.64786864,"phospholipase A2 receptor 1",8056151,0.0723231,0.00753,-3.1544971,-2.74976,-1.0268281,"phospholipase A2 receptor 1"
"74","PLAU","205479_s_at",2.56e-11,3.28e-12,7.51,16.8542146,1.16,"plasminogen activator, urokinase","205479_s_at",0.264,0.00650707,2.99,-4.00354,1.02,"plasminogen activator, urokinase","205479_s_at",6.98e-06,6.92e-07,6.5263046,5.807174,1.74862649,"plasminogen activator, urokinase",7928429,0.0101092,0.00034,4.797355,0.30414,1.69214167,"plasminogen activator, urokinase"
"75","PLAUR","210845_s_at",3.01e-14,2.77e-15,8.71,23.8438303,1.6,"plasminogen activator, urokinase receptor","210845_s_at",0.201,0.00143134,3.61,-2.53774,0.873,"plasminogen activator, urokinase receptor","214866_at",1.03e-10,1.41e-13,14.0995935,21.092479,3.02583482,"plasminogen activator, urokinase receptor",8037374,0.0046746,1e-04,5.4925295,1.51779,0.80464119,"plasminogen activator, urokinase receptor"
"76","PLCB4","203896_s_at",8.16e-15,7.05e-16,-8.93,25.19781,-1.55,"phospholipase C beta 4","203895_at",0.422,0.02886608,-2.33,-5.40007,-1.05,"phospholipase C beta 4","203895_at",8.08e-05,1.31e-05,-5.3764423,2.877395,-0.94431555,"phospholipase C beta 4",8060897,0.0910357,0.0107,-2.9725976,-3.08954,-0.68949952,"phospholipase C beta 4"
"77","PLEK","203471_s_at",5.47e-20,2.68e-21,10.9,37.5740947,1.72,"pleckstrin","203471_s_at",0.319,0.01249943,2.71,-4.62269,0.639,"pleckstrin","203470_s_at",2.34e-06,1.83e-07,7.0654116,7.13803,2.13050747,"pleckstrin",8042391,0.0169269,0.000754,4.3615763,-0.48763,1.43040548,"pleckstrin"
"78","PLSCR1","202446_s_at",1.64e-30,2.35e-32,14.8,62.890768,1.33,"phospholipid scramblase 1","202446_s_at",0.279,0.00795946,2.9,-4.19562,0.752,"phospholipid scramblase 1","202446_s_at",8.98e-08,2.84e-09,8.857483,11.297973,1.27037452,"phospholipid scramblase 1",8091327,0.0007485,5.13e-06,7.3721106,4.44677,1.65637238,"phospholipid scramblase 1"
"79","PPARGC1A","219195_at",2.22e-32,2.56e-34,-15.5,67.3881406,-2,"PPARG coactivator 1 alpha","219195_at",0.444,0.03404555,-2.25,-5.55056,-1.2,"PPARG coactivator 1 alpha","219195_at",0.0137,0.00551,-3.0314867,-3.022109,-0.93704333,"PPARG coactivator 1 alpha",8099633,0.0167207,0.000737,-4.3743905,-0.46406,-0.85952857,"PPARG coactivator 1 alpha"
"80","PTGS2","204748_at",0.00127,0.00042,3.6,-1.2802307,0.854,"prostaglandin-endoperoxide synthase 2","204748_at",0.502,0.04847284,2.08,-5.86888,1.18,"prostaglandin-endoperoxide synthase 2","204748_at",0.00351,0.00112,3.6710439,-1.492414,1.22179571,"prostaglandin-endoperoxide synthase 2",7922976,0.0903166,0.0105,2.9808605,-3.07417,1.02673071,"prostaglandin-endoperoxide synthase 2"
