"","Gene.symbol","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"321","GON7","ILMN_1685781",0.00025141,4.13e-06,5.5600947,4.26628,1.1155313,"GON7, KEOPS complex subunit homolog","223273_at",5.92e-05,9.03e-06,5.5192681,3.246136,0.62945564,"GON7, KEOPS complex subunit homolog"
"322","GORAB","ILMN_1761911",0.00054188,1.39e-05,5.1384354,3.10305,1.1561817,"golgin, RAB6 interacting","226337_at",3.26e-06,2.75e-07,6.8983628,6.729197,0.62677817,"golgin, RAB6 interacting"
"323","GPATCH2","ILMN_1786036",0.0093507,0.00103,3.6160994,-0.98177,1.0844252,"G-patch domain containing 2","1556126_s_at",0.00166,0.000463,-4.0120794,-0.638813,-0.672285,NA
"324","GPC1","ILMN_1801516",0.00080352,2.64e-05,-4.9174902,2.49482,-1.1379326,"glypican 1","202756_s_at",0.000129,2.29e-05,-5.1616919,2.321635,-0.81775058,"glypican 1"
"325","GPCPD1","ILMN_1701111",0.01726474,0.00253,3.2820446,-1.81558,0.9412855,"glycerophosphocholine phosphodiesterase 1","230492_s_at",7.64e-07,4.44e-08,7.6544404,8.552153,1.22043181,"glycerophosphocholine phosphodiesterase 1"
"326","GPR180","ILMN_1738712",0.01490666,0.00203,3.364652,-1.61272,1.2696935,"G protein-coupled receptor 180","231871_at",3.66e-06,3.18e-07,6.8386743,6.582323,0.87424681,"G protein-coupled receptor 180"
"327","GPR87","ILMN_1656422",0.0160151,0.00227,3.3232616,-1.71466,0.6377695,"G protein-coupled receptor 87","219936_s_at",0.000425,9.3e-05,-4.6271389,0.937055,-1.04169165,"G protein-coupled receptor 87"
"328","GPRIN2","ILMN_1803217",0.00081036,2.7e-05,-4.9093683,2.47251,-1.1970586,"G protein regulated inducer of neurite outgrowth 2","1554541_a_at",2.98e-05,3.99e-06,-5.8358514,4.05966,-0.82555601,"G protein regulated inducer of neurite outgrowth 2"
"329","GPSM2","ILMN_2139816",0.00037182,7.68e-06,5.3450385,3.67295,1.423851,"G-protein signaling modulator 2","233058_at",0.000253,5.04e-05,-4.8604325,1.540891,-0.58862468,"G-protein signaling modulator 2"
"330","GPSM3","ILMN_1662799",0.00538712,0.000464,-3.9079257,-0.2278,-0.9445172,"G-protein signaling modulator 3","204265_s_at",2.64e-09,2.19e-11,11.2265676,16.136065,1.55734956,"G-protein signaling modulator 3"
"331","GRAMD1A","ILMN_1737157",0.00036923,7.59e-06,-5.3489117,3.68364,-0.6780901,"GRAM domain containing 1A","224807_at",1.19e-07,4.09e-09,8.6935284,10.935345,1.3134047,"GRAM domain containing 1A"
"332","GRINA","ILMN_1796490",0.01640022,0.00235,-3.30942,-1.74862,-0.9642555,"glutamate ionotropic receptor NMDA type subunit associated protein 1","212090_at",5.5e-07,2.94e-08,7.8296806,8.964243,0.90621207,"glutamate ionotropic receptor NMDA type subunit associated protein 1"
"333","GRN","ILMN_1724250",0.0054312,0.000468,-3.9043666,-0.23711,-1.1178189,"granulin","216041_x_at",3.61e-07,1.71e-08,8.0619831,9.504227,0.79772438,"granulin"
"334","GSN","ILMN_1801043",0.01999895,0.00309,-3.2061605,-1.99983,-0.6998708,"gelsolin","214040_s_at",0.017,0.0071,-2.9261382,-3.261936,-0.6359075,"gelsolin"
"335","GSTA3","ILMN_2227817",0.01947956,0.00296,3.221582,-1.96255,0.9689269,"glutathione S-transferase alpha 3","222102_at",2.58e-06,2.05e-07,-7.0171621,7.020285,-2.33847669,"glutathione S-transferase alpha 3"
"336","GTF2A2","ILMN_1753719",0.00054347,1.4e-05,5.1367484,3.0984,1.192176,"general transcription factor IIA subunit 2","243985_at",0.00276,0.000841,-3.7811403,-1.219058,-0.62369078,"general transcription factor IIA subunit 2"
"337","GTF2F2","ILMN_1745798",0.00262577,0.000161,4.2849571,0.77297,1.286188,"general transcription factor IIF subunit 2","209595_at",1.11e-06,7.1e-08,-7.4567167,8.082373,-0.72541633,"general transcription factor IIF subunit 2"
"338","GTF2H5","ILMN_1739497",0.00118222,4.69e-05,4.7168161,1.94459,1.3030345,"general transcription factor IIH subunit 5","1558934_a_at",0.00255,0.000766,-3.8174572,-1.128391,-0.74953122,"general transcription factor IIH subunit 5"
"339","GTF2IRD2","ILMN_1680501",0.0050616,0.000419,3.9441193,-0.1329,0.6768814,"GTF2I repeat domain containing 2","1557289_s_at",0.00433,0.00143,-3.5744139,-1.730306,-0.94060005,"GTF2I repeat domain containing 2"
"340","GTF3C3","ILMN_1789508",0.01577534,0.00222,3.331496,-1.69442,0.738304,"general transcription factor IIIC subunit 3","1555439_at",0.000246,4.89e-05,-4.8720894,1.571096,-0.77711524,"general transcription factor IIIC subunit 3"
"341","HDAC11","ILMN_1684690",0.00103419,3.85e-05,-4.7854493,2.13248,-0.8006541,"histone deacetylase 11","227679_at",2.11e-06,1.61e-07,-7.1169905,7.263589,-0.90039002,"histone deacetylase 11"
"342","HDAC5","ILMN_1810856",0.0001348,1.64e-06,-5.8800996,5.1473,-0.825996,"histone deacetylase 5","202455_at",2.4e-06,1.88e-07,-7.053213,7.108288,-0.73398737,"histone deacetylase 5"
"343","HERC4","ILMN_1678922",0.0091213,0.000996,3.6300171,-0.94631,1.1100641,"HECT and RLD domain containing E3 ubiquitin protein ligase 4","208054_at",0.0023,0.000677,-3.8654449,-1.008236,-0.71823131,"HECT and RLD domain containing E3 ubiquitin protein ligase 4"
"344","HEYL","ILMN_1654324",0.00466075,0.00037,-3.9893588,-0.0139,-0.6780016,"hes related family bHLH transcription factor with YRPW motif-like","226828_s_at",1.47e-06,1.02e-07,7.3067973,7.72283,1.30069157,"hes related family bHLH transcription factor with YRPW motif-like"
"345","HINT3","ILMN_1779076",0.02872193,0.00518,3.0054383,-2.47662,0.7118212,"histidine triad nucleotide binding protein 3","226533_at",0.000125,2.21e-05,-5.1759345,2.358529,-1.3003545,"histidine triad nucleotide binding protein 3"
"346","HIST1H2BJ","ILMN_1658702",0.00119136,4.74e-05,4.7132389,1.93481,1.0198248,"histone cluster 1, H2bj","214502_at",0.00341,0.00107,3.6855593,-1.45651,0.61284746,"histone cluster 1, H2bj"
"347","HLA-DQB1","ILMN_1661266",0.04390573,0.00926,-2.7728224,-3.00789,-0.8992816,"major histocompatibility complex, class II, DQ beta 1","211654_x_at",0.00384,0.00124,3.6296593,-1.594542,0.60405498,"major histocompatibility complex, class II, DQ beta 1"
"348","HNMT","ILMN_1751789",0.00015258,1.99e-06,5.8128086,4.96234,1.2453684,"histamine N-methyltransferase","204110_at",0.0073,0.00262,3.3326661,-2.315845,0.70666584,"histamine N-methyltransferase"
"349","HNRNPA2B1","ILMN_1886493",0.02801911,0.00499,3.0202182,-2.44206,1.3894969,"heterogeneous nuclear ribonucleoprotein A2/B1","225107_at",1.62e-05,1.92e-06,-6.1216768,4.788172,-0.64610425,"heterogeneous nuclear ribonucleoprotein A2/B1"
