"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"96","AKAP10","236006_s_at",0.000466,0.000144,-3.89,-0.2675754,-0.774,"A-kinase anchoring protein 10","236006_s_at",0.00101,0.000256,-4.239756,-0.059522,-0.80522223,"A-kinase anchoring protein 10"
"97","AKAP11","215336_at",1.65e-09,2.6e-10,-6.73,12.5543036,-0.925,"A-kinase anchoring protein 11","215336_at",0.00428,0.00141,-3.5795625,-1.717682,-0.73269913,"A-kinase anchoring protein 11"
"98","AKAP13","209534_x_at",2.11e-17,1.37e-18,-9.93,31.3815896,-0.814,"A-kinase anchoring protein 13","229783_at",0.0181,0.00762,-2.8966506,-3.32832,-0.61286516,"A-kinase anchoring protein 13"
"99","AKAP9","215483_at",1.19e-11,1.47e-12,-7.65,17.6429917,-1.12,"A-kinase anchoring protein 9","215483_at",0.000278,5.65e-05,-4.8172009,1.42889,-0.98183723,"A-kinase anchoring protein 9"
"100","AKIRIN2","223145_s_at",8.78e-34,8.72e-36,16.1,70.7510782,2.64,"akirin 2","223145_s_at",0.000344,7.25e-05,4.721878,1.182076,0.84982691,"akirin 2"
"101","AKR1B10","206561_s_at",2.53e-50,3.33e-53,22.7,110.6252226,6.77,"aldo-keto reductase family 1 member B10","206561_s_at",0.00425,0.0014,3.5827111,-1.709959,1.77668876,"aldo-keto reductase family 1 member B10"
"102","AKR1C1","217626_at",9.44e-09,1.62e-09,-6.38,10.7572879,-1.4,"aldo-keto reductase family 1 member C1","217626_at",0.00103,0.000263,-4.2292632,-0.086348,-1.24469609,"aldo-keto reductase family 1 member C1"
"103","AKT3","212607_at",3.21e-07,6.59e-08,-5.65,7.1367612,-0.775,"AKT serine/threonine kinase 3","219393_s_at",0.00175,0.000492,3.9887208,-0.697875,0.61264755,"AKT serine/threonine kinase 3"
"104","ALAS1","205633_s_at",1.24e-24,3.63e-26,12.6,48.7125773,1.41,"5'-aminolevulinate synthase 1","205633_s_at",6.56e-05,1.02e-05,5.4721277,3.124529,0.65248487,"5'-aminolevulinate synthase 1"
"105","ALDH1A3","203180_at",1.09e-20,4.93e-22,11.2,39.2556627,1.84,"aldehyde dehydrogenase 1 family member A3","203180_at",2.52e-06,2e-07,7.0273203,7.045098,1.69174441,"aldehyde dehydrogenase 1 family member A3"
"106","ALDH1B1","209646_x_at",4.04e-21,1.74e-22,-11.3,40.2919537,-0.698,"aldehyde dehydrogenase 1 family member B1","209645_s_at",1.38e-08,2.38e-10,10.0214037,13.767265,1.41309534,"aldehyde dehydrogenase 1 family member B1"
"107","ALDH3A1","205623_at",1.07e-08,1.84e-09,6.36,10.6315951,0.924,"aldehyde dehydrogenase 3 family member A1","205623_at",9.86e-05,1.66e-05,-5.2852105,2.64145,-1.20040127,"aldehyde dehydrogenase 3 family member A1"
"108","ALDH3A2","202054_s_at",1.59e-26,3.78e-28,-13.3,53.2536398,-0.867,"aldehyde dehydrogenase 3 family member A2","202053_s_at",3.54e-08,8.43e-10,-9.4180355,12.510058,-1.10051807,"aldehyde dehydrogenase 3 family member A2"
"109","ALDH3B2","204941_s_at",5.55e-05,1.5e-05,4.46,1.8832624,1.16,"aldehyde dehydrogenase 3 family member B2","204942_s_at",0.00751,0.00271,-3.3193488,-2.347657,-0.72154695,"aldehyde dehydrogenase 3 family member B2"
"110","ALDH5A1","203608_at",6.4e-17,4.4e-18,9.75,30.2259544,0.825,"aldehyde dehydrogenase 5 family member A1","203608_at",0.0035,0.00111,-3.6732977,-1.486842,-0.65242388,"aldehyde dehydrogenase 5 family member A1"
"111","ALDH7A1","208950_s_at",1.79e-35,1.49e-37,16.7,74.8012283,0.743,"aldehyde dehydrogenase 7 family member A1","213591_at",5.8e-05,8.82e-06,-5.5284302,3.269759,-0.83353744,"aldehyde dehydrogenase 7 family member A1"
"112","ALDOC","202022_at",6.32e-12,7.53e-13,-7.77,18.3053228,-0.86,"aldolase, fructose-bisphosphate C","202022_at",0.000214,4.14e-05,-4.9358243,1.736271,-0.60290835,"aldolase, fructose-bisphosphate C"
"113","ALOX12","207206_s_at",1.28e-07,2.51e-08,5.85,8.0792644,0.989,"arachidonate 12-lipoxygenase, 12S type","207206_s_at",8.38e-07,4.97e-08,-7.6063365,8.438328,-1.87893832,"arachidonate 12-lipoxygenase, 12S type"
"114","ALOX12B","207381_at",4.8e-30,7.32e-32,14.6,61.7600607,2.34,"arachidonate 12-lipoxygenase, 12R type","207381_at",0.000646,0.000151,-4.4421491,0.459845,-1.3126514,"arachidonate 12-lipoxygenase, 12R type"
"115","ALOX5AP","204174_at",2.95e-06,6.82e-07,5.16,4.8674225,0.938,"arachidonate 5-lipoxygenase activating protein","204174_at",0.000162,2.99e-05,5.0605183,2.059471,0.87011121,"arachidonate 5-lipoxygenase activating protein"
"116","ALOXE3","222383_s_at",7.36e-14,7.09e-15,8.55,22.9133787,1.2,"arachidonate lipoxygenase 3","207708_at",8.68e-08,2.72e-09,-8.8768085,11.340475,-2.00964312,"arachidonate lipoxygenase 3"
"117","ALPK1","227438_at",6.78e-10,1.03e-10,6.9,13.4650878,0.889,"alpha kinase 1","243222_at",0.000233,4.57e-05,-4.8976475,1.637328,-0.60624522,"alpha kinase 1"
"118","ALX1","206837_at",1.55e-08,2.73e-09,-6.28,10.248103,-0.716,"ALX homeobox 1","206837_at",9.75e-10,5.26e-12,-11.9908159,17.544897,-1.53192669,"ALX homeobox 1"
"119","ALYREF","226320_at",4.99e-08,9.33e-09,6.04,9.0446468,0.749,"Aly/REF export factor","226319_s_at",0.0132,0.00524,3.0523267,-2.974193,0.63520599,"Aly/REF export factor"
"120","AMIGO1","226718_at",2.36e-08,4.25e-09,-6.2,9.8137404,-1.25,"adhesion molecule with Ig like domain 1","226718_at",7.91e-05,1.28e-05,-5.3863152,2.902912,-0.78773814,"adhesion molecule with Ig like domain 1"
"121","AMIGO3","219920_s_at",1.56e-28,2.87e-30,14.1,58.1096234,2.11,"adhesion molecule with Ig like domain 3///GDP-mannose pyrophosphorylase B","219920_s_at",9.67e-07,5.95e-08,7.5308886,8.259194,1.1070273,"adhesion molecule with Ig like domain 3///GDP-mannose pyrophosphorylase B"
"122","AMMECR1","236760_at",2.97e-21,1.26e-22,11.4,40.6132204,1.75,"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1","236760_at",0.00444,0.00147,-3.5629268,-1.75845,-0.75227536,"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1"
"123","AMOTL1","228840_at",5.31e-40,2.6e-42,18.5,85.7019039,2.52,"angiomotin like 1","235277_at",0.000129,2.28e-05,-5.1629947,2.32501,-0.6596078,"angiomotin like 1"
"124","ANAPC5","239651_at",5.64e-11,7.51e-12,-7.36,16.0383514,-0.716,"anaphase promoting complex subunit 5","239651_at",2.52e-05,3.27e-06,-5.913572,4.258382,-1.24501509,"anaphase promoting complex subunit 5"
"125","ANG","205141_at",2.48e-25,6.62e-27,-12.9,50.4057976,-2.02,"angiogenin","205141_at",3.91e-05,5.49e-06,-5.7120543,3.742262,-0.7848366,"angiogenin"
"126","ANGPT1","205609_at",1.3e-07,2.55e-08,-5.85,8.0623883,-0.905,"angiopoietin 1","205609_at",0.000653,0.000153,4.4371887,0.447077,1.206275,"angiopoietin 1"
"127","ANGPTL4","221009_s_at",9.02e-28,1.84e-29,13.8,56.2583662,3.58,"angiopoietin like 4","221009_s_at",0.00175,0.000492,3.9891517,-0.696786,0.86478826,"angiopoietin like 4"
"128","ANGPTL6","223967_at",1.68e-11,2.11e-12,7.59,17.2895427,0.591,"angiopoietin like 6","223967_at",2.1e-07,8.57e-09,8.3638895,10.195138,0.9378448,"angiopoietin like 6"
"129","ANK3","239726_at",1.56e-07,3.09e-08,-5.81,7.8746045,-1.14,"ankyrin 3, node of Ranvier (ankyrin G)","206385_s_at",4.18e-08,1.06e-09,-9.3099542,12.279681,-1.24442441,"ankyrin 3, node of Ranvier (ankyrin G)"
"130","ANKDD1A","229497_at",1.69e-09,2.67e-10,-6.72,12.5249858,-1.2,"ankyrin repeat and death domain containing 1A","237316_at",5.45e-06,5.11e-07,6.6473548,6.108828,0.94260019,"ankyrin repeat and death domain containing 1A"
