"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"2532","SCN7A","228504_at",1.43e-22,5.16e-24,-11.9,43.7853427,-2.08,"sodium voltage-gated channel alpha subunit 7","228504_at",0.000924,0.000231,-4.279721,0.042751,-1.67815615,"sodium voltage-gated channel alpha subunit 7"
"2533","SCNN1G","241436_at",1.76e-16,1.27e-17,9.58,29.1726494,1.76,"sodium channel epithelial 1 gamma subunit","241436_at",0.0433,0.0213,-2.452863,-4.282564,-0.6870045,"sodium channel epithelial 1 gamma subunit"
"2534","SCO2","205241_at",2.72e-37,1.9e-39,17.4,79.1403747,3.17,"SCO2 cytochrome c oxidase assembly protein","205241_at",0.00111,0.000285,4.1983543,-0.165304,0.77266244,"SCO2 cytochrome c oxidase assembly protein"
"2535","SCTR","1565738_at",7.19e-05,1.98e-05,-4.39,1.6194785,-0.679,"secretin receptor","1565738_at",0.0154,0.00629,-2.9763048,-3.14824,-0.79144237,"secretin receptor"
"2536","SCUBE3","217600_at",1.58e-09,2.48e-10,-6.73,12.597659,-0.892,"signal peptide, CUB domain and EGF like domain containing 3","217600_at",0.0132,0.00526,-3.0502993,-2.978861,-0.785924,"signal peptide, CUB domain and EGF like domain containing 3"
"2537","SCYL3","205607_s_at",7.78e-11,1.05e-11,7.3,15.7047811,0.717,"SCY1 like pseudokinase 3","231111_at",7.32e-07,4.21e-08,-7.6771126,8.605696,-0.5999731,"SCY1 like pseudokinase 3"
"2538","SDC4","202071_at",1.76e-22,6.44e-24,-11.8,43.5643891,-0.936,"syndecan 4","202071_at",1.45e-05,1.68e-06,-6.174406,4.921834,-0.84071835,"syndecan 4"
"2539","SDCBP2-AS1","236520_at",3.29e-16,2.45e-17,-9.47,28.523197,-0.997,"SDCBP2 antisense RNA 1","236520_at",2.53e-06,2.01e-07,-7.0262689,7.04253,-0.99556224,"SDCBP2 antisense RNA 1"
"2540","SDR16C5","238017_at",8.93e-15,7.74e-16,8.92,25.1051302,0.75,"short chain dehydrogenase/reductase family 16C, member 5","238017_at",4.16e-06,3.71e-07,-6.7766281,6.429215,-1.05690729,"short chain dehydrogenase/reductase family 16C, member 5"
"2541","SDR42E1","229522_at",6.7e-16,5.15e-17,9.35,27.7883048,1.24,"short chain dehydrogenase/reductase family 42E, member 1","229522_at",7.79e-06,7.9e-07,-6.4734258,5.674918,-1.37939649,"short chain dehydrogenase/reductase family 42E, member 1"
"2542","SDR9C7","1553077_at",1.08e-25,2.75e-27,13,51.2798777,3.39,"short chain dehydrogenase/reductase family 9C, member 7","1553077_at",0.000175,3.27e-05,-5.0259153,1.969785,-1.3979358,"short chain dehydrogenase/reductase family 9C, member 7"
"2543","SEC14L1","202083_s_at",2.44e-30,3.58e-32,14.8,62.4714775,2.56,"SEC14 like lipid binding 1","202083_s_at",1.15e-06,7.4e-08,7.4395746,8.041407,1.33002663,"SEC14 like lipid binding 1"
"2544","SEC24A","212902_at",2.44e-30,3.59e-32,14.8,62.4671226,2.59,"SEC24 homolog A, COPII coat complex component","244841_at",7.82e-07,4.56e-08,7.6428503,8.524756,1.54847866,"SEC24 homolog A, COPII coat complex component"
"2545","SEC61A1","222385_x_at",8.04e-27,1.84e-28,13.4,53.9693746,1.88,"Sec61 translocon alpha 1 subunit","222385_x_at",1.66e-08,3.02e-10,9.9062464,13.531071,1.60346242,"Sec61 translocon alpha 1 subunit"
"2546","SEL1L","202064_s_at",1.71e-27,3.58e-29,13.7,55.5969896,2.25,"SEL1L ERAD E3 ligase adaptor subunit","202063_s_at",2.9e-06,2.38e-07,6.9566608,6.872249,1.79265963,"SEL1L ERAD E3 ligase adaptor subunit"
"2547","SEL1L2","209631_s_at",1.44e-05,3.6e-06,4.79,3.2577078,0.708,"SEL1L2 ERAD E3 ligase adaptor subunit///G protein-coupled receptor 37","209631_s_at",0.00111,0.000287,-4.1961473,-0.170938,-0.93069479,"SEL1L2 ERAD E3 ligase adaptor subunit///G protein-coupled receptor 37"
"2548","SEL1L3","212314_at",1.28e-12,1.41e-13,8.05,19.9615201,1.09,"SEL1L family member 3","212311_at",2.42e-09,1.96e-11,11.2852269,16.246692,3.16835547,"SEL1L family member 3"
"2549","SELE","206211_at",1.18e-12,1.3e-13,8.07,20.0407661,2.37,"selectin E","206211_at",0.0043,0.00141,3.5777739,-1.722068,1.16803427,"selectin E"
"2550","SELL","204563_at",7.62e-17,5.31e-18,9.72,30.0406479,1.84,"selectin L","204563_at",4.2e-08,1.07e-09,9.306596,12.272497,2.46097596,"selectin L"
"2551","SELM","226051_at",1.4e-06,3.12e-07,-5.33,5.6259069,-0.668,"selenoprotein M","226051_at",1.25e-08,2.07e-10,10.0904877,13.908118,1.45248916,"selenoprotein M"
"2552","SELP","206049_at",6.4e-06,1.54e-06,4.98,4.0797221,0.961,"selectin P","206049_at",6.82e-06,6.72e-07,6.5377772,5.83583,1.09094669,"selectin P"
"2553","SELPLG","209879_at",3.24e-08,5.93e-09,6.13,9.4876,0.974,"selectin P ligand","209879_at",1.3e-07,4.58e-09,8.6419955,10.820606,1.35171636,"selectin P ligand"
"2554","SELT","217811_at",2.16e-05,5.54e-06,4.69,2.8424632,0.65,"selenoprotein T","217811_at",7.28e-05,1.16e-05,5.4243215,3.001103,0.69381665,"selenoprotein T"
"2555","SEMA3E","206941_x_at",2.23e-25,5.93e-27,-12.9,50.5150865,-2.43,"semaphorin 3E","206941_x_at",1.51e-05,1.75e-06,-6.1571758,4.878184,-2.87883544,"semaphorin 3E"
"2556","SEMA4G","219194_at",2.04e-09,3.25e-10,-6.68,12.3320801,-1.41,"semaphorin 4G","219194_at",4.13e-08,1.04e-09,-9.3178807,12.29663,-1.8018987,"semaphorin 4G"
"2557","SEMA6A","1558338_at",3.83e-06,8.96e-07,-5.1,4.6020215,-0.708,"semaphorin 6A","1558338_at",3.48e-05,4.78e-06,-5.7654874,3.879382,-0.77333056,"semaphorin 6A"
"2558","SENP2","228380_at",3.24e-21,1.37e-22,-11.4,40.5243645,-0.787,"SUMO1/sentrin/SMT3 specific peptidase 2","228380_at",5.4e-09,6.36e-11,-10.6776998,15.080228,-0.8717142,"SUMO1/sentrin/SMT3 specific peptidase 2"
"2559","SENP6","214790_at",2.16e-12,2.44e-13,-7.96,19.4181846,-0.902,"SUMO1/sentrin specific peptidase 6","214790_at",3.73e-06,3.25e-07,-6.8305059,6.562191,-0.65318716,"SUMO1/sentrin specific peptidase 6"
"2560","SEPHS1","208941_s_at",5.47e-12,6.48e-13,7.79,18.4528309,0.707,"selenophosphate synthetase 1","208941_s_at",6.37e-06,6.19e-07,6.5707594,5.918135,0.64361806,"selenophosphate synthetase 1"
"2561","SEPP1","229620_at",7.32e-10,1.11e-10,-6.88,13.3862617,-0.964,"selenoprotein P, plasma, 1","229620_at",0.00107,0.000276,-4.2117783,-0.131025,-0.6998611,"selenoprotein P, plasma, 1"
"2562","SEPTIN11","201307_at",6.87e-21,3.04e-22,-11.2,39.7365628,-1,"septin 11","214293_at",0.000351,7.42e-05,4.7131035,1.15937,0.70095592,"septin 11"
"2563","SEPTIN2","1554747_a_at",7.24e-07,1.55e-07,5.48,6.3035462,1.04,"septin 2","1554747_a_at",1.14e-05,1.25e-06,6.2921697,5.219443,0.77653848,"septin 2"
"2564","SEPTIN4","210657_s_at",6.41e-06,1.54e-06,-4.98,4.0784243,-0.651,"septin 4","210657_s_at",1.8e-06,1.31e-07,7.2022121,7.470335,0.83324251,"septin 4"
"2565","SEPTIN6","212415_at",0.00699,0.0026,3.06,-2.9766294,0.613,"septin 6","212415_at",9.93e-09,1.54e-10,10.2361361,14.20302,1.65410774,"septin 6"
"2566","SEPTIN7","217721_at",5.4e-13,5.72e-14,-8.2,20.8497044,-1.55,"septin 7","244508_at",0.0042,0.00138,-3.5887231,-1.695206,-0.97428706,"septin 7"
"2567","SEPTIN8","226627_at",1.42e-11,1.77e-12,-7.62,17.462867,-0.922,"septin 8","226627_at",0.000157,2.89e-05,-5.0733729,2.092787,-0.61983027,"septin 8"
"2568","SERBP1","217725_x_at",2.04e-29,3.36e-31,14.4,60.2436072,0.928,"SERPINE1 mRNA binding protein 1","228129_at",1.54e-06,1.07e-07,-7.2851302,7.670632,-0.94896817,"SERPINE1 mRNA binding protein 1"
"2569","SERPINA1","211429_s_at",2.14e-37,1.46e-39,17.4,79.4011566,4.23,"serpin family A member 1","202833_s_at",2.29e-10,5.07e-13,13.3236351,19.841899,3.10824108,"serpin family A member 1"
"2570","SERPINA12","1552544_at",0.00195,0.000663,-3.47,-1.7086822,-1.16,"serpin family A member 12","1552544_at",2.03e-06,1.53e-07,-7.1379195,7.314445,-2.6229573,"serpin family A member 12"
"2571","SERPINA3","202376_at",2.38e-14,2.16e-15,8.75,24.0914503,2.93,"serpin family A member 3","202376_at",0.0421,0.0206,2.4676859,-4.252186,1.34573166,"serpin family A member 3"
"2572","SERPINB1","212268_at",4.7e-41,2e-43,18.9,88.2532621,2.41,"serpin family B member 1","212268_at",3.33e-07,1.54e-08,8.108489,9.61146,1.69720142,"serpin family B member 1"
"2573","SERPINB12","1553057_at",3.87e-11,5.05e-12,7.43,16.4299954,1.21,"serpin family B member 12","1553057_at",8.48e-06,8.73e-07,-6.433248,5.574238,-1.72731168,"serpin family B member 12"
"2574","SERPINB2","204614_at",1.55e-11,1.93e-12,7.6,17.3765692,0.88,"serpin family B member 2","204614_at",0.000221,4.29e-05,-4.9217513,1.699796,-1.48067919,"serpin family B member 2"
"2575","SERPINB3","209719_x_at",2.26e-45,5.87e-48,20.6,98.6267003,5.51,"serpin family B member 3","209720_s_at",0.026,0.0117,2.7144654,-3.730702,1.26082522,"serpin family B member 3"
"2576","SERPINB4","211906_s_at",3.53e-68,7.1e-72,31.2,153.1856276,9.6,"serpin family B member 4","211906_s_at",0.000697,0.000165,4.4074017,0.370444,3.45738931,"serpin family B member 4"
"2577","SERPINB6","1556950_s_at",5.09e-09,8.48e-10,-6.51,11.3926446,-1.03,"serpin family B member 6","1556950_s_at",0.000811,0.000198,-4.3381939,0.192653,-0.72329592,"serpin family B member 6"
"2578","SERPINB7","206421_s_at",4.24e-12,4.95e-13,7.84,18.7190212,1.81,"serpin family B member 7","206421_s_at",0.00038,8.13e-05,-4.6783675,1.069505,-1.61909059,"serpin family B member 7"
"2579","SERPINB8","206034_at",2.31e-21,9.7e-23,11.4,40.869647,2.15,"serpin family B member 8","206034_at",2.44e-05,3.14e-06,-5.929217,4.29833,-0.95871833,"serpin family B member 8"
"2580","SERPINB9","242814_at",1.07e-17,6.7e-19,10,32.0929733,1.36,"serpin family B member 9","242814_at",0.000142,2.56e-05,5.1189107,2.210795,1.31532691,"serpin family B member 9"
"2581","SERPINH1","207714_s_at",0.00098,0.000317,-3.68,-1.0156184,-0.764,"serpin family H member 1","207714_s_at",1.54e-08,2.74e-10,9.9537372,13.62869,1.60720622,"serpin family H member 1"
"2582","SERPINI1","205352_at",1.1e-07,2.13e-08,-5.88,8.2370775,-0.678,"serpin family I member 1","205352_at",1.21e-07,4.22e-09,8.6793053,10.903713,1.13432041,"serpin family I member 1"
"2583","SERTAD4","233907_s_at",1.36e-11,1.68e-12,7.63,17.5134475,1.38,"SERTA domain containing 4","229674_at",0.00925,0.00346,-3.2209227,-2.581187,-0.75208599,"SERTA domain containing 4"
"2584","SERTM1","241672_at",0.000271,8.09e-05,-4.04,0.276985,-0.866,"serine rich and transmembrane domain containing 1","241672_at",1.19e-05,1.32e-06,-6.2697541,5.162894,-2.55667676,"serine rich and transmembrane domain containing 1"
"2585","SESN3","242906_at",0.000292,8.73e-05,-4.02,0.2039474,-0.595,"sestrin 3","235683_at",0.00478,0.0016,3.528447,-1.842748,0.82776195,"sestrin 3"
"2586","SETD2","220946_s_at",9.64e-07,2.1e-07,-5.41,6.0107412,-0.876,"SET domain containing 2","220946_s_at",0.00227,0.000666,-3.8716508,-0.992669,-0.60842992,"SET domain containing 2"
"2587","SETD4","213989_x_at",2.7e-12,3.09e-13,7.92,19.1838862,0.663,"SET domain containing 4","219482_at",1.53e-06,1.07e-07,-7.287335,7.675946,-0.77323526,"SET domain containing 4"
"2588","SEZ6L","213609_s_at",2.58e-08,4.66e-09,-6.18,9.7232067,-1.15,"seizure related 6 homolog like","213609_s_at",0.0338,0.0159,-2.5810298,-4.016263,-0.76372975,"seizure related 6 homolog like"
"2589","SF1","1555749_at",0.0365,0.0157,-2.44,-4.6018315,-0.648,"splicing factor 1","210172_at",0.00873,0.00324,-3.2478281,-2.517635,-1.07268695,"splicing factor 1"
"2590","SFPQ","201585_s_at",2.05e-06,4.66e-07,5.24,5.2363363,0.675,"splicing factor proline and glutamine rich","214016_s_at",2.72e-05,3.59e-06,-5.8770297,4.165003,-0.67110288,"splicing factor proline and glutamine rich"
"2591","SFSWAP","202773_s_at",1.11e-05,2.74e-06,-4.85,3.5205909,-0.606,"splicing factor SWAP homolog","202773_s_at",0.000422,9.22e-05,-4.6304716,0.945668,-0.79531794,"splicing factor SWAP homolog"
"2592","SFT2D3","218851_s_at",1.78e-06,4e-07,-5.28,5.3830887,-0.808,"SFT2 domain containing 3///WD repeat domain 33","229141_at",1.33e-06,8.99e-08,-7.3580985,7.846183,-1.20927697,"SFT2 domain containing 3///WD repeat domain 33"
"2593","SFTPD","214199_at",4.16e-06,9.78e-07,5.08,4.5180451,0.736,"surfactant protein D","214199_at",0.00223,0.000654,-3.8787782,-0.974783,-0.77330357,"surfactant protein D"
"2594","SFXN1","218392_x_at",6.13e-31,8.42e-33,15,63.9118136,1.01,"sideroflexin 1","232055_at",3.16e-05,4.28e-06,-5.8086955,3.990125,-1.16745163,"sideroflexin 1"
"2595","SFXN2","227560_at",1.25e-14,1.1e-15,8.86,24.7578139,1.11,"sideroflexin 2","227560_at",0.000135,2.41e-05,5.1418057,2.270116,0.79002423,"sideroflexin 2"
"2596","SFXN4","231505_s_at",3.65e-05,9.65e-06,4.56,2.3093478,0.607,"sideroflexin 4","230637_at",4.75e-05,6.94e-06,-5.6211913,3.508688,-0.71298542,"sideroflexin 4"
"2597","SGCA","210632_s_at",1.71e-08,3.02e-09,-6.26,10.1470497,-1.01,"sarcoglycan alpha","210632_s_at",0.000943,0.000237,-4.2702533,0.018508,-0.97025372,"sarcoglycan alpha"
"2598","SGCB","205121_at",2.54e-06,5.83e-07,-5.2,5.0185728,-0.741,"sarcoglycan beta","205120_s_at",0.000233,4.57e-05,4.8980103,1.638268,0.64069375,"sarcoglycan beta"
"2599","SGCD","213543_at",6.54e-09,1.1e-09,-6.46,11.1365785,-1.05,"sarcoglycan delta","210330_at",1.81e-07,7.08e-09,8.4482167,10.385908,1.71367011,"sarcoglycan delta"
"2600","SGCE","204688_at",2e-17,1.3e-18,-9.94,31.4390223,-1.21,"sarcoglycan epsilon","204688_at",9.87e-05,1.66e-05,5.2843906,2.639328,0.62116188,"sarcoglycan epsilon"
"2601","SGCG","207302_at",7.75e-13,8.34e-14,-8.14,20.4770057,-2.05,"sarcoglycan gamma","207302_at",4.61e-07,2.34e-08,-7.92762,9.192782,-3.01662239,"sarcoglycan gamma"
"2602","SGK2","220357_s_at",0.000947,0.000306,-3.69,-0.9816432,-0.687,"SGK2, serine/threonine kinase 2","230573_at",0.0478,0.024,-2.3987436,-4.392513,-1.03722736,"SGK2, serine/threonine kinase 2"
"2603","SGO2","230165_at",3.48e-22,1.32e-23,11.7,42.8537408,1.2,"shugoshin 2","230165_at",0.000221,4.31e-05,4.9200566,1.695404,0.61033625,"shugoshin 2"
"2604","SGPP2","238567_at",4.62e-18,2.77e-19,10.2,32.9697056,2.23,"sphingosine-1-phosphate phosphatase 2","226560_at",0.00127,0.000336,-4.1357566,-0.324892,-0.97972669,"sphingosine-1-phosphate phosphatase 2"
"2605","SGSM1","230287_at",1.36e-24,4.02e-26,-12.6,48.6120739,-1.91,"small G protein signaling modulator 1","230287_at",3.73e-11,2.83e-14,-15.120333,22.648479,-1.59293089,"small G protein signaling modulator 1"
"2606","SH2D3A","219513_s_at",3.7e-12,4.3e-13,7.86,18.8572186,1.16,"SH2 domain containing 3A","219513_s_at",0.00869,0.00322,-3.2503388,-2.511693,-0.66374499,"SH2 domain containing 3A"
"2607","SH3BGRL2","225354_s_at",5.75e-17,3.93e-18,-9.76,30.3375302,-1.29,"SH3 domain binding glutamate rich protein like 2","225354_s_at",0.0121,0.00471,-3.0955741,-2.874275,-0.72264309,"SH3 domain binding glutamate rich protein like 2"
"2608","SH3BP2","209371_s_at",0.000209,6.12e-05,-4.11,0.5419405,-0.908,"SH3 domain binding protein 2","211250_s_at",0.000225,4.4e-05,4.912636,1.676172,0.64185035,"SH3 domain binding protein 2"
"2609","SH3BP5","201811_x_at",4.76e-24,1.48e-25,-12.4,47.3174356,-0.804,"SH3 domain binding protein 5","201810_s_at",0.00305,0.000944,3.7362353,-1.330833,0.67885745,"SH3 domain binding protein 5"
"2610","SH3D19","1558647_at",0.00273,0.000951,-3.36,-2.0453497,-0.806,"SH3 domain containing 19","1558647_at",0.0262,0.0118,-2.7116702,-3.736766,-0.64261514,"SH3 domain containing 19"
"2611","SH3RF2","228892_at",4.05e-23,1.38e-24,12.1,45.0983095,1.09,"SH3 domain containing ring finger 2","228892_at",3.69e-07,1.76e-08,-8.0488485,9.473889,-1.44294064,"SH3 domain containing ring finger 2"
"2612","SHANK2","213308_at",4.92e-11,6.5e-12,-7.39,16.1802589,-1.15,"SH3 and multiple ankyrin repeat domains 2","243681_at",0.0261,0.0118,-2.7122871,-3.735428,-0.86388458,"SH3 and multiple ankyrin repeat domains 2"
"2613","SHC1","201469_s_at",1.89e-31,2.44e-33,15.2,65.1424315,2.01,"SHC adaptor protein 1","201469_s_at",2.18e-05,2.74e-06,5.9819917,4.432947,0.86133303,"SHC adaptor protein 1"
"2614","SHCBP1","219493_at",1.47e-15,1.18e-16,9.22,26.9683194,1.66,"SHC binding and spindle associated 1","219493_at",0.000369,7.86e-05,4.6913621,1.103118,1.03413842,"SHC binding and spindle associated 1"
"2615","SHISA6","217481_x_at",7.08e-05,1.95e-05,4.4,1.6356896,0.666,"shisa family member 6","229266_at",0.00183,0.000519,-3.9680203,-0.750152,-0.97935897,"shisa family member 6"
"2616","SHKBP1","224846_at",3.45e-10,5.05e-11,7.02,14.163056,0.859,"SH3KBP1 binding protein 1","224846_at",1.63e-05,1.93e-06,6.1196875,4.783125,0.82586853,"SH3KBP1 binding protein 1"
"2617","SHMT2","214095_at",1.9e-11,2.39e-12,7.57,17.1654007,0.868,"serine hydroxymethyltransferase 2","214095_at",3.97e-05,5.59e-06,5.7050108,3.724174,0.60702566,"serine hydroxymethyltransferase 2"
"2618","SHOX2","210135_s_at",1.77e-07,3.52e-08,-5.78,7.7491917,-0.648,"short stature homeobox 2","208443_x_at",2.45e-05,3.16e-06,5.926287,4.29085,0.93802728,"short stature homeobox 2"
"2619","SHPK","219713_at",2.16e-18,1.26e-19,10.3,33.7508382,0.996,"sedoheptulokinase","219632_s_at",7.82e-05,1.26e-05,-5.3910327,2.915103,-0.78290267,"sedoheptulokinase///transient receptor potential cation channel subfamily V member 1"
"2620","SHROOM3","228400_at",8.04e-08,1.54e-08,-5.95,8.5570774,-0.949,"shroom family member 3","225548_at",0.000136,2.44e-05,-5.1381126,2.260548,-1.22477644,"shroom family member 3"
"2621","SIDT1","219734_at",3.82e-06,8.94e-07,5.1,4.6042175,0.707,"SID1 transmembrane family member 1","219734_at",0.000172,3.2e-05,5.0337492,1.99009,0.99742134,"SID1 transmembrane family member 1"
"2622","SIGIRR","218921_at",5.26e-05,1.42e-05,-4.47,1.9379238,-0.591,"single Ig and TIR domain containing","52940_at",1.86e-07,7.36e-09,8.431419,10.347984,0.83569488,"single Ig and TIR domain containing"
"2623","SIK3","204157_s_at",3.68e-17,2.46e-18,9.84,30.8038554,1.58,"SIK family kinase 3","1563455_at",0.000493,0.00011,-4.5621539,0.769204,-0.89668986,"SIK family kinase 3"
"2624","SIPA1L1","237032_x_at",3.05e-25,8.23e-27,12.9,50.1895468,1.74,"signal induced proliferation associated 1 like 1","237032_x_at",0.000427,9.34e-05,4.6255123,0.932851,0.87658002,"signal induced proliferation associated 1 like 1"
"2625","SIRPA","202896_s_at",1.3e-16,9.28e-18,9.63,29.4868442,0.798,"signal regulatory protein alpha","202896_s_at",7.33e-07,4.22e-08,7.6761734,8.603479,0.83298494,"signal regulatory protein alpha"
"2626","SIRPG","220485_s_at",1.24e-17,7.8e-19,10,31.94184,1.61,"signal regulatory protein gamma","220485_s_at",1.18e-10,1.73e-13,13.9740161,20.894187,2.12409305,"signal regulatory protein gamma"
"2627","SIX1","228347_at",0.000125,3.57e-05,-4.25,1.0573255,-1.37,"SIX homeobox 1","228347_at",7.27e-05,1.15e-05,5.4252601,3.003527,1.86810628,"SIX homeobox 1"
"2628","SKIDA1","1559266_s_at",2.11e-06,4.78e-07,-5.24,5.2113771,-0.587,"SKI/DACH domain containing 1","1559266_s_at",1.59e-06,1.11e-07,-7.2687274,7.631077,-1.1724806,"SKI/DACH domain containing 1"
"2629","SLA","203761_at",2.17e-08,3.91e-09,6.21,9.896636,0.982,"Src-like-adaptor","203761_at",1.93e-07,7.69e-09,8.4119449,10.303971,1.41088272,"Src-like-adaptor"
"2630","SLA2","232234_at",3.07e-08,5.6e-09,6.14,9.5437132,0.821,"Src like adaptor 2","232234_at",6.73e-07,3.78e-08,7.7228191,8.713432,1.2995594,"Src like adaptor 2"
"2631","SLAIN2","224845_s_at",2.75e-13,2.84e-14,8.32,21.5432431,0.629,"SLAIN motif family member 2","233874_at",2.93e-05,3.92e-06,-5.8429206,4.077753,-0.69536865,"SLAIN motif family member 2"
"2632","SLAMF1","239427_at",8.01e-10,1.22e-10,6.86,13.294877,0.642,"signaling lymphocytic activation molecule family member 1","206181_at",1.71e-08,3.13e-10,9.8890203,13.495588,2.347247,"signaling lymphocytic activation molecule family member 1"
"2633","SLAMF7","222838_at",3.28e-38,2.04e-40,17.7,81.3601324,3.65,"SLAM family member 7","219159_s_at",8.53e-09,1.24e-10,10.3422734,14.416175,3.56046485,"SLAM family member 7"
"2634","SLAMF8","219386_s_at",2.36e-13,2.42e-14,8.35,21.7014875,1.48,"SLAM family member 8","219385_at",1.16e-07,3.97e-09,8.7065034,10.964176,2.0783404,"SLAM family member 8"
"2635","SLC12A8","219874_at",1.07e-10,1.48e-11,7.24,15.3702753,1.35,"solute carrier family 12 member 8","219874_at",9.93e-07,6.16e-08,7.5163675,8.224632,1.75343394,"solute carrier family 12 member 8"
"2636","SLC12A9","223995_at",1.6e-17,1.02e-18,9.98,31.674196,1.54,"solute carrier family 12 member 9","223995_at",2.09e-06,1.59e-07,7.1228894,7.277929,0.95151029,"solute carrier family 12 member 9"
"2637","SLC15A1","207254_at",2.03e-11,2.57e-12,7.55,17.0947765,0.62,"solute carrier family 15 member 1","207254_at",0.0245,0.0109,-2.7449725,-3.664292,-0.74801005,"solute carrier family 15 member 1"
"2638","SLC15A2","205316_at",0.000172,4.99e-05,-4.16,0.735755,-0.695,"solute carrier family 15 member 2","205317_s_at",2.04e-05,2.53e-06,6.0132219,4.512506,1.17440825,"solute carrier family 15 member 2"
"2639","SLC16A1-AS1","1568813_at",1.47e-08,2.59e-09,-6.29,10.300277,-1.06,"SLC16A1 antisense RNA 1","1568813_at",0.00301,0.000929,-3.7423261,-1.315694,-0.63838456,"SLC16A1 antisense RNA 1"
"2640","SLC16A10","222939_s_at",2.06e-27,4.37e-29,13.7,55.3995041,2.6,"solute carrier family 16 member 10","222939_s_at",0.031,0.0144,-2.6260662,-3.920797,-0.60318785,"solute carrier family 16 member 10"
"2641","SLC16A14","238029_s_at",1.91e-11,2.4e-12,7.56,17.1606,0.585,"solute carrier family 16 member 14","238029_s_at",1.08e-06,6.83e-08,-7.4725799,8.120249,-1.00504252,"solute carrier family 16 member 14"
"2642","SLC16A4","205234_at",2.13e-07,4.29e-08,-5.74,7.5562601,-0.843,"solute carrier family 16 member 4","205234_at",0.00116,0.000301,4.1783864,-0.216258,1.0264447,"solute carrier family 16 member 4"
"2643","SLC16A7","207057_at",0.000404,0.000123,-3.93,-0.1231069,-0.934,"solute carrier family 16 member 7","241925_x_at",0.00889,0.00331,-3.2395148,-2.537295,-0.60188963,"solute carrier family 16 member 7"
"2644","SLC16A9","227506_at",1.13e-08,1.96e-09,6.35,10.5733114,0.783,"solute carrier family 16 member 9","227506_at",3.22e-05,4.38e-06,5.7996097,3.966848,1.25663541,"solute carrier family 16 member 9"
"2645","SLC18A2","205857_at",2.78e-15,2.29e-16,-9.11,26.3119069,-1.46,"solute carrier family 18 member A2","205857_at",0.000784,0.00019,-4.3536531,0.232333,-0.601935,"solute carrier family 18 member A2"
"2646","SLC1A1","213664_at",4.54e-07,9.51e-08,5.58,6.7807241,1.02,"solute carrier family 1 member 1","213664_at",1.85e-07,7.3e-09,8.4350223,10.356123,1.12775311,"solute carrier family 1 member 1"
"2647","SLC1A2","225491_at",1.13e-11,1.39e-12,-7.66,17.7041358,-1.21,"solute carrier family 1 member 2","208389_s_at",0.00169,0.000473,-4.0043882,-0.658269,-0.8388469,"solute carrier family 1 member 2"
"2648","SLC1A3","202800_at",2.62e-16,1.93e-17,9.51,28.7602923,0.985,"solute carrier family 1 member 3","202800_at",9.03e-07,5.47e-08,7.5662785,8.343311,0.93165373,"solute carrier family 1 member 3"
"2649","SLC1A4","244377_at",2.11e-10,3.02e-11,-7.12,14.669173,-0.683,"solute carrier family 1 member 4","209611_s_at",3.26e-05,4.43e-06,5.7949656,3.954948,0.6520686,"solute carrier family 1 member 4"
"2650","SLC1A6","1554593_s_at",8.27e-13,8.93e-14,-8.13,20.4098282,-1.54,"solute carrier family 1 member 6","206882_at",0.00134,0.00036,-4.1097347,-0.391101,-0.86446328,"solute carrier family 1 member 6"
"2651","SLC22A15","228497_at",1.93e-11,2.43e-12,-7.56,17.1493342,-1.15,"solute carrier family 22 member 15","228497_at",0.00244,0.000728,-3.83722,-1.078955,-0.67665601,"solute carrier family 22 member 15"
"2652","SLC22A23","223194_s_at",1.03e-14,8.93e-16,8.89,24.9631143,0.895,"solute carrier family 22 member 23","223194_s_at",0.000174,3.24e-05,-5.0288851,1.977482,-0.71499035,"solute carrier family 22 member 23"
"2653","SLC23A1","223732_at",5.91e-14,5.63e-15,8.59,23.1421856,1.38,"solute carrier family 23 member 1","223732_at",6.27e-05,9.67e-06,-5.4927654,3.17778,-1.39714157,"solute carrier family 23 member 1"
"2654","SLC23A2","209237_s_at",8.92e-24,2.85e-25,12.3,46.6644787,2.48,"solute carrier family 23 member 2","211572_s_at",0.000673,0.000158,4.424099,0.413394,0.97161825,"solute carrier family 23 member 2"
"2655","SLC25A13","203775_at",6.93e-17,4.79e-18,9.73,30.1413856,0.746,"solute carrier family 25 member 13","229061_s_at",0.000302,6.21e-05,-4.7813121,1.335939,-0.65791862,"solute carrier family 25 member 13"
"2656","SLC25A15","218653_at",2.25e-21,9.41e-23,11.4,40.9005811,1.14,"solute carrier family 25 member 15","218653_at",1.81e-05,2.2e-06,6.0680434,4.651972,0.59712061,"solute carrier family 25 member 15"
"2657","SLC25A19","223222_at",6.4e-09,1.08e-09,6.46,11.1582722,0.767,"solute carrier family 25 member 19","223222_at",1.9e-08,3.61e-10,9.820186,13.353407,1.18417774,"solute carrier family 25 member 19"
"2658","SLC25A27","230624_at",0.00105,0.00034,-3.66,-1.082453,-0.624,"solute carrier family 25 member 27","230624_at",3.03e-06,2.51e-07,-6.9350803,6.819341,-1.45420787,"solute carrier family 25 member 27"
