"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL"
"837","SELM","226051_at",1.4e-06,3.12e-07,-5.33,5.6259069,-0.668,"selenoprotein M","ILMN_1651429",0.00738026,0.000724,-3.7464409,-0.64761,-1.1175221,"selenoprotein M"
"838","SELT","217811_at",2.16e-05,5.54e-06,4.69,2.8424632,0.65,"selenoprotein T","ILMN_1746368",0.00523713,0.000442,3.9251662,-0.18263,0.9430957,"selenoprotein T"
"839","SEMA4A","219259_at",1.11e-21,4.5e-23,11.5,41.6340736,1.09,"semaphorin 4A","ILMN_1702787",0.00285635,0.000183,-4.2392106,0.65024,-1.0452961,"semaphorin 4A"
"840","SEMA4B","234725_s_at",1.93e-25,5.11e-27,12.9,50.6639771,0.871,"semaphorin 4B","ILMN_1672589",0.01245046,0.00157,-3.4609021,-1.37349,-0.872243,"semaphorin 4B"
"841","SEPP1","229620_at",7.32e-10,1.11e-10,-6.88,13.3862617,-0.964,"selenoprotein P, plasma, 1","ILMN_1785071",0.00136233,5.83e-05,4.6412287,1.73811,1.3608987,"selenoprotein P, plasma, 1"
"842","SEPSECS","1553167_a_at",5.99e-18,3.64e-19,10.1,32.6989093,1.07,"Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase","ILMN_1750092",0.02982205,0.00545,2.9852825,-2.5236,1.0905747,"Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase"
"843","SEPTIN11","201307_at",6.87e-21,3.04e-22,-11.2,39.7365628,-1,"septin 11","ILMN_1788778",0.04943732,0.0109,2.7065962,-3.15455,0.8806102,"septin 11"
"844","SERINC2","224762_at",1.19e-12,1.3e-13,8.06,20.0366215,0.822,"serine incorporator 2","ILMN_2111932",0.00442938,0.000342,-4.0169185,0.05879,-0.8746761,"serine incorporator 2"
"845","SERPINB3","209719_x_at",2.26e-45,5.87e-48,20.6,98.6267003,5.51,"serpin family B member 3","ILMN_1703855",0.02797726,0.00497,3.0210238,-2.44018,0.9657831,"serpin family B member 3"
"846","SERPINB8","206034_at",2.31e-21,9.7e-23,11.4,40.869647,2.15,"serpin family B member 8","ILMN_1718960",0.04630057,0.00998,2.7426044,-3.07508,0.830939,"serpin family B member 8"
"847","SF1","1555749_at",0.0365,0.0157,-2.44,-4.6018315,-0.648,"splicing factor 1","ILMN_1712560",0.03231383,0.00611,-2.9401125,-2.62825,-0.6109512,"splicing factor 1"
"848","SF3B1","214305_s_at",7.98e-08,1.53e-08,-5.95,8.5635983,-0.685,"splicing factor 3b subunit 1","ILMN_1706075",0.01637366,0.00235,3.3105186,-1.74592,1.1708731,"splicing factor 3b subunit 1"
"849","SGK223","235085_at",4.32e-11,5.67e-12,7.41,16.3142482,0.753,"homolog of rat pragma of Rnd2","ILMN_1757872",0.00998753,0.00114,-3.5800793,-1.07331,-0.8071752,"homolog of rat pragma of Rnd2"
"850","SGSM1","230287_at",1.36e-24,4.02e-26,-12.6,48.6120739,-1.91,"small G protein signaling modulator 1","ILMN_1762207",0.00016646,2.29e-06,-5.76526,4.83154,-1.2550448,"small G protein signaling modulator 1"
"851","SH3BGRL3","221269_s_at",8.59e-19,4.82e-20,10.5,34.7040662,0.732,"SH3 domain binding glutamate rich protein like 3","ILMN_1737163",0.00641613,0.000596,-3.8170345,-0.46484,-1.1427502,"SH3 domain binding glutamate rich protein like 3"
"852","SH3GL3","205637_s_at",7.32e-21,3.25e-22,11.2,39.6699885,1.51,"SH3 domain containing GRB2 like 3, endophilin A3","ILMN_1760990",0.03280067,0.00624,2.9314711,-2.64817,0.9168341,"SH3 domain containing GRB2 like 3, endophilin A3"
"853","SHC1","201469_s_at",1.89e-31,2.44e-33,15.2,65.1424315,2.01,"SHC adaptor protein 1","ILMN_1721022",0.03204995,0.00604,-2.9443734,-2.61841,-0.7973669,"SHC adaptor protein 1"
"854","SHKBP1","224846_at",3.45e-10,5.05e-11,7.02,14.163056,0.859,"SH3KBP1 binding protein 1","ILMN_1765493",0.00216572,0.00012,-4.3886195,1.0522,-0.7024315,"SH3KBP1 binding protein 1"
"855","SHMT2","214095_at",1.9e-11,2.39e-12,7.57,17.1654007,0.868,"serine hydroxymethyltransferase 2","ILMN_1661264",0.04141507,0.00856,-2.8049265,-2.93604,-0.7629844,"serine hydroxymethyltransferase 2"
"856","SHROOM2","204967_at",2.1e-32,2.4e-34,15.5,67.4506356,2.51,"shroom family member 2","ILMN_1681777",0.0434227,0.00912,-2.7792416,-2.99357,-0.6283809,"shroom family member 2"
"857","SIRPG","220485_s_at",1.24e-17,7.8e-19,10,31.94184,1.61,"signal regulatory protein gamma","ILMN_1771801",0.01421275,0.00189,3.3913506,-1.54666,0.7018416,"signal regulatory protein gamma"
"858","SKA2","225686_at",2.88e-44,8.92e-47,20.2,95.9230228,1.75,"spindle and kinetochore associated complex subunit 2","ILMN_1807807",0.0004914,1.18e-05,5.1973254,3.26543,0.8082806,"spindle and kinetochore associated complex subunit 2"
"859","SLC1A3","202800_at",2.62e-16,1.93e-17,9.51,28.7602923,0.985,"solute carrier family 1 member 3","ILMN_1738552",0.00085651,2.94e-05,4.8800274,2.39191,0.7522134,"solute carrier family 1 member 3"
"860","SLC25A10","218275_at",1.94e-21,8.06e-23,11.4,41.0542544,0.771,"solute carrier family 25 member 10","ILMN_1804090",0.0005041,1.22e-05,-5.1832325,3.22656,-0.8300519,"solute carrier family 25 member 10"
"861","SLC25A29","225306_s_at",1.1e-06,2.42e-07,-5.38,5.8728888,-0.595,"solute carrier family 25 member 29","ILMN_2350801",0.00384178,0.000281,-4.0873475,0.24523,-0.6694337,"solute carrier family 25 member 29"
"862","SLC27A1","226728_at",6.18e-25,1.74e-26,-12.7,49.4426872,-1.29,"solute carrier family 27 member 1","ILMN_1787718",0.00065962,1.92e-05,-5.0280411,2.79892,-0.8724305,"solute carrier family 27 member 1"
"863","SLC29A4","1570124_at",1.65e-11,2.07e-12,-7.59,17.3090133,-1.57,"solute carrier family 29 member 4","ILMN_1801377",0.00858131,0.00091,-3.662974,-0.86212,-0.6352981,"solute carrier family 29 member 4"
"864","SLC2A1","201249_at",1.99e-33,2.08e-35,15.9,69.8836134,3.34,"solute carrier family 2 member 1","ILMN_1659027",0.03797142,0.00758,-2.8537489,-2.82584,-0.6822261,"solute carrier family 2 member 1"
"865","SLC30A5","1555334_s_at",2.08e-05,5.32e-06,4.7,2.8827842,0.912,"solute carrier family 30 member 5","ILMN_1664153",0.03730676,0.00739,2.8639264,-2.80273,0.8184759,"solute carrier family 30 member 5"
"866","SLC30A9","229500_at",2.64e-30,3.89e-32,14.7,62.3883608,2.55,"solute carrier family 30 member 9","ILMN_1799128",0.03333811,0.00638,2.922941,-2.6678,0.7293343,"solute carrier family 30 member 9"
"867","SLC35F6","204962_s_at",2.29e-24,6.86e-26,12.5,48.0812423,1.79,"solute carrier family 35 member F6///centromere protein A","ILMN_1812688",0.00125872,5.23e-05,-4.6790961,1.84149,-1.0314232,"solute carrier family 35 member F6"
"868","SLC38A10","230448_at",9.84e-16,7.72e-17,9.29,27.3877023,1.34,"solute carrier family 38 member 10","ILMN_2277419",0.00130646,5.49e-05,-4.6620126,1.79484,-0.7760381,"solute carrier family 38 member 10"
"869","SLC38A9","243709_at",4.18e-08,7.75e-09,-6.08,9.2267557,-0.996,"solute carrier family 38 member 9","ILMN_1773643",0.0025061,0.00015,4.3092393,0.83824,0.7156541,"solute carrier family 38 member 9"
"870","SLC39A6","1555460_a_at",1.28e-20,5.79e-22,11.1,39.094405,3.01,"solute carrier family 39 member 6","ILMN_1750394",0.01122796,0.00135,3.518209,-1.22967,1.1943261,"solute carrier family 39 member 6"
"871","SLC39A8","216504_s_at",0.000301,9.03e-05,-4.01,0.1725981,-0.87,"solute carrier family 39 member 8","ILMN_1695316",0.04780565,0.0104,2.7253726,-3.11319,0.6206374,"solute carrier family 39 member 8"
"872","SLC44A2","224609_at",3.83e-22,1.46e-23,11.7,42.7527402,0.854,"solute carrier family 44 member 2","ILMN_1771987",0.04635946,0.00999,-2.7419773,-3.07647,-0.7693152,"solute carrier family 44 member 2"
"873","SLC47A2","231068_at",3.35e-05,8.81e-06,4.59,2.3971316,1.02,"solute carrier family 47 member 2","ILMN_1693912",0.00083362,2.82e-05,4.8939846,2.43024,1.6783035,"solute carrier family 47 member 2"
"874","SLC6A8","213843_x_at",2.46e-08,4.44e-09,6.19,9.77152,0.886,"solute carrier family 6 member 8","ILMN_1806349",0.00124714,5.13e-05,-4.6857115,1.85957,-0.7814854,"solute carrier family 6 member 8"
"875","SLIRP","221434_s_at",1.23e-21,4.98e-23,11.5,41.5327966,0.708,"SRA stem-loop interacting RNA binding protein","ILMN_1661945",0.00080352,2.64e-05,4.9164864,2.49207,1.7107153,"SRA stem-loop interacting RNA binding protein"
"876","SLK","206875_s_at",1.61e-19,8.28e-21,10.7,36.4534842,0.605,"STE20 like kinase","ILMN_1700834",0.00258021,0.000157,4.2943018,0.79808,1.4319668,"STE20 like kinase"
"877","SMAD5-AS1","220263_at",0.00272,0.000946,-3.37,-2.0399189,-0.676,"SMAD5 antisense RNA 1","ILMN_1867725",0.01181831,0.00145,3.4911069,-1.29781,0.89029,"SMAD5 antisense RNA 1"
"878","SMARCA1","203875_at",3.41e-12,3.95e-13,-7.88,18.9419801,-0.644,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1","ILMN_2376263",0.00173024,8.53e-05,4.5081435,1.37587,1.0303637,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"
"879","SMARCA5","202303_x_at",3.62e-15,3.01e-16,9.07,26.038777,0.683,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5","ILMN_1713163",0.00974125,0.0011,3.5944652,-1.0368,0.7333803,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5"
"880","SMARCC2","201320_at",2.13e-09,3.41e-10,-6.68,12.2872119,-0.644,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2","ILMN_1773620",0.04279708,0.00896,-2.7864188,-2.97752,-0.8471591,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2"
"881","SMC2","204240_s_at",1.9e-30,2.75e-32,14.8,62.7329737,2.16,"structural maintenance of chromosomes 2","ILMN_2411190",4.105e-05,2.17e-07,6.5903235,7.08245,1.5757994,"structural maintenance of chromosomes 2"
"882","SMC4","201663_s_at",2.8e-29,4.75e-31,14.4,59.8989641,2.25,"structural maintenance of chromosomes 4","ILMN_2330861",3.612e-05,1.56e-07,6.7066667,7.39559,1.7827555,"structural maintenance of chromosomes 4"
"883","SMIM11A","228239_at",1.39e-26,3.27e-28,-13.4,53.3975419,-0.687,"small integral membrane protein 11A","ILMN_2356311",9.68e-06,1.11e-08,7.6639505,9.91609,0.961497,"small integral membrane protein 11A"
"884","SMOX","210357_s_at",9.64e-40,4.86e-42,18.3,85.0770106,2.56,"spermine oxidase","ILMN_2367258",0.01840803,0.00275,-3.2503952,-1.89268,-0.6307849,"spermine oxidase"
"885","SMPD1","209420_s_at",7.73e-26,1.95e-27,13.1,51.6204115,0.905,"sphingomyelin phosphodiesterase 1","ILMN_1757370",0.00391005,0.000288,-4.078893,0.22281,-0.6381209,"sphingomyelin phosphodiesterase 1"
"886","SMYD2","212922_s_at",2.26e-18,1.32e-19,10.3,33.7055059,0.63,"SET and MYND domain containing 2","ILMN_1721605",0.00076315,2.44e-05,4.9443593,2.56868,0.7951538,"SET and MYND domain containing 2"
"887","SNRPA","201770_at",6.75e-10,1.02e-10,6.9,13.4692992,0.614,"small nuclear ribonucleoprotein polypeptide A","ILMN_1779399",0.00476248,0.000383,-3.9767059,-0.04723,-0.8427937,"small nuclear ribonucleoprotein polypeptide A"
"888","SNRPA1","242146_at",1.94e-07,3.88e-08,-5.76,7.6547092,-1.4,"small nuclear ribonucleoprotein polypeptide A'","ILMN_1715179",0.00595323,0.000533,3.857567,-0.35936,1.1547001,"small nuclear ribonucleoprotein polypeptide A'"
"889","SNRPD1","202691_at",2.04e-21,8.5e-23,11.4,41.0014988,0.852,"small nuclear ribonucleoprotein D1 polypeptide","ILMN_1768393",0.00233659,0.000136,4.3443149,0.93268,0.7555378,"small nuclear ribonucleoprotein D1 polypeptide"
"890","SNRPG","205644_s_at",4.74e-23,1.63e-24,12,44.9331501,0.618,"small nuclear ribonucleoprotein polypeptide G","ILMN_1683562",0.00015258,2e-06,5.8123082,4.96097,1.6993653,"small nuclear ribonucleoprotein polypeptide G"
"891","SNX16","219793_at",2.54e-21,1.07e-22,11.4,40.7734091,1.1,"sorting nexin 16","ILMN_1787415",0.04127085,0.00851,2.8072682,-2.93078,0.8840795,"sorting nexin 16"
"892","SNX33","229898_at",8.94e-15,7.75e-16,-8.92,25.104164,-0.588,"sorting nexin 33","ILMN_1736093",0.00159953,7.5e-05,-4.5533869,1.49881,-1.0096386,"sorting nexin 33"
"893","SOX9","202936_s_at",9.02e-14,8.78e-15,-8.52,22.7016422,-0.803,"SRY-box 9","ILMN_1805466",0.00705112,0.000684,-3.7670433,-0.5944,-0.7948782,"SRY-box 9"
"894","SP1","214732_at",5.45e-08,1.02e-08,6.03,8.9535735,0.84,"Sp1 transcription factor","ILMN_1676010",0.01421275,0.00189,-3.3913248,-1.54672,-0.6794782,"Sp1 transcription factor"
"895","SP100","210985_s_at",4.45e-16,3.36e-17,9.42,28.2127311,1.43,"SP100 nuclear antigen","ILMN_2390586",0.00571813,0.000502,3.8792129,-0.30288,1.1075647,"SP100 nuclear antigen"
"896","SP110","209762_x_at",5.38e-30,8.29e-32,14.6,61.6361617,1.54,"SP110 nuclear body protein","ILMN_2415144",0.0411394,0.00847,2.8090919,-2.92668,0.6901647,"SP110 nuclear body protein"
"897","SPA17","205406_s_at",2.99e-12,3.44e-13,7.9,19.0790594,0.768,"sperm autoantigenic protein 17","ILMN_1678423",3.947e-05,1.84e-07,6.6495187,7.24193,2.0725272,"sperm autoantigenic protein 17"
"898","SPAG16","219109_at",2.9e-25,7.81e-27,-12.9,50.2419204,-0.719,"sperm associated antigen 16","ILMN_1768732",0.03423768,0.00662,2.9082889,-2.70144,0.7145956,"sperm associated antigen 16"
"899","SPCS3","218817_at",3.2e-29,5.47e-31,14.3,59.7581899,2.63,"signal peptidase complex subunit 3","ILMN_1667707",0.04688051,0.0101,2.736041,-3.08961,0.6828736,"signal peptidase complex subunit 3"
"900","SPIN4","228654_at",6.92e-17,4.78e-18,9.73,30.1436272,1.35,"spindlin family member 4","ILMN_1684563",0.01054781,0.00123,3.5516347,-1.14534,0.8538226,"spindlin family member 4"
"901","SPINK7","223720_at",0.0127,0.00498,2.85,-3.571082,1.07,"serine peptidase inhibitor, Kazal type 7 (putative)","ILMN_1720984",0.00370627,0.000266,4.1072353,0.29805,1.4517504,"serine peptidase inhibitor, Kazal type 7 (putative)"
"902","SPRED1","244439_at",0.00102,0.000331,-3.66,-1.0573825,-0.652,"sprouty related EVH1 domain containing 1","ILMN_1804277",0.0087618,0.000934,3.6536473,-0.88597,0.7634242,"sprouty related EVH1 domain containing 1"
"903","SPTAN1","214925_s_at",5.9e-27,1.33e-28,-13.5,54.2902143,-1.96,"spectrin alpha, non-erythrocytic 1","ILMN_2095133",0.02141875,0.00341,-3.168228,-2.09113,-0.8506002,"spectrin alpha, non-erythrocytic 1"
"904","SPTBN2","205155_s_at",5.16e-09,8.59e-10,6.5,11.3801935,0.757,"spectrin beta, non-erythrocytic 2","ILMN_1667079",0.00069742,2.09e-05,-4.9976103,2.71516,-1.101405,"spectrin beta, non-erythrocytic 2"
"905","SQSTM1","213112_s_at",7.4e-14,7.14e-15,-8.55,22.9062763,-0.606,"sequestosome 1","ILMN_1662618",0.02712307,0.00477,-3.0378031,-2.40083,-0.6212507,"sequestosome 1"
"906","SREK1","243361_at",1.36e-08,2.39e-09,-6.31,10.3791413,-1.04,"splicing regulatory glutamic acid and lysine rich protein 1","ILMN_2373266",0.00047468,1.12e-05,5.2138022,3.31087,1.7816563,"splicing regulatory glutamic acid and lysine rich protein 1"
"907","SRGN","201858_s_at",6.39e-08,1.21e-08,5.99,8.7912836,1.22,"serglycin","ILMN_1760347",0.0001315,1.57e-06,5.8961598,5.19141,1.470269,"serglycin"
"908","SRM","201516_at",6.5e-26,1.63e-27,13.1,51.8017749,1.43,"spermidine synthase","ILMN_1661337",0.00747273,0.000739,-3.7389217,-0.66701,-0.9248467,"spermidine synthase"
"909","SRP72","208800_at",6.46e-12,7.71e-13,7.76,18.2823553,0.782,"signal recognition particle 72","ILMN_1683888",0.01611452,0.00229,3.3190462,-1.725,0.8051526,"signal recognition particle 72"
"910","SSBP1","214060_at",0.00053,0.000164,3.85,-0.3965686,0.677,"single stranded DNA binding protein 1","ILMN_1809478",0.00318619,0.000215,4.1817818,0.49663,1.1838416,"single stranded DNA binding protein 1"
"911","SSBP2","238484_s_at",1.13e-14,9.87e-16,-8.88,24.8641625,-1.35,"single stranded DNA binding protein 2","ILMN_1711608",0.01113662,0.00133,3.5233018,-1.21685,0.638125,"single stranded DNA binding protein 2"
"912","SSH3","219241_x_at",5.23e-10,7.83e-11,6.95,13.7318937,0.641,"slingshot protein phosphatase 3","ILMN_1755234",0.02446356,0.00411,-3.0951883,-2.2654,-0.6958708,"slingshot protein phosphatase 3"
"913","SSX2IP","203017_s_at",4.58e-10,6.79e-11,6.97,13.8715868,0.653,"SSX family member 2 interacting protein","ILMN_1720844",0.02134569,0.00339,3.1704195,-2.08587,0.8784289,"SSX family member 2 interacting protein"
"914","ST14","216905_s_at",8.55e-33,9.42e-35,15.7,68.3826589,1.3,"suppression of tumorigenicity 14","ILMN_1699887",0.01116782,0.00134,-3.5206631,-1.22349,-0.7360777,"suppression of tumorigenicity 14"
"915","ST3GAL3","225905_s_at",5.53e-12,6.55e-13,-7.79,18.4426475,-1.19,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3","ILMN_1699472",0.00688087,0.000663,-3.7787309,-0.56416,-0.6138896,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3"
"916","STAT1","AFFX-HUMISGF3A/M97935_MA_at",5.62e-35,4.95e-37,16.5,73.6052364,3.61,"signal transducer and activator of transcription 1","ILMN_1690105",0.00354559,0.000251,4.127479,0.35188,1.1446364,"signal transducer and activator of transcription 1"
"917","STK17B","205214_at",1.22e-15,9.72e-17,9.25,27.1588163,1.31,"serine/threonine kinase 17b","ILMN_1798543",0.01796682,0.00266,3.2630622,-1.86187,1.0435787,"serine/threonine kinase 17b"
"918","STMN1","200783_s_at",1.11e-19,5.63e-21,10.8,36.8366357,0.761,"stathmin 1","ILMN_1657796",0.00489149,0.000398,3.9624542,-0.08472,0.7007514,"stathmin 1"
"919","STOML1","33736_at",2.38e-09,3.82e-10,6.65,12.1741975,0.956,"stomatin like 1","ILMN_1801130",0.00511523,0.000427,-3.937966,-0.14905,-0.6160599,"stomatin like 1"
"920","STRBP","229513_at",1.45e-18,8.31e-20,-10.4,34.163916,-0.92,"spermatid perinuclear RNA binding protein","ILMN_1808783",0.01654537,0.00238,3.305253,-1.75883,0.9016983,"spermatid perinuclear RNA binding protein"
"921","STRN3","204496_at",2.83e-14,2.59e-15,8.72,23.9092355,0.723,"striatin 3","ILMN_1772946",0.01498242,0.00205,3.3613707,-1.62082,0.9839045,"striatin 3"
"922","STRN4","217903_at",6.62e-06,1.59e-06,4.98,4.0448335,0.815,"striatin 4","ILMN_1696190",0.00171244,8.34e-05,-4.5160647,1.39738,-0.7142194,"striatin 4"
"923","STX19","1555173_at",3.14e-24,9.58e-26,12.5,47.7484195,1.78,"syntaxin 19","ILMN_1775587",8.93e-06,9.33e-09,7.727218,10.07873,2.4180636,"syntaxin 19"
"924","SUB1","214512_s_at",2.14e-30,3.12e-32,14.8,62.6081012,1.06,"SUB1 homolog, transcriptional regulator","ILMN_1736054",0.00035481,7.04e-06,5.3749887,3.7556,1.2329639,"SUB1 homolog, transcriptional regulator"
"925","SUGT1","244368_x_at",7.74e-05,2.14e-05,-4.37,1.5453995,-0.666,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone","ILMN_2054725",0.00491269,0.000401,3.9598386,-0.0916,0.9470494,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone"
"926","SULT2B1","205759_s_at",2.45e-18,1.44e-19,10.3,33.6210483,1.93,"sulfotransferase family 2B member 1","ILMN_1763520",0.0320447,0.00603,-2.9448924,-2.61722,-0.6580889,"sulfotransferase family 2B member 1"
"927","SUN2","212144_at",7e-10,1.06e-10,-6.89,13.4327194,-0.779,"Sad1 and UNC84 domain containing 2","ILMN_2099301",0.02341141,0.00388,-3.1179041,-2.21142,-0.913843,"Sad1 and UNC84 domain containing 2"
"928","SUPT20H","216682_s_at",1.43e-12,1.59e-13,-8.03,19.8408072,-1.14,"SPT20 homolog, SAGA complex component","ILMN_1669555",0.00193586,0.000102,4.4445144,1.20335,0.9581886,"SPT20 homolog, SAGA complex component"
"929","SURF4","222977_at",3.01e-06,6.97e-07,5.16,4.8461637,0.629,"surfeit 4","ILMN_1690761",0.01495242,0.00204,-3.3629483,-1.61692,-0.8264207,"surfeit 4"
"930","SUSD2","227480_at",8.99e-13,9.76e-14,-8.11,20.3224435,-1.44,"sushi domain containing 2","ILMN_1693270",0.01012344,0.00116,-3.573485,-1.09003,-1.3630699,"sushi domain containing 2"
"931","SUV39H1","218619_s_at",8.79e-12,1.06e-12,7.71,17.9637871,0.95,"suppressor of variegation 3-9 homolog 1","ILMN_1781479",0.00025943,4.31e-06,-5.5455001,4.22603,-0.9357348,"suppressor of variegation 3-9 homolog 1"
"932","SYNE2","202761_s_at",5.15e-23,1.77e-24,-12,44.846948,-0.852,"spectrin repeat containing nuclear envelope protein 2","ILMN_1754579",0.02895649,0.00524,3.0007897,-2.48747,0.6625261,"spectrin repeat containing nuclear envelope protein 2"
"933","SYNGR1","204287_at",1.04e-10,1.43e-11,-7.25,15.4063591,-1.11,"synaptogyrin 1","ILMN_1810875",0.00353859,0.00025,-4.1286819,0.35508,-0.8439689,"synaptogyrin 1"
"934","SYT17","205613_at",3.3e-14,3.04e-15,-8.69,23.7496108,-0.927,"synaptotagmin 17","ILMN_1657760",0.01454432,0.00195,-3.3795491,-1.57589,-0.8135947,"synaptotagmin 17"
"935","SYT8","232802_at",4.17e-19,2.24e-20,-10.6,35.4652271,-1.69,"synaptotagmin 8","ILMN_1679836",0.00053636,1.37e-05,-5.1453264,3.12205,-1.4742654,"synaptotagmin 8"
"936","TAF13","227278_at",7.9e-17,5.51e-18,9.71,30.0042211,0.626,"TATA-box binding protein associated factor 13","ILMN_2061318",0.02966801,0.0054,2.9885051,-2.5161,0.7495156,"TATA-box binding protein associated factor 13"
"937","TAF1B","216941_s_at",4.04e-11,5.29e-12,7.43,16.3830708,1.08,"TATA-box binding protein associated factor, RNA polymerase I subunit B","ILMN_1667977",0.01143555,0.00139,3.5078868,-1.25565,1.1350246,"TATA-box binding protein associated factor, RNA polymerase I subunit B"
"938","TAGLN","205547_s_at",4.3e-18,2.56e-19,-10.2,33.04625,-1.42,"transgelin","ILMN_1778668",0.00508812,0.000424,-3.9405193,-0.14235,-0.7200326,"transgelin"
"939","TANK","210458_s_at",2.08e-20,9.66e-22,11.1,38.5866914,1.49,"TRAF family member associated NFKB activator","ILMN_1715069",0.0029887,0.000196,4.2155356,0.58685,1.1217416,"TRAF family member associated NFKB activator"
"940","TAOK2","204986_s_at",0.000834,0.000267,3.72,-0.8533108,0.624,"TAO kinase 2","ILMN_1701487",0.03071888,0.00569,-2.9683605,-2.56291,-0.6050718,"TAO kinase 2"
"941","TARS","201263_at",5.21e-23,1.8e-24,12,44.8345522,0.755,"threonyl-tRNA synthetase","ILMN_1685480",0.00935212,0.00104,3.6157509,-0.98266,1.1257919,"threonyl-tRNA synthetase"
"942","TBC1D10B","220947_s_at",2.5e-12,2.85e-13,7.93,19.2643876,0.797,"TBC1 domain family member 10B","ILMN_1668639",0.00207222,0.000113,-4.4101848,1.11047,-0.7310855,"TBC1 domain family member 10B"
"943","TBC1D15","230072_at",6.04e-20,2.98e-21,-10.9,37.4694819,-0.938,"TBC1 domain family member 15","ILMN_1803941",0.01512379,0.00208,3.3557824,-1.63461,1.0439887,"TBC1 domain family member 15"
"944","TBC1D16","222116_s_at",1.36e-13,1.35e-14,-8.44,22.2772857,-0.693,"TBC1 domain family member 16","ILMN_1758457",0.00497073,0.000408,-3.9536594,-0.10784,-0.8300496,"TBC1 domain family member 16"
"945","TBC1D2","222173_s_at",6.99e-17,4.84e-18,9.73,30.1321307,0.593,"TBC1 domain family member 2","ILMN_1769876",0.0142802,0.00191,-3.3889859,-1.55252,-0.7761408,"TBC1 domain family member 2"
"946","TBC1D31","214061_at",7.38e-12,8.85e-13,7.74,18.145645,0.864,"TBC1 domain family member 31","ILMN_1744240",0.00120736,4.88e-05,4.7031035,1.9071,1.2760374,"TBC1 domain family member 31"
"947","TBL3","209820_s_at",8.84e-10,1.35e-10,6.85,13.1932192,0.738,"transducin beta like 3","ILMN_2177413",5.97e-05,3.92e-07,-6.3815058,6.51737,-0.9466075,"transducin beta like 3"
"948","TCAIM","1555905_a_at",6.27e-11,8.41e-12,7.34,15.9271937,1.34,"T-cell activation inhibitor, mitochondrial","ILMN_1671387",0.04356849,0.00916,2.7775907,-2.99725,0.941361,"T-cell activation inhibitor, mitochondrial"
"949","TCEAL9","217975_at",3.13e-15,2.59e-16,9.09,26.1888213,0.6,"transcription elongation factor A like 9","ILMN_1679838",1.69e-06,5.88e-10,8.7743578,12.69051,2.2816159,"transcription elongation factor A like 9"
"950","TCEB1","202824_s_at",3.94e-39,2.2e-41,18.1,83.5767074,0.651,"transcription elongation factor B subunit 1","ILMN_2066020",0.00595323,0.000533,3.8573765,-0.35986,1.0041933,"transcription elongation factor B subunit 1"
"951","TCF12","233678_at",2.14e-10,3.06e-11,-7.11,14.6559474,-0.943,"transcription factor 12","ILMN_2314007",0.03233259,0.00612,2.9395693,-2.6295,0.8049318,"transcription factor 12"
"952","TDRD7","213361_at",5.99e-15,5.11e-16,8.98,25.516425,0.646,"tudor domain containing 7","ILMN_1705241",0.03475484,0.00675,2.9006088,-2.71904,0.8154778,"tudor domain containing 7"
"953","TEF","225840_at",2.43e-07,4.93e-08,-5.71,7.4202996,-0.841,"TEF, PAR bZIP transcription factor","ILMN_1706511",0.00066807,1.95e-05,-5.0218513,2.78188,-0.7870104,"TEF, PAR bZIP transcription factor"
"954","TEX264","233350_s_at",1.23e-05,3.05e-06,4.83,3.4173591,0.638,"testis expressed 264","ILMN_1781623",0.0046479,0.000368,-3.9910231,-0.00952,-0.821158,"testis expressed 264"
"955","TGFB1I1","209651_at",2.63e-10,3.79e-11,-7.08,14.4448443,-0.715,"transforming growth factor beta 1 induced transcript 1","ILMN_2389876",0.00222985,0.000125,-4.3729351,1.00985,-0.6376603,"transforming growth factor beta 1 induced transcript 1"
"956","THAP6","230169_at",1.63e-08,2.88e-09,-6.27,10.1942242,-0.852,"THAP domain containing 6","ILMN_1661424",0.03160961,0.00593,2.9519863,-2.60082,0.6413014,"THAP domain containing 6"
"957","THNSL1","222931_s_at",2.01e-05,5.13e-06,-4.71,2.9165769,-0.702,"threonine synthase like 1","ILMN_1782688",0.03123699,0.00585,2.9575209,-2.58802,0.5904862,"threonine synthase like 1"
"958","THRA","35846_at",4.07e-15,3.41e-16,-9.05,25.9154677,-0.788,"thyroid hormone receptor, alpha","ILMN_1718182",0.006086,0.000554,-3.8434326,-0.39619,-0.6278,"thyroid hormone receptor, alpha"
