"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL"
"557","MLLT10","1563321_s_at",5.67e-08,1.07e-08,-6.02,8.9142451,-1.51,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10","ILMN_2399310",0.03252314,0.00616,2.9365082,-2.63656,0.9497577,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10"
"558","MLPH","218211_s_at",3.91e-09,6.44e-10,-6.56,11.6631821,-0.806,"melanophilin","ILMN_1795342",0.00137679,5.96e-05,-4.6334146,1.7168,-1.0383166,"melanophilin"
"559","MLST8","220587_s_at",2.34e-08,4.22e-09,6.2,9.8212769,0.655,"MTOR associated protein, LST8 homolog","ILMN_1789240",0.01509088,0.00208,-3.3567398,-1.63225,-0.8498749,"MTOR associated protein, LST8 homolog"
"560","MMP28","239273_s_at",9.29e-05,2.6e-05,-4.33,1.3606227,-0.651,"matrix metallopeptidase 28","ILMN_1791508",0.01485651,0.00202,-3.3661958,-1.6089,-0.8822728,"matrix metallopeptidase 28"
"561","MND1","223700_at",2.58e-19,1.35e-20,10.7,35.9648618,1.34,"meiotic nuclear divisions 1","ILMN_1671906",0.02052456,0.00321,3.1914165,-2.03538,1.478945,"meiotic nuclear divisions 1"
"562","MOB3B","219265_at",4.36e-21,1.88e-22,11.3,40.2137546,1.35,"MOB kinase activator 3B","ILMN_1717046",0.01125392,0.00135,3.5170448,-1.23261,0.8774496,"MOB kinase activator 3B"
"563","MPHOSPH6","1554906_a_at",1.11e-29,1.78e-31,14.5,60.8766468,2.14,"M-phase phosphoprotein 6","ILMN_1781360",0.00083234,2.81e-05,4.8950304,2.43312,1.1990949,"M-phase phosphoprotein 6"
"564","MPHOSPH8","221771_s_at",9.97e-12,1.22e-12,-7.68,17.8316437,-1.48,"M-phase phosphoprotein 8","ILMN_2054213",0.03110283,0.0058,2.9603164,-2.58155,0.687375,"M-phase phosphoprotein 8"
"565","MPP5","219321_at",1.71e-14,1.52e-15,8.81,24.4374988,0.938,"membrane palmitoylated protein 5","ILMN_1750689",0.04890452,0.0107,2.7125915,-3.14136,0.6187924,"membrane palmitoylated protein 5"
"566","MPZL2","203779_s_at",3.48e-47,7.25e-50,21.4,102.9938995,3.96,"myelin protein zero like 2","ILMN_1752932",0.01491642,0.00204,3.3639934,-1.61434,0.9462937,"myelin protein zero like 2"
"567","MRPL21","225315_at",2.61e-11,3.34e-12,7.51,16.837087,0.626,"mitochondrial ribosomal protein L21","ILMN_2348050",0.01871916,0.00281,3.2413353,-1.91468,0.9565138,"mitochondrial ribosomal protein L21"
"568","MRPL35","218890_x_at",1.6e-21,6.57e-23,11.5,41.257455,1.07,"mitochondrial ribosomal protein L35","ILMN_2341952",0.00012511,1.44e-06,5.9264677,5.27463,1.5493375,"mitochondrial ribosomal protein L35"
"569","MRPL42","217919_s_at",2.52e-17,1.65e-18,9.9,31.1961476,1.35,"mitochondrial ribosomal protein L42","ILMN_2356895",3.42e-06,2.56e-09,8.2113203,11.30535,1.693845,"mitochondrial ribosomal protein L42"
"570","MRPL46","219244_s_at",1.49e-20,6.81e-22,11.1,38.9337496,0.976,"mitochondrial ribosomal protein L46","ILMN_1722838",0.01966319,0.00301,3.2157456,-1.97667,0.7413672,"mitochondrial ribosomal protein L46"
"571","MRPL47","223481_s_at",0.000311,9.35e-05,4,0.1391817,0.774,"mitochondrial ribosomal protein L47","ILMN_2391522",3.612e-05,1.56e-07,6.7084794,7.40045,1.1852334,"mitochondrial ribosomal protein L47"
"572","MRPL50","225580_at",1.4e-15,1.12e-16,9.23,27.0193326,0.985,"mitochondrial ribosomal protein L50","ILMN_1664833",0.00011359,1.22e-06,5.9832445,5.43039,1.4614995,"mitochondrial ribosomal protein L50"
"573","MRPL51","224334_s_at",1.84e-16,1.33e-17,9.57,29.1315852,0.841,"mitochondrial ribosomal protein L51///serine palmitoyltransferase long chain base subunit 1","ILMN_2097421",0.02905109,0.00527,2.998718,-2.4923,0.8819415,"mitochondrial ribosomal protein L51"
"574","MRPS12","213840_s_at",4.81e-23,1.65e-24,12,44.9187173,0.948,"mitochondrial ribosomal protein S12","ILMN_1714515",0.03862408,0.00777,-2.8440047,-2.84792,-0.6986338,"mitochondrial ribosomal protein S12"
"575","MRPS15","223291_at",5.77e-21,2.51e-22,11.3,39.9237452,0.899,"mitochondrial ribosomal protein S15","ILMN_1680703",0.00072571,2.23e-05,4.9758523,2.65529,1.0915912,"mitochondrial ribosomal protein S15"
"576","MRPS17","218982_s_at",5.55e-27,1.25e-28,13.5,54.3551602,1.48,"mitochondrial ribosomal protein S17","ILMN_1804851",0.00010944,1.16e-06,6.0015289,5.48052,1.5312349,"mitochondrial ribosomal protein S17"
"577","MRPS23","238728_at",1.19e-10,1.64e-11,-7.23,15.2663008,-0.695,"mitochondrial ribosomal protein S23","ILMN_1687359",0.00120012,4.84e-05,4.7063353,1.91594,0.8031685,"mitochondrial ribosomal protein S23"
"578","MRPS31","212604_at",1.81e-10,2.56e-11,7.15,14.8328697,0.881,"mitochondrial ribosomal protein S31","ILMN_1654552",0.00012333,1.39e-06,5.9372202,5.30414,1.519361,"mitochondrial ribosomal protein S31"
"579","MRRF","225126_at",6.64e-18,4.05e-19,10.1,32.5929841,0.841,"mitochondrial ribosome recycling factor","ILMN_2415949",0.00223872,0.000127,4.3675998,0.99546,0.7025301,"mitochondrial ribosome recycling factor"
"580","MRS2","228542_at",1.63e-10,2.3e-11,7.17,14.9384723,1.32,"MRS2, magnesium transporter","ILMN_1778677",0.00114457,4.45e-05,4.7354128,1.99547,1.004487,"MRS2, magnesium transporter"
