"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS","ID","adj.P.Val","P.Value","t","B","logFC","Gene.title"
"67","SCARB1","1552256_a_at",4.27e-06,1.01e-06,-5.08,4.4898596,-0.703,"scavenger receptor class B member 1","1552256_a_at",0.307,0.01100384,-2.76,-4.50259,-0.628,"scavenger receptor class B member 1","232421_at",0.016,0.0066,-2.9566016,-3.193007,-0.59842274,"scavenger receptor class B member 1","ILMN_2183409",0.00016174,2.2e-06,-5.7777893,4.86601,-1.0107721,"scavenger receptor class B member 1"
"68","SEPP1","229620_at",7.32e-10,1.11e-10,-6.88,13.3862617,-0.964,"selenoprotein P, plasma, 1","229620_at",0.244,0.00398599,-3.19,-3.53304,-0.658,"selenoprotein P, plasma, 1","229620_at",0.00107,0.000276,-4.2117783,-0.131025,-0.6998611,"selenoprotein P, plasma, 1","ILMN_1785071",0.00136233,5.83e-05,4.6412287,1.73811,1.3608987,"selenoprotein P, plasma, 1"
"69","SEPTIN11","201307_at",6.87e-21,3.04e-22,-11.2,39.7365628,-1,"septin 11","214293_at",0.267,0.00679654,-2.97,-4.0451,-0.654,"septin 11","214293_at",0.000351,7.42e-05,4.7131035,1.15937,0.70095592,"septin 11","ILMN_1788778",0.04943732,0.0109,2.7065962,-3.15455,0.8806102,"septin 11"
"70","SLC25A29","225306_s_at",1.1e-06,2.42e-07,-5.38,5.8728888,-0.595,"solute carrier family 25 member 29","225305_at",0.252,0.00474988,-3.12,-3.70185,-0.703,"solute carrier family 25 member 29","232280_at",9.16e-07,5.56e-08,-7.5590107,8.32605,-1.14033982,"solute carrier family 25 member 29","ILMN_2350801",0.00384178,0.000281,-4.0873475,0.24523,-0.6694337,"solute carrier family 25 member 29"
"71","SLC38A10","230448_at",9.84e-16,7.72e-17,9.29,27.3877023,1.34,"solute carrier family 38 member 10","230448_at",0.351,0.01655333,2.58,-4.88594,0.607,"solute carrier family 38 member 10","230448_at",2.57e-06,2.04e-07,7.0191752,7.025203,1.38469149,"solute carrier family 38 member 10","ILMN_2277419",0.00130646,5.49e-05,-4.6620126,1.79484,-0.7760381,"solute carrier family 38 member 10"
"72","SP110","209762_x_at",5.38e-30,8.29e-32,14.6,61.6361617,1.54,"SP110 nuclear body protein","209762_x_at",0.329,0.01372111,2.67,-4.71032,0.783,"SP110 nuclear body protein","209762_x_at",1.07e-07,3.59e-09,8.7516041,11.064215,0.96539107,"SP110 nuclear body protein","ILMN_2415144",0.0411394,0.00847,2.8090919,-2.92668,0.6901647,"SP110 nuclear body protein"
"73","SRGN","201858_s_at",6.39e-08,1.21e-08,5.99,8.7912836,1.22,"serglycin","201859_at",0.261,0.00591605,3.03,-3.91247,0.75,"serglycin","201858_s_at",2.31e-08,4.78e-10,9.6864072,13.075271,1.77771881,"serglycin","ILMN_1760347",0.0001315,1.57e-06,5.8961598,5.19141,1.470269,"serglycin"
"74","SSBP2","238484_s_at",1.13e-14,9.87e-16,-8.88,24.8641625,-1.35,"single stranded DNA binding protein 2","238484_s_at",0.139,0.00031069,-4.23,-1.03097,-1.06,"single stranded DNA binding protein 2","238483_at",1.51e-05,1.77e-06,-6.1546351,4.871746,-0.6899674,"single stranded DNA binding protein 2","ILMN_1711608",0.01113662,0.00133,3.5233018,-1.21685,0.638125,"single stranded DNA binding protein 2"
"75","STAT1","AFFX-HUMISGF3A/M97935_MA_at",5.62e-35,4.95e-37,16.5,73.6052364,3.61,"signal transducer and activator of transcription 1","209969_s_at",0.247,0.00419882,3.17,-3.58318,1.37,"signal transducer and activator of transcription 1","209969_s_at",1.64e-05,1.95e-06,6.1157691,4.773182,1.98366367,"signal transducer and activator of transcription 1","ILMN_1690105",0.00354559,0.000251,4.127479,0.35188,1.1446364,"signal transducer and activator of transcription 1"
"76","STK17B","205214_at",1.22e-15,9.72e-17,9.25,27.1588163,1.31,"serine/threonine kinase 17b","205214_at",0.39,0.02257342,2.44,-5.17398,1.26,"serine/threonine kinase 17b","217503_at",0.000232,4.55e-05,4.8992447,1.641467,1.09659296,"serine/threonine kinase 17b","ILMN_1798543",0.01796682,0.00266,3.2630622,-1.86187,1.0435787,"serine/threonine kinase 17b"
"77","SUSD2","227480_at",8.99e-13,9.76e-14,-8.11,20.3224435,-1.44,"sushi domain containing 2","227480_at",0.255,0.0048592,-3.11,-3.72372,-0.799,"sushi domain containing 2","234310_s_at",6.71e-06,6.59e-07,-6.5456191,5.85541,-0.70135408,"sushi domain containing 2","ILMN_1693270",0.01012344,0.00116,-3.573485,-1.09003,-1.3630699,"sushi domain containing 2"
"78","TMEM91","229957_at",1.44e-15,1.15e-16,-9.22,26.992752,-0.73,"transmembrane protein 91","229957_at",0.446,0.03439731,-2.25,-5.5599,-0.991,"transmembrane protein 91","229957_at",0.02,0.00858,-2.8470344,-3.439253,-0.58728051,"transmembrane protein 91","ILMN_2211065",0.02982971,0.00545,-2.9850529,-2.52413,-0.7813407,"transmembrane protein 91"
"79","TNFRSF21","214581_x_at",7.05e-25,2e-26,12.7,49.3047167,1.61,"TNF receptor superfamily member 21","218856_at",0.258,0.00553922,3.06,-3.84942,0.771,"TNF receptor superfamily member 21","214581_x_at",0.00468,0.00156,3.5387548,-1.817576,0.84900622,"TNF receptor superfamily member 21","ILMN_1699695",0.02748486,0.00484,3.0315085,-2.41561,1.0411976,"TNF receptor superfamily member 21"
"80","TYMS","1554696_s_at",6.24e-25,1.76e-26,12.7,49.4310943,1.14,"thymidylate synthetase","1554696_s_at",0.353,0.01674392,2.58,-4.89662,1.04,"thymidylate synthetase","217684_at",2.58e-06,2.05e-07,-7.0170929,7.020116,-1.09415856,"thymidylate synthetase","ILMN_1806040",0.02542568,0.00436,3.0722709,-2.31964,0.7590675,"thymidylate synthetase"
"81","ZBTB16","205883_at",2.05e-29,3.38e-31,-14.4,60.2379632,-4.08,"zinc finger and BTB domain containing 16","205883_at",0.255,0.00519101,-3.08,-3.78715,-1.73,"zinc finger and BTB domain containing 16","205883_at",0.00581,0.00202,-3.4376663,-2.063335,-1.30458114,"zinc finger and BTB domain containing 16","ILMN_2305407",0.03777335,0.00753,-2.8567465,-2.81904,-1.1766706,"zinc finger and BTB domain containing 16"
