"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD"
"1112","TNS2","212494_at",2.62e-18,1.54e-19,-10.3,33.551542,-1.32,"tensin 2","212494_at",0.444,0.03373679,-2.26,-5.54228,-0.665,"tensin 2"
"1113","TOP2A","201292_at",1.27e-31,1.61e-33,15.2,65.5555589,1.66,"topoisomerase (DNA) II alpha","201291_s_at",0.416,0.0275772,2.35,-5.35823,1.45,"topoisomerase (DNA) II alpha"
"1114","TOR1AIP2","230241_at",1.2e-26,2.79e-28,13.4,53.5545346,1.69,"torsin 1A interacting protein 2","230241_at",0.242,0.00359539,3.24,-3.43351,0.676,"torsin 1A interacting protein 2"
"1115","TOX3","215108_x_at",1.5e-09,2.36e-10,-6.74,12.6474393,-0.72,"TOX high mobility group box family member 3","215108_x_at",0.39,0.02263484,-2.44,-5.17649,-1.33,"TOX high mobility group box family member 3"
"1116","TP53I3","210609_s_at",2.17e-19,1.13e-20,10.7,36.1444385,1.57,"tumor protein p53 inducible protein 3","210609_s_at",0.154,0.00047811,4.05,-1.45832,0.593,"tumor protein p53 inducible protein 3"
"1117","TPBG","239903_at",8.59e-17,6.02e-18,9.7,29.9164325,1.23,"trophoblast glycoprotein","203476_at",0.115,3.517e-05,5.1,1.14816,0.916,"trophoblast glycoprotein"
"1118","TPM1","238688_at",6.58e-06,1.58e-06,-4.98,4.0514169,-0.707,"tropomyosin 1 (alpha)","206116_s_at",0.479,0.04226969,-2.15,-5.74617,-0.585,"tropomyosin 1 (alpha)"
"1119","TPR","228709_at",6.81e-08,1.29e-08,-5.98,8.7253521,-0.725,"translocated promoter region, nuclear basket protein","228709_at",0.266,0.00676832,-2.97,-4.04113,-0.699,"translocated promoter region, nuclear basket protein"
"1120","TPT1-AS1","227710_s_at",5.6e-13,5.94e-14,-8.2,20.812444,-0.601,"TPT1 antisense RNA 1","227709_at",0.404,0.02533055,-2.39,-5.2802,-0.619,"TPT1 antisense RNA 1"
"1121","TPX2","210052_s_at",1.84e-35,1.54e-37,16.7,74.7688399,2.3,"TPX2, microtubule nucleation factor","210052_s_at",0.371,0.01947546,2.51,-5.03727,1.08,"TPX2, microtubule nucleation factor"
"1122","TRAC","210972_x_at",0.000971,0.000314,3.68,-1.0067628,0.663,"T-cell receptor alpha constant///T cell receptor alpha joining 17///T cell receptor alpha variable 20///T cell receptor delta variable 2","209670_at",0.247,0.00423171,3.17,-3.59069,1.04,"T-cell receptor alpha constant"
"1123","TRAF3IP3","213888_s_at",3.73e-14,3.46e-15,8.67,23.6228194,1.39,"TRAF3 interacting protein 3","213888_s_at",0.213,0.00221615,3.44,-2.96434,0.957,"TRAF3 interacting protein 3"
"1124","TRAM1L1","244334_at",3.73e-19,1.99e-20,-10.6,35.5805894,-1.63,"translocation associated membrane protein 1-like 1","244334_at",0.204,0.00173866,-3.53,-2.72785,-0.801,"translocation associated membrane protein 1-like 1"
"1125","TRBC1","213193_x_at",6.32e-14,6.03e-15,8.58,23.0736361,1.7,"T cell receptor beta constant 1","210915_x_at",0.289,0.00899622,2.85,-4.31195,1.49,"T cell receptor beta constant 1"
"1126","TRHDE-AS1","1560697_at",5.92e-05,1.61e-05,-4.44,1.8187084,-0.617,"TRHDE antisense RNA 1","1560697_at",0.135,0.00020997,-4.38,-0.64123,-1.38,"TRHDE antisense RNA 1"
"1127","TRIL","205151_s_at",1.57e-06,3.51e-07,5.3,5.5107123,0.989,"TLR4 interactor with leucine rich repeats","205151_s_at",0.184,0.00093152,-3.79,-2.11636,-0.871,"TLR4 interactor with leucine rich repeats"
"1128","TRIM14","203147_s_at",2.58e-28,4.91e-30,14,57.5754727,2.46,"tripartite motif containing 14","203148_s_at",0.468,0.03973569,2.18,-5.69049,0.731,"tripartite motif containing 14"
"1129","TRIM2","215945_s_at",1.18e-10,1.63e-11,-7.23,15.2730611,-0.671,"tripartite motif containing 2","215945_s_at",0.293,0.00952926,-2.82,-4.36652,-0.738,"tripartite motif containing 2"
"1130","TRIM62","219272_at",1.85e-37,1.26e-39,17.5,79.5518726,1.85,"tripartite motif containing 62","219272_at",0.204,0.00175402,3.53,-2.73643,0.778,"tripartite motif containing 62"
"1131","TRIP13","204033_at",2.12e-36,1.6e-38,17,77.0184424,2.69,"thyroid hormone receptor interactor 13","204033_at",0.28,0.00803507,2.9,-4.20462,1.46,"thyroid hormone receptor interactor 13"
"1132","TSHZ2","220213_at",7.64e-11,1.03e-11,-7.31,15.722661,-0.726,"teashirt zinc finger homeobox 2","244521_at",0.25,0.00455646,-3.14,-3.66187,-0.678,"teashirt zinc finger homeobox 2"
"1133","TSPAN8","203824_at",9.09e-20,4.55e-21,-10.8,37.0470587,-2.27,"tetraspanin 8","203824_at",0.253,0.00478598,-3.12,-3.70913,-1.41,"tetraspanin 8"
