"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD"
"609","LOC101930416","212390_at",4.85e-12,5.71e-13,-7.81,18.5784663,-0.874,"myomegalin-like///uncharacterized LOC101929792///phosphodiesterase 4D interacting protein-like///phosphodiesterase 4D interacting protein","213388_at",0.26,0.0058771,-3.03,-3.90615,-0.696,"myomegalin-like///uncharacterized LOC101929792///phosphodiesterase 4D interacting protein-like///phosphodiesterase 4D interacting protein"
"610","LOC102725383","232047_at",6.63e-07,1.41e-07,-5.5,6.3937192,-0.869,"uncharacterized LOC102725383","232047_at",0.483,0.04314733,-2.14,-5.76464,-0.804,"uncharacterized LOC102725383"
"611","LOC145783","229013_at",0.000561,0.000175,-3.84,-0.4548309,-0.729,"uncharacterized LOC145783///zinc finger protein 280D","229013_at",0.398,0.0238924,-2.42,-5.22638,-0.645,"uncharacterized LOC145783///zinc finger protein 280D"
"612","LOC154761","227868_at",4.56e-07,9.56e-08,5.58,6.774823,1.04,"family with sequence similarity 115, member C pseudogene","227868_at",0.289,0.00903429,2.85,-4.31596,0.7,"family with sequence similarity 115, member C pseudogene"
"613","LOC286272","232182_at",1.5e-12,1.67e-13,-8.02,19.7935584,-1.01,"uncharacterized LOC286272","232182_at",0.5,0.04809115,-2.09,-5.86182,-0.783,"uncharacterized LOC286272"
"614","LOC401052","232812_at",0.000244,7.24e-05,-4.07,0.3826617,-0.664,"uncharacterized LOC401052","232812_at",0.303,0.01063924,-2.78,-4.47077,-0.952,"uncharacterized LOC401052"
"615","LOC730102","241607_at",3.75e-19,2e-20,-10.6,35.5770172,-1.39,"quinone oxidoreductase-like protein 2 pseudogene","241607_at",0.356,0.01701935,-2.57,-4.91184,-0.754,"quinone oxidoreductase-like protein 2 pseudogene"
"616","LONRF2","225996_at",4.95e-19,2.69e-20,-10.5,35.2816753,-1.61,"LON peptidase N-terminal domain and ring finger 2","225996_at",0.481,0.04270983,-2.14,-5.75548,-1.22,"LON peptidase N-terminal domain and ring finger 2"
"617","LPIN1","212274_at",4.58e-17,3.09e-18,-9.8,30.5764415,-0.989,"lipin 1","212274_at",0.284,0.00853605,-2.87,-4.26211,-0.884,"lipin 1"
"618","LPL","203549_s_at",4.58e-12,5.38e-13,-7.82,18.6373394,-1.78,"lipoprotein lipase","203549_s_at",0.425,0.02940925,-2.32,-5.41712,-1.73,"lipoprotein lipase"
"619","LRP8","205282_at",2.01e-47,4.12e-50,21.5,103.5542913,3.58,"LDL receptor related protein 8","205282_at",0.429,0.03002957,2.31,-5.4362,0.823,"LDL receptor related protein 8"
"620","LRRC37A3","229962_at",6.03e-09,1.01e-09,-6.47,11.2186236,-0.905,"leucine rich repeat containing 37 member A3","206088_at",0.406,0.02565752,2.38,-5.292,1.43,"leucine rich repeat containing 37 member A3"
"621","LRRFIP1","215375_x_at",1.24e-08,2.15e-09,-6.33,10.4790211,-0.744,"LRR binding FLII interacting protein 1","215375_x_at",0.402,0.02483214,2.4,-5.26192,0.611,"LRR binding FLII interacting protein 1"
"622","LSS","211018_at",1.94e-12,2.18e-13,-7.98,19.5288337,-1.36,"lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)","211018_at",0.384,0.02147047,-2.46,-5.12767,-0.669,"lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)"
"623","LTB4R","216388_s_at",6.01e-21,2.62e-22,11.3,39.8815485,1.56,"leukotriene B4 receptor","236172_at",0.202,0.00151427,3.59,-2.59284,0.787,"leukotriene B4 receptor"
"624","LY6D","206276_at",6.65e-17,4.59e-18,9.74,30.1850387,0.731,"lymphocyte antigen 6 complex, locus D","206276_at",0.448,0.03512676,2.24,-5.57895,1.03,"lymphocyte antigen 6 complex, locus D"
"625","LYN","202626_s_at",6.03e-38,3.9e-40,17.6,80.715084,2.51,"LYN proto-oncogene, Src family tyrosine kinase","202626_s_at",0.195,0.00122424,3.68,-2.38466,1.11,"LYN proto-oncogene, Src family tyrosine kinase"
"626","LYRM9","213195_at",1.79e-27,3.75e-29,-13.7,55.5512302,-1.12,"LYR motif containing 9","213195_at",0.385,0.02184433,-2.46,-5.14364,-0.619,"LYR motif containing 9"
"627","LYZ","1555745_a_at",7.15e-08,1.36e-08,5.97,8.6754705,2.07,"lysozyme","213975_s_at",0.367,0.01879162,2.52,-5.00407,1.29,"lysozyme"
"628","MACF1","232168_x_at",9.97e-14,9.76e-15,-8.5,22.5971421,-1.24,"microtubule-actin crosslinking factor 1","1553407_at",0.25,0.00458216,3.14,-3.66728,0.702,"microtubule-actin crosslinking factor 1"
"629","MACROD2","1563209_a_at",1.83e-06,4.12e-07,-5.27,5.3553141,-0.6,"MACRO domain containing 2","235278_at",0.294,0.00976789,-2.81,-4.38995,-1.02,"MACRO domain containing 2"
"630","MAF","1566323_at",0.000379,0.000115,-3.95,-0.0594033,-0.677,"MAF bZIP transcription factor","206363_at",0.395,0.02355949,2.42,-5.21344,0.762,"MAF bZIP transcription factor"
"631","MAGI2","209737_at",5.82e-11,7.76e-12,-7.36,16.0065998,-1.26,"membrane associated guanylate kinase, WW and PDZ domain containing 2","209737_at",0.229,0.00276721,-3.34,-3.18008,-1.01,"membrane associated guanylate kinase, WW and PDZ domain containing 2"
"632","MALL","209373_at",6.51e-21,2.86e-22,11.3,39.796135,1.19,"mal, T-cell differentiation protein like","209373_at",0.437,0.03166226,2.29,-5.48451,0.808,"mal, T-cell differentiation protein like"
"633","MALT1","208309_s_at",4.91e-28,9.65e-30,13.9,56.9021821,2.03,"MALT1 paracaspase","208309_s_at",0.36,0.01789896,2.55,-4.95879,0.596,"MALT1 paracaspase"
"634","MAOA","204388_s_at",3.8e-08,7e-09,6.1,9.3264798,0.989,"monoamine oxidase A","204389_at",0.27,0.00704504,-2.95,-4.07937,-0.827,"monoamine oxidase A"
"635","MAP3K8","205027_s_at",8.85e-19,4.97e-20,10.5,34.6735742,1.03,"mitogen-activated protein kinase kinase kinase 8","235421_at",0.25,0.00461906,3.13,-3.675,1.01,"mitogen-activated protein kinase kinase kinase 8"
"636","MAP4K1","214219_x_at",1.02e-10,1.4e-11,7.25,15.4249222,1.18,"mitogen-activated protein kinase kinase kinase kinase 1","214339_s_at",0.27,0.00704641,2.95,-4.07956,0.898,"mitogen-activated protein kinase kinase kinase kinase 1"
"637","MAPK1","1552264_a_at",2.85e-16,2.11e-17,9.5,28.6747812,1.19,"mitogen-activated protein kinase 1","1552263_at",0.393,0.02313737,2.43,-5.19676,0.818,"mitogen-activated protein kinase 1"
"638","MAPK6","207121_s_at",1.1e-33,1.11e-35,16,70.5096628,0.776,"mitogen-activated protein kinase 6","207121_s_at",0.367,0.01876329,2.53,-5.00267,0.649,"mitogen-activated protein kinase 6"
"639","MAPKAPK3","202787_s_at",1.58e-22,5.73e-24,11.9,43.6809722,2.2,"mitogen-activated protein kinase-activated protein kinase 3","202788_at",0.452,0.03578573,2.23,-5.5958,0.607,"mitogen-activated protein kinase-activated protein kinase 3"
"640","MAPT","203929_s_at",1.19e-21,4.8e-23,-11.5,41.5692847,-1.73,"microtubule associated protein tau","203929_s_at",0.427,0.02955182,-2.32,-5.42154,-0.619,"microtubule associated protein tau"
"641","MARC1","218865_at",1.15e-14,1e-15,-8.87,24.8483094,-1.58,"mitochondrial amidoxime reducing component 1","218865_at",0.204,0.00173708,-3.54,-2.72696,-1.04,"mitochondrial amidoxime reducing component 1"
"642","MARC2","221636_s_at",6.28e-17,4.31e-18,-9.75,30.2466224,-0.964,"mitochondrial amidoxime reducing component 2","221636_s_at",0.28,0.00805104,-2.9,-4.20651,-0.657,"mitochondrial amidoxime reducing component 2"
"643","MCM10","223570_at",1.84e-28,3.43e-30,14.1,57.9322677,1.8,"minichromosome maintenance 10 replication initiation factor","220651_s_at",0.242,0.00382204,3.21,-3.49252,1.51,"minichromosome maintenance 10 replication initiation factor"
"644","MCM4","212141_at",1.77e-19,9.12e-21,10.7,36.356738,0.975,"minichromosome maintenance complex component 4","212141_at",0.135,0.00020862,4.39,-0.63478,1.18,"minichromosome maintenance complex component 4"
"645","MCM5","216237_s_at",4.77e-18,2.86e-19,10.2,32.9373504,2.05,"minichromosome maintenance complex component 5","201755_at",0.321,0.01276456,2.7,-4.64244,0.631,"minichromosome maintenance complex component 5"
"646","MCOLN2","230110_at",1.69e-09,2.67e-10,6.72,12.5253287,1.57,"mucolipin 2","230110_at",0.445,0.03411044,2.25,-5.55229,0.663,"mucolipin 2"
"647","ME1","204059_s_at",3.67e-16,2.75e-17,9.45,28.4104721,1.47,"malic enzyme 1","204058_at",0.448,0.03499981,-2.24,-5.57566,-1.11,"malic enzyme 1"
"648","MEGF10","232523_at",1.34e-10,1.87e-11,-7.2,15.1389823,-1.06,"multiple EGF like domains 10","232523_at",0.444,0.03356266,-2.26,-5.53758,-1.55,"multiple EGF like domains 10"
"649","MELK","204825_at",4.1e-38,2.58e-40,17.7,81.1272691,3,"maternal embryonic leucine zipper kinase","204825_at",0.196,0.00130903,3.65,-2.45028,1.17,"maternal embryonic leucine zipper kinase"
"650","MERTK","206028_s_at",2.34e-16,1.71e-17,-9.53,28.8808632,-1.23,"MER proto-oncogene, tyrosine kinase","206028_s_at",0.255,0.00521291,-3.08,-3.79119,-1.41,"MER proto-oncogene, tyrosine kinase"
"651","MEST","202016_at",3.37e-07,6.94e-08,-5.64,7.0866128,-1.16,"mesoderm specific transcript","202016_at",0.496,0.04667662,-2.1,-5.83513,-0.952,"mesoderm specific transcript"
"652","METTL10","226634_at",2.79e-05,7.28e-06,-4.63,2.5806993,-0.604,"methyltransferase like 10","226634_at",0.277,0.00781823,-2.91,-4.17859,-0.656,"methyltransferase like 10"
"653","MFAP3L","210843_s_at",9.7e-06,2.39e-06,4.89,3.6556185,1.07,"microfibrillar associated protein 3 like","205442_at",0.343,0.01543903,-2.61,-4.82084,-0.591,"microfibrillar associated protein 3 like"
"654","MFHAS1","213457_at",2.08e-20,9.67e-22,11.1,38.5851273,1.85,"malignant fibrous histiocytoma amplified sequence 1","213457_at",0.135,0.00016461,4.48,-0.39858,1.07,"malignant fibrous histiocytoma amplified sequence 1"
"655","MFSD4A","229254_at",6.09e-27,1.38e-28,-13.5,54.2541682,-2.11,"major facilitator superfamily domain containing 4A","229254_at",0.504,0.0492756,-2.07,-5.88353,-1.03,"major facilitator superfamily domain containing 4A"
"656","MGC57346","1568987_at",2.79e-08,5.07e-09,6.16,9.6404832,0.936,"ADP-ribosylation factor pseudogene///CRHR1 intronic transcript 1","1559171_at",0.333,0.01429798,2.65,-4.74895,1.18,"ADP-ribosylation factor pseudogene"
"657","MGP","202291_s_at",5.49e-13,5.82e-14,-8.2,20.832526,-0.616,"matrix Gla protein","202291_s_at",0.393,0.02308555,-2.43,-5.19469,-0.724,"matrix Gla protein"
"658","MGST1","224918_x_at",1.46e-14,1.29e-15,-8.83,24.6020792,-1.46,"microsomal glutathione S-transferase 1","239001_at",0.174,0.00080975,-3.84,-1.9785,-1.8,"microsomal glutathione S-transferase 1"
"659","MIAT","227168_at",2.58e-19,1.35e-20,10.7,35.9653001,2.06,"myocardial infarction associated transcript (non-protein coding)","228658_at",0.242,0.0038521,3.21,-3.50008,1.36,"myocardial infarction associated transcript (non-protein coding)"
"660","MICALL1","221779_at",1.44e-43,4.81e-46,19.9,94.2474414,1.88,"MICAL like 1","221779_at",0.288,0.0089127,2.85,-4.3031,0.901,"MICAL like 1"
"661","MICB","206247_at",8.36e-07,1.81e-07,5.44,6.1562985,1.07,"MHC class I polypeptide-related sequence B","206247_at",0.318,0.0123165,2.71,-4.60882,0.908,"MHC class I polypeptide-related sequence B"
"662","MICU3","238458_at",2.89e-08,5.26e-09,-6.16,9.6061931,-0.938,"mitochondrial calcium uptake family member 3","238458_at",0.281,0.00824012,-2.89,-4.22858,-0.799,"mitochondrial calcium uptake family member 3"
"663","MINCR","235428_at",2.88e-08,5.24e-09,-6.16,9.6090811,-1.28,"MYC-induced long noncoding RNA","235428_at",0.41,0.02660724,-2.37,-5.32539,-0.71,"MYC-induced long noncoding RNA"
"664","MIR155","229437_at",1.13e-30,1.59e-32,14.9,63.2807855,3.1,"microRNA 155///MIR155 host gene","229437_at",0.446,0.03453801,2.24,-5.5636,1.19,"microRNA 155///MIR155 host gene"
"665","MIR17HG","232291_at",1.45e-20,6.63e-22,11.1,38.96053,2.31,"miR-17-92a-1 cluster host gene///microRNA 92a-1///microRNA 20a///microRNA 19b-1///microRNA 19a///microRNA 18a///microRNA 17","232291_at",0.356,0.01704821,2.57,-4.91342,0.599,"miR-17-92a-1 cluster host gene///microRNA 92a-1///microRNA 20a///microRNA 19b-1///microRNA 19a///microRNA 18a///microRNA 17"
"666","MIR1908","208964_s_at",1.42e-10,1.98e-11,-7.19,15.0825215,-2.32,"microRNA 1908///fatty acid desaturase 1","208962_s_at",0.377,0.0205719,-2.48,-5.08808,-2.26,"microRNA 1908///fatty acid desaturase 1"
"667","MIR21","224917_at",1.38e-39,7.09e-42,18.3,84.7025546,2.17,"microRNA 21///vacuole membrane protein 1","224917_at",0.196,0.00133588,3.64,-2.47017,1.54,"microRNA 21///vacuole membrane protein 1"
"668","MIR3671","239130_at",7.57e-07,1.63e-07,-5.47,6.2580815,-0.647,"microRNA 3671///microRNA 101-1","239130_at",0.316,0.01217605,-2.72,-4.59802,-0.743,"microRNA 3671///microRNA 101-1"
"669","MIR4454","237974_at",6.47e-06,1.56e-06,-4.98,4.0677206,-1.42,"microRNA 4454///abhydrolase domain containing 12B","237974_at",0.302,0.01053981,-2.78,-4.46189,-1.44,"microRNA 4454///abhydrolase domain containing 12B"
"670","MIR4680","212594_at",8.18e-20,4.07e-21,-10.8,37.1581523,-0.626,"microRNA 4680///programmed cell death 4 (neoplastic transformation inhibitor)","212594_at",0.37,0.01926666,-2.51,-5.02726,-0.592,"microRNA 4680///programmed cell death 4 (neoplastic transformation inhibitor)"
"671","MIR4683","227405_s_at",2.65e-15,2.18e-16,-9.12,26.3609117,-0.777,"microRNA 4683///frizzled class receptor 8","224325_at",0.327,0.01342192,-2.67,-4.68962,-1.07,"microRNA 4683///frizzled class receptor 8"
"672","MIR6732","218810_at",6.03e-55,4.08e-58,24.8,121.8481876,4.29,"microRNA 6732///zinc finger CCCH-type containing 12A","218810_at",0.421,0.02834332,2.34,-5.38334,0.968,"microRNA 6732///zinc finger CCCH-type containing 12A"
"673","MIR6758","201475_x_at",1.36e-30,1.93e-32,14.9,63.0846505,0.815,"microRNA 6758///methionyl-tRNA synthetase","213672_at",0.38,0.02091035,2.48,-5.10319,0.609,"microRNA 6758///methionyl-tRNA synthetase"
"674","MIR6872","203071_at",3.68e-08,6.77e-09,-6.11,9.3582841,-0.67,"microRNA 6872///semaphorin 3B","203071_at",0.263,0.0062201,-3.01,-3.96042,-0.916,"microRNA 6872///semaphorin 3B"
"675","MIR7112","212563_at",7.72e-21,3.43e-22,11.2,39.6156871,1.37,"microRNA 7112///block of proliferation 1","212563_at",0.39,0.02256634,2.44,-5.17369,0.615,"microRNA 7112///block of proliferation 1"
"676","MIR8085","204908_s_at",3.72e-22,1.41e-23,11.7,42.7843847,1.31,"microRNA 8085///B-cell CLL/lymphoma 3","204908_s_at",0.236,0.00321076,3.28,-3.32412,0.696,"microRNA 8085///B-cell CLL/lymphoma 3"
"677","MKI67","212022_s_at",2.54e-36,1.93e-38,17,76.8319748,3.34,"marker of proliferation Ki-67","212021_s_at",0.232,0.00297507,3.31,-3.25029,1.59,"marker of proliferation Ki-67"
"678","MMP1","204475_at",1.51e-13,1.51e-14,8.43,22.1634587,2.95,"matrix metallopeptidase 1","204475_at",0.207,0.00181924,3.52,-2.77206,3.39,"matrix metallopeptidase 1"
"679","MMP12","204580_at",7.83e-22,3.1e-23,11.6,42.0049312,3.96,"matrix metallopeptidase 12","204580_at",0.337,0.01474409,2.63,-4.77773,3.29,"matrix metallopeptidase 12"
"680","MMP19","204574_s_at",6.29e-26,1.57e-27,-13.1,51.836051,-0.631,"matrix metallopeptidase 19","204575_s_at",0.201,0.00146221,3.61,-2.55862,0.723,"matrix metallopeptidase 19"
"681","MMP9","203936_s_at",1.53e-11,1.91e-12,7.6,17.3879645,1.45,"matrix metallopeptidase 9","203936_s_at",0.345,0.01561078,2.61,-4.83118,1.5,"matrix metallopeptidase 9"
"682","MNDA","204959_at",0.00097,0.000314,3.68,-1.0057586,0.676,"myeloid cell nuclear differentiation antigen","204959_at",0.422,0.02876999,2.33,-5.39702,1.03,"myeloid cell nuclear differentiation antigen"
"683","MOCS1","1555127_at",1.62e-14,1.44e-15,-8.81,24.4916383,-0.594,"molybdenum cofactor synthesis 1","211673_s_at",0.32,0.01270171,-2.7,-4.6378,-0.652,"molybdenum cofactor synthesis 1"
"684","MOGAT1","1553062_at",9.92e-06,2.44e-06,-4.88,3.6335695,-0.844,"monoacylglycerol O-acyltransferase 1","1553062_at",0.348,0.01615382,-2.59,-4.86313,-2.36,"monoacylglycerol O-acyltransferase 1"
"685","MOGAT2","232428_at",3.34e-08,6.12e-09,-6.13,9.4579799,-1.41,"monoacylglycerol O-acyltransferase 2","232428_at",0.383,0.02136793,-2.47,-5.12324,-1.1,"monoacylglycerol O-acyltransferase 2"
"686","MPHOSPH9","206205_at",7.17e-09,1.21e-09,6.44,11.0409533,0.853,"M-phase phosphoprotein 9","206205_at",0.392,0.02291663,2.44,-5.18791,0.642,"M-phase phosphoprotein 9"
"687","MPV17L","1558686_at",6.75e-16,5.2e-17,-9.35,27.779777,-1.06,"MPV17 mitochondrial inner membrane protein like","1558686_at",0.32,0.01265822,-2.7,-4.63457,-0.976,"MPV17 mitochondrial inner membrane protein like"
"688","MPZL2","203779_s_at",3.48e-47,7.25e-50,21.4,102.9938995,3.96,"myelin protein zero like 2","203780_at",0.277,0.00766762,2.92,-4.16007,0.795,"myelin protein zero like 2"
"689","MRAP","1555740_a_at",1.41e-05,3.52e-06,-4.8,3.2791,-0.805,"melanocortin 2 receptor accessory protein","1555740_a_at",0.448,0.03479835,-2.24,-5.57042,-0.942,"melanocortin 2 receptor accessory protein"
"690","MRAS","225185_at",2.77e-06,6.39e-07,-5.18,4.9304379,-0.861,"muscle RAS oncogene homolog","206538_at",0.441,0.03284031,-2.27,-5.51778,-0.637,"muscle RAS oncogene homolog"
"691","MREG","219648_at",2e-26,4.8e-28,13.3,53.0155423,0.84,"melanoregulin","232682_at",0.414,0.02726342,2.36,-5.34774,1.43,"melanoregulin"
"692","MRTO4","220688_s_at",5.59e-23,1.94e-24,12,44.76016,1.01,"MRT4 homolog, ribosome maturation factor","235783_at",0.139,0.00031015,4.23,-1.02923,1.23,"MRT4 homolog, ribosome maturation factor"
"693","MS4A6A","230550_at",0.000921,0.000297,3.69,-0.9541657,0.888,"membrane spanning 4-domains A6A","219666_at",0.476,0.04159024,2.16,-5.73159,0.946,"membrane spanning 4-domains A6A"
"694","MSMB","210297_s_at",1.37e-17,8.67e-19,-10,31.8370984,-2.96,"microseminoprotein beta","210297_s_at",0.431,0.03058175,-2.3,-5.45284,-1.13,"microseminoprotein beta"
"695","MSRB3","1554127_s_at",6.42e-10,9.69e-11,-6.91,13.5220446,-0.718,"methionine sulfoxide reductase B3","225790_at",0.367,0.0188372,-2.52,-5.00632,-0.981,"methionine sulfoxide reductase B3"
"696","MTCL1","213358_at",4.81e-19,2.61e-20,10.6,35.3138552,1.94,"microtubule crosslinking factor 1","213358_at",0.416,0.02780997,2.35,-5.36594,0.692,"microtubule crosslinking factor 1"
"697","MTERF2","225346_at",4.58e-15,3.86e-16,-9.03,25.7933061,-0.68,"mitochondrial transcription termination factor 2","225341_at",0.36,0.01777632,-2.55,-4.95239,-0.728,"mitochondrial transcription termination factor 2"
"698","MTFR2","228069_at",4.42e-25,1.22e-26,12.8,49.7963252,1.82,"mitochondrial fission regulator 2","228069_at",0.264,0.00642841,2.99,-3.99191,0.907,"mitochondrial fission regulator 2"
"699","MTSS1","203036_s_at",1.18e-17,7.43e-19,10,31.9900345,1.07,"metastasis suppressor 1","203036_s_at",0.348,0.0161554,2.59,-4.86322,0.651,"metastasis suppressor 1"
"700","MTURN","226018_at",6.19e-42,2.38e-44,-19.2,90.3685181,-1.06,"maturin, neural progenitor differentiation regulator homolog (Xenopus)","226018_at",0.341,0.0151035,-2.62,-4.80028,-0.842,"maturin, neural progenitor differentiation regulator homolog (Xenopus)"
"701","MUC1","211695_x_at",3.35e-06,7.78e-07,-5.13,4.7388773,-1.22,"mucin 1, cell surface associated","207847_s_at",0.343,0.01527315,-2.62,-4.81073,-1.16,"mucin 1, cell surface associated"
"702","MUC20","226622_at",4.19e-05,1.12e-05,-4.53,2.1667832,-1.25,"mucin 20, cell surface associated","231941_s_at",0.44,0.03277243,-2.27,-5.5159,-1.36,"mucin 20, cell surface associated"
"703","MVK","36907_at",1.9e-06,4.28e-07,5.26,5.3177768,0.627,"mevalonate kinase","204056_s_at",0.369,0.01918277,-2.52,-5.02321,-0.733,"mevalonate kinase"
"704","MX1","202086_at",7.17e-52,7.35e-55,23.4,114.4121353,3.12,"MX dynamin like GTPase 1","202086_at",0.395,0.02339599,2.43,-5.20702,1.26,"MX dynamin like GTPase 1"
"705","MX2","204994_at",1.21e-24,3.54e-26,12.6,48.7377873,2.39,"MX dynamin like GTPase 2","204994_at",0.32,0.01261407,2.7,-4.63128,0.883,"MX dynamin like GTPase 2"
"706","MXD1","228846_at",1.06e-38,6.22e-41,17.9,82.5416091,3.07,"MAX dimerization protein 1","228846_at",0.493,0.04600085,2.11,-5.82208,1.41,"MAX dimerization protein 1"
"707","MYD88","209124_at",1.2e-32,1.34e-34,15.6,68.0346873,1.16,"myeloid differentiation primary response 88","209124_at",0.135,0.0001966,4.41,-0.57565,0.61,"myeloid differentiation primary response 88"
"708","MYEOV","227342_s_at",3.22e-25,8.74e-27,-12.8,50.130004,-2.62,"myeloma overexpressed","227342_s_at",0.366,0.01858578,-2.53,-4.99383,-0.897,"myeloma overexpressed"
"709","MYH10","213067_at",1.43e-13,1.43e-14,-8.44,22.2193794,-0.847,"myosin, heavy chain 10, non-muscle","212372_at",0.294,0.00985372,-2.81,-4.39823,-0.624,"myosin, heavy chain 10, non-muscle"
"710","MYO5A","204527_at",1.69e-50,2.2e-53,22.8,111.0396896,1.96,"myosin VA","204527_at",0.255,0.00493036,3.1,-3.73769,0.889,"myosin VA"
"711","MYO5C","218966_at",4.31e-15,3.62e-16,-9.04,25.8560588,-0.909,"myosin VC","218966_at",0.503,0.04886318,-2.08,-5.87604,-0.921,"myosin VC"
"712","MYOC","210155_at",6.33e-13,6.76e-14,-8.18,20.6848711,-2.09,"myocilin","210155_at",0.216,0.00232782,-3.42,-3.01216,-0.982,"myocilin"
"713","MYRIP","214156_at",5.14e-07,1.08e-07,-5.55,6.6539341,-1.03,"myosin VIIA and Rab interacting protein","214156_at",0.213,0.00226016,-3.43,-2.98348,-1.5,"myosin VIIA and Rab interacting protein"
"714","MYZAP","228568_at",3.87e-05,1.03e-05,4.55,2.2482729,0.71,"myocardial zonula adherens protein","228568_at",0.447,0.03460675,-2.24,-5.56541,-0.843,"myocardial zonula adherens protein"
"715","N4BP1","204601_at",5.2e-47,1.13e-49,21.3,102.5508987,2.55,"NEDD4 binding protein 1","32069_at",0.262,0.00608925,3.02,-3.94008,0.763,"NEDD4 binding protein 1"
"716","NAALAD2","222161_at",3.76e-05,9.96e-06,-4.56,2.2789527,-0.906,"N-acetylated alpha-linked acidic dipeptidase 2","222161_at",0.32,0.01259446,-2.7,-4.62982,-0.941,"N-acetylated alpha-linked acidic dipeptidase 2"
"717","NABP1","222872_x_at",5.16e-24,1.61e-25,12.4,47.2324668,1.69,"nucleic acid binding protein 1","233085_s_at",0.275,0.00756336,2.92,-4.14703,0.68,"nucleic acid binding protein 1"
"718","NAMPT","1555167_s_at",7.57e-47,1.69e-49,21.2,102.1530416,4.4,"nicotinamide phosphoribosyltransferase","243296_at",0.416,0.02747322,2.35,-5.35477,0.624,"nicotinamide phosphoribosyltransferase"
"719","NAP1L2","219368_at",8.68e-23,3.06e-24,-12,44.3039406,-1.13,"nucleosome assembly protein 1 like 2","219368_at",0.335,0.01456138,-2.64,-4.76605,-0.608,"nucleosome assembly protein 1 like 2"
"720","NAPG","210048_at",5.7e-38,3.67e-40,17.6,80.7764801,2.59,"NSF attachment protein gamma","210048_at",0.24,0.00353861,3.24,-3.41813,0.926,"NSF attachment protein gamma"
"721","NAPSB","228055_at",4.8e-13,5.07e-14,8.22,20.9694448,1.15,"napsin B aspartic peptidase, pseudogene","228055_at",0.163,0.00061039,3.96,-1.69979,1.33,"napsin B aspartic peptidase, pseudogene"
"722","NBEA","226439_s_at",3.48e-16,2.6e-17,-9.46,28.4674784,-1.43,"neurobeachin","221207_s_at",0.369,0.01916015,-2.52,-5.02211,-0.919,"neurobeachin"
"723","NCAPG","218663_at",7.4e-34,7.29e-36,16.1,70.9293827,2.24,"non-SMC condensin I complex subunit G","218663_at",0.204,0.00172319,3.54,-2.71912,1.13,"non-SMC condensin I complex subunit G"
"724","NCAPG2","219588_s_at",2.56e-18,1.5e-19,10.3,33.5769737,0.782,"non-SMC condensin II complex subunit G2","219588_s_at",0.204,0.00154774,3.58,-2.61421,0.662,"non-SMC condensin II complex subunit G2"
"725","NCAPH","212949_at",7.72e-11,1.05e-11,7.31,15.7115707,0.987,"non-SMC condensin I complex subunit H","212949_at",0.416,0.02748781,2.35,-5.35526,0.642,"non-SMC condensin I complex subunit H"
"726","NCF2","209949_at",1.12e-12,1.23e-13,8.07,20.0968207,1.36,"neutrophil cytosolic factor 2","209949_at",0.416,0.02770452,2.35,-5.36246,0.886,"neutrophil cytosolic factor 2"
"727","NCF4","207677_s_at",0.00028,8.36e-05,4.03,0.2450903,0.714,"neutrophil cytosolic factor 4","205147_x_at",0.301,0.01040473,2.79,-4.4497,0.752,"neutrophil cytosolic factor 4"
"728","NCKAP1L","209734_at",0.000143,4.08e-05,4.21,0.9277289,0.666,"NCK associated protein 1 like","238668_at",0.402,0.02494772,2.4,-5.26619,0.602,"NCK associated protein 1 like"
"729","NDC1","218073_s_at",2.26e-27,4.84e-29,13.6,55.2988318,1.83,"NDC1 transmembrane nucleoporin","218073_s_at",0.264,0.00654175,2.99,-4.00861,0.896,"NDC1 transmembrane nucleoporin"
"730","NDC80","204162_at",3.76e-35,3.28e-37,16.6,74.015691,3.05,"NDC80, kinetochore complex component","204162_at",0.25,0.00464239,3.13,-3.67984,0.952,"NDC80, kinetochore complex component"
"731","NDFIP1","222423_at",6.52e-29,1.15e-30,-14.2,59.0174343,-0.875,"Nedd4 family interacting protein 1","222423_at",0.204,0.00176113,-3.53,-2.74038,-0.585,"Nedd4 family interacting protein 1"
"732","NDUFAF4","219006_at",3.46e-16,2.58e-17,9.46,28.4735691,0.938,"NADH:ubiquinone oxidoreductase complex assembly factor 4","227559_at",0.428,0.0299977,-2.31,-5.43523,-0.609,"NADH:ubiquinone oxidoreductase complex assembly factor 4"
"733","NEB","205054_at",3.01e-14,2.76e-15,8.71,23.8450535,1.91,"nebulin","205054_at",0.483,0.0432277,2.14,-5.76631,1.14,"nebulin"
"734","NEDD4L","212445_s_at",1.21e-08,2.1e-09,-6.33,10.5040783,-1.03,"neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase","212445_s_at",0.444,0.0334363,-2.26,-5.53415,-0.709,"neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase"
