"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.CSU","adj.P.Val.CSU","P.Value.CSU","t.CSU","B.CSU","logFC.CSU","Gene.title.CSU"
"1","ABCA5","241705_at",7.48e-15,6.43e-16,-8.95,25.2876319,-1.34,"ATP binding cassette subfamily A member 5",8018038,0.0302223,0.00189,-3.8730757,-1.39653,-0.5922981,"ATP binding cassette subfamily A member 5"
"2","ABCA6","217504_at",3.21e-09,5.24e-10,-6.6,11.865611,-0.959,"ATP binding cassette subfamily A member 6",8017964,0.0059267,0.000147,-5.2706378,1.13761,-1.69905095,"ATP binding cassette subfamily A member 6"
"3","ABCA9","242541_at",2.84e-11,3.66e-12,-7.49,16.7474945,-1.26,"ATP binding cassette subfamily A member 9",8017927,0.0051081,0.000115,-5.4118341,1.38034,-1.42567762,"ATP binding cassette subfamily A member 9"
"4","ABCF2","209246_at",1.27e-21,5.14e-23,11.5,41.5001614,1.06,"ATP binding cassette subfamily F member 2",8143905,0.000223,4.49e-07,9.176468,6.78957,1.0981081,"ATP binding cassette subfamily F member 2"
"5","ABL2","231907_at",5.1e-08,9.55e-09,-6.04,9.0221478,-1.06,"ABL proto-oncogene 2, non-receptor tyrosine kinase",7922610,0.0023442,3.49e-05,6.1245211,2.56126,0.90214714,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
"6","ACADSB","226030_at",2.62e-17,1.73e-18,-9.89,31.1539122,-1.04,"acyl-CoA dehydrogenase, short/branched chain",7931168,0.0120018,0.00044,-4.6545746,0.04709,-0.69199405,"acyl-CoA dehydrogenase, short/branched chain"
"7","ACKR4","220351_at",5e-04,0.000155,-3.87,-0.3391762,-0.669,"atypical chemokine receptor 4",8122334,0.2035728,0.0396,2.2848618,-4.32805,0.69590119,"atypical chemokine receptor 4"
"8","ADD3","201753_s_at",2.73e-17,1.8e-18,-9.89,31.1142345,-1.48,"adducin 3",7930380,0.0169612,0.000758,-4.3590022,-0.49237,-1.01217167,"adducin 3"
"9","ADH1B","209614_at",2.87e-08,5.23e-09,-6.16,9.6106608,-0.788,"alcohol dehydrogenase 1B (class I), beta polypeptide",8101881,0.0259735,0.00151,-3.9931447,-1.17154,-1.73957119,"alcohol dehydrogenase 1B (class I), beta polypeptide"
"10","AGFG1","218092_s_at",4.25e-19,2.29e-20,10.6,35.4427647,0.844,"ArfGAP with FG repeats 1",8048847,0.0028127,4.56e-05,5.9617155,2.29812,0.65930357,"ArfGAP with FG repeats 1"
"11","AGPAT5","218096_at",1.13e-15,8.97e-17,9.26,27.2390316,0.916,"1-acylglycerol-3-phosphate O-acyltransferase 5",8144378,0.001102,9.5e-06,6.9560388,3.84342,1.28427238,"1-acylglycerol-3-phosphate O-acyltransferase 5"
"12","AGTR1","205357_s_at",3.98e-15,3.33e-16,-9.05,25.9386214,-1.84,"angiotensin II receptor type 1",8083240,0.0125088,0.000465,-4.6238643,-0.00852,-0.89875,"angiotensin II receptor type 1"
"13","AIMP2","202138_x_at",3.4e-26,8.35e-28,13.2,52.4654935,0.602,"aminoacyl tRNA synthetase complex interacting multifunctional protein 2",8131374,0.0003107,9.63e-07,8.5812358,6.0634,0.88404643,"aminoacyl tRNA synthetase complex interacting multifunctional protein 2///eukaryotic translation initiation factor 2 alpha kinase 1"
"14","AK2","212173_at",4.42e-10,6.54e-11,6.98,13.9080289,0.866,"adenylate kinase 2",7914617,0.0023442,3.49e-05,6.1244473,2.56114,0.70391238,"adenylate kinase 2"
"15","AKAP12","227530_at",1.35e-10,1.89e-11,-7.2,15.1306188,-1.07,"A-kinase anchoring protein 12",8122807,0.1715373,0.0296,2.4402244,-4.05745,0.7549369,"A-kinase anchoring protein 12"
"16","ALDH1A1","212224_at",3.13e-09,5.09e-10,-6.6,11.8926831,-0.849,"aldehyde dehydrogenase 1 family member A1",8161755,0.0379669,0.00269,-3.6887839,-1.7432,-0.62085881,"aldehyde dehydrogenase 1 family member A1"
"17","ALG3","207396_s_at",1.25e-14,1.1e-15,8.86,24.7558329,0.705,"ALG3, alpha-1,3- mannosyltransferase",8092457,0.0017975,2.12e-05,6.4373115,3.05566,0.68085262,"ALG3, alpha-1,3- mannosyltransferase"
"18","ALOX5AP","204174_at",2.95e-06,6.82e-07,5.16,4.8674225,0.938,"arachidonate 5-lipoxygenase activating protein",7968344,0.0263354,0.00155,3.9763498,-1.20296,0.86696881,"arachidonate 5-lipoxygenase activating protein"
"19","ALYREF","226320_at",4.99e-08,9.33e-09,6.04,9.0446468,0.749,"Aly/REF export factor",8019772,0.0176523,0.000807,4.3250812,-0.55485,0.93969048,"Aly/REF export factor"
"20","AMD1","201196_s_at",1.94e-48,3.37e-51,21.9,106.0408316,2.08,"adenosylmethionine decarboxylase 1",8121489,0.0005796,3.25e-06,7.6895204,4.89043,1.04239357,"adenosylmethionine decarboxylase 1"
"21","ANGPTL1","231773_at",0.000964,0.000311,-3.68,-0.9992634,-0.803,"angiopoietin like 1",7922598,0.0725918,0.00758,-3.1513863,-2.7556,-1.1736831,"angiopoietin like 1"
"22","ANKRD36","214723_x_at",8.1e-15,6.99e-16,-8.93,25.2062133,-0.884,"ankyrin repeat domain 36",8043687,0.0227561,0.00121,-4.1085041,-0.95624,-0.69781571,"ankyrin repeat domain 36"
"23","ANKRD36B","220940_at",1.65e-15,1.32e-16,-9.2,26.8542467,-0.792,"ankyrin repeat domain 36B",8054064,0.0070651,0.000197,-5.1036971,0.84703,-0.78259095,"ankyrin repeat domain 36B"
"24","AOAH","205639_at",3.76e-07,7.8e-08,5.62,6.9736378,0.606,"acyloxyacyl hydrolase",8139033,0.2237743,0.0465,2.1977134,-4.4766,0.62949643,"acyloxyacyl hydrolase"
"25","APOL1","209546_s_at",1.12e-37,7.51e-40,17.5,80.063329,2.68,"apolipoprotein L1",8072735,0.0031986,5.5e-05,5.8479491,2.1119,1.16107976,"apolipoprotein L1"
"26","APOL2","221013_s_at",7.99e-24,2.54e-25,12.3,46.7775457,1.43,"apolipoprotein L2",8075720,0.005258,0.000121,5.3815884,1.32859,0.98726,"apolipoprotein L2"
"27","APOL6","219716_at",3.02e-49,4.63e-52,22.3,108.0123168,4.39,"apolipoprotein L6",8072710,0.0097296,0.000318,4.8344895,0.37059,0.87932429,"apolipoprotein L6"
"28","AQP3","39249_at",3.91e-05,1.04e-05,4.55,2.2383224,0.704,"aquaporin 3 (Gill blood group)",8160670,0.150781,0.0239,2.5530819,-3.85687,0.85184286,"aquaporin 3 (Gill blood group)"
"29","AQP9","205568_at",1.73e-11,2.17e-12,-7.58,17.261644,-2.65,"aquaporin 9",7983910,0.0387448,0.00279,3.6687753,-1.78091,1.02261762,"aquaporin 9"
"30","AREG","205239_at",1.95e-30,2.84e-32,14.8,62.7021326,2.93,"amphiregulin",8095744,0.002246,3.24e-05,6.1711164,2.63584,1.28053881,"amphiregulin"
"31","ARHGAP18","225173_at",0.000992,0.000321,-3.67,-1.0284884,-0.821,"Rho GTPase activating protein 18",8129458,0.0595254,0.00554,3.3131464,-2.45155,0.70872833,"Rho GTPase activating protein 18"
"32","ARHGAP26","205068_s_at",6.83e-10,1.03e-10,-6.89,13.4575589,-0.752,"Rho GTPase activating protein 26",8108873,0.0357245,0.00245,3.7376922,-1.65108,0.84146,"Rho GTPase activating protein 26"
"33","ARHGEF28","1559706_at",1.2e-07,2.35e-08,-5.86,8.1409215,-0.661,"Rho guanine nucleotide exchange factor 28",8106210,0.0181052,0.000841,-4.3030258,-0.59554,-0.61958286,"Rho guanine nucleotide exchange factor 28"
"34","ARNTL2","224204_x_at",2.9e-55,1.8e-58,24.9,122.6582782,5.43,"aryl hydrocarbon receptor nuclear translocator like 2",7954527,0.0138082,0.00054,4.5426165,-0.15614,0.60077095,"aryl hydrocarbon receptor nuclear translocator like 2"
"35","ASAP1","224790_at",2.08e-20,9.68e-22,11.1,38.584373,1.34,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",8152867,0.0067783,0.000184,5.1430288,0.91584,0.75397976,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"
"36","ASCC3","231269_at",1.21e-13,1.19e-14,8.47,22.3973208,1.15,"activating signal cointegrator 1 complex subunit 3",8128472,0.0026145,4.15e-05,6.0191349,2.39138,0.71531952,"activating signal cointegrator 1 complex subunit 3"
"37","ATIC","208758_at",5.97e-18,3.62e-19,10.1,32.7036589,0.609,"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase",8048120,0.0215912,0.00112,4.1510863,-0.87701,0.72299667,"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"
"38","ATP13A3","219558_at",8.32e-07,1.8e-07,5.45,6.1614426,1.07,"ATPase 13A3",8092849,0.0054552,0.000128,5.3494436,1.27343,1.48629119,"ATPase 13A3"
"39","ATP1B1","201242_s_at",2.29e-08,4.12e-09,6.2,9.8451495,0.638,"ATPase Na+/K+ transporting subunit beta 1",7907160,0.1792834,0.0318,-2.4026072,-4.1236,-0.81446952,"ATPase Na+/K+ transporting subunit beta 1"
"40","ATP6V1B2","201089_at",7.38e-17,5.13e-18,9.72,30.0752389,0.724,"ATPase H+ transporting V1 subunit B2",8144931,0.0024992,3.88e-05,6.0599866,2.45743,0.63412429,"ATPase H+ transporting V1 subunit B2"
"41","ATR","209902_at",1.95e-11,2.46e-12,7.56,17.1370693,0.729,"ATR serine/threonine kinase",8091190,0.0005796,3.27e-06,7.6846049,4.88367,0.73209095,"ATR serine/threonine kinase"
"42","BAK1","203728_at",6.33e-15,5.41e-16,8.97,25.4599477,0.797,"BCL2 antagonist/killer 1",8125766,0.0084674,0.000259,4.9494086,0.57513,0.63866286,"BCL2 antagonist/killer 1"
"43","BBS2","223227_at",5.37e-25,1.5e-26,-12.8,49.5910553,-0.905,"Bardet-Biedl syndrome 2",8001507,0.0391875,0.00285,-3.6589206,-1.79949,-0.78244833,"Bardet-Biedl syndrome 2"
"44","BCR","202315_s_at",6.44e-18,3.92e-19,10.1,32.6249207,1.6,"BCR, RhoGEF and GTPase activating protein",8071691,0.0132828,0.000511,4.5728015,-0.10121,0.67467405,"BCR, RhoGEF and GTPase activating protein"
"45","BIRC3","210538_s_at",4.72e-14,4.43e-15,8.63,23.3785002,1.72,"baculoviral IAP repeat containing 3",7943413,0.0287825,0.00176,3.9095249,-1.32815,0.71060548,"baculoviral IAP repeat containing 3"
"46","BNIP3","201848_s_at",1.41e-24,4.18e-26,12.6,48.5733964,0.999,"BCL2 interacting protein 3",7937079,0.0138595,0.000544,-4.5391002,-0.16255,-0.6933869,"BCL2 interacting protein 3"
"47","BNIP3L","221479_s_at",9.52e-20,4.77e-21,10.8,37.0001445,0.948,"BCL2 interacting protein 3 like",8145454,0.0230786,0.00124,-4.0976724,-0.97641,-0.59625786,"BCL2 interacting protein 3 like"
"48","BOC","225990_at",5.12e-19,2.79e-20,-10.5,35.2475561,-0.704,"BOC cell adhesion associated, oncogene regulated",8081686,0.014035,0.000556,-4.5272553,-0.18413,-0.67068643,"BOC cell adhesion associated, oncogene regulated"
"49","BYSL","203612_at",1.77e-17,1.14e-18,9.96,31.5662178,1.38,"bystin like",8119492,0.0001163,5.64e-08,10.9580344,8.72212,1.07949405,"bystin like"
"50","BZW1","200776_s_at",2.34e-39,1.25e-41,18.2,84.1386776,1.82,"basic leucine zipper and W2 domains 1",8047339,0.0002126,3.67e-07,9.3390884,6.98052,0.88604833,"basic leucine zipper and W2 domains 1"
"51","C12orf4","218374_s_at",2.38e-13,2.43e-14,8.35,21.695047,1.19,"chromosome 12 open reading frame 4",7960411,0.0005222,2.6e-06,7.8470787,5.10545,0.68421476,"chromosome 12 open reading frame 4"
"52","C3AR1","209906_at",0.00151,0.000503,3.55,-1.4490056,0.935,"complement component 3a receptor 1",7960874,0.1048957,0.0134,2.8574606,-3.30284,0.79836095,"complement component 3a receptor 1"
"53","C8orf33","222551_s_at",5.01e-15,4.23e-16,9.01,25.703019,1.03,"chromosome 8 open reading frame 33",8148955,0.0010969,9.39e-06,6.9637192,3.85478,0.64461119,"chromosome 8 open reading frame 33"
"54","CAB39L","221003_s_at",2.1e-12,2.37e-13,-7.96,19.4474751,-1.07,"calcium binding protein 39 like",7971590,0.0479254,0.004,-3.4824928,-2.13227,-0.97531405,"calcium binding protein 39 like"
"55","CAPRIN1","226285_at",1.78e-10,2.51e-11,7.15,14.8487839,0.681,"cell cycle associated protein 1",7939242,0.0006694,4.12e-06,7.5229011,4.6593,0.63797286,"cell cycle associated protein 1"
"56","CASP4","209310_s_at",5.52e-35,4.86e-37,16.5,73.6238289,1.03,"caspase 4",7951372,0.0021504,3.03e-05,6.2127461,2.70219,0.61925786,"caspase 4"
"57","CCDC59","222792_s_at",8.3e-09,1.42e-09,6.41,10.8887966,0.649,"coiled-coil domain containing 59",7965200,0.0052358,0.00012,5.3870522,1.33794,0.59750857,"coiled-coil domain containing 59"
"58","CCL19","210072_at",0.00204,0.000696,3.46,-1.7533869,0.69,"C-C motif chemokine ligand 19",8160879,0.0067366,0.000181,5.1521564,0.93177,1.91261738,"C-C motif chemokine ligand 19"
"59","CCL2","216598_s_at",1.81e-19,9.38e-21,10.7,36.3288424,1.31,"C-C motif chemokine ligand 2",8006433,2.35e-05,7.05e-10,15.6775353,12.50482,4.31368619,"C-C motif chemokine ligand 2///C-C motif chemokine ligand 2"
"60","CCL8","214038_at",2.95e-14,2.71e-15,8.71,23.864742,1.88,"C-C motif chemokine ligand 8",8006453,0.0084783,0.000259,4.9477505,0.57219,0.89289667,"C-C motif chemokine ligand 8"
"61","CCNG2","228081_at",9.61e-14,9.38e-15,-8.51,22.6362355,-1.02,"cyclin G2",8095870,0.0011703,1.07e-05,-6.8750476,3.72304,-0.89186333,"cyclin G2"
"62","CCNL1","1555827_at",2.53e-19,1.32e-20,10.7,35.9866978,1.68,"cyclin L1",8091658,0.0449627,0.00355,3.5444958,-2.01529,0.72121262,"cyclin L1"
"63","CCR2","206978_at",2.04e-05,5.22e-06,4.71,2.9012709,0.783,"C-C motif chemokine receptor 2",8079392,0.0453552,0.0036,3.5363569,-2.03065,0.77743976,"C-C motif chemokine receptor 2"
"64","CCT2","201947_s_at",5.91e-35,5.23e-37,16.5,73.5501184,0.626,"chaperonin containing TCP1 subunit 2",7957052,0.0007244,4.79e-06,7.4192774,4.51359,1.19839667,"chaperonin containing TCP1 subunit 2"
"65","CCT5","229068_at",9.54e-09,1.64e-09,6.38,10.7464347,0.715,"chaperonin containing TCP1 subunit 5",8104449,0.001778,2.05e-05,6.4572845,3.08673,1.1330919,"chaperonin containing TCP1 subunit 5"
"66","CD14","201743_at",0.000396,0.000121,3.94,-0.104014,0.93,"CD14 molecule",8114612,0.1113697,0.0147,2.8092718,-3.3916,0.99504262,"CD14 molecule"
"67","CD274","227458_at",3.45e-59,1.39e-62,26.8,132.041535,5.48,"CD274 molecule",8154233,0.0120033,0.000441,4.6540575,0.04615,0.97379881,"CD274 molecule"
"68","CD34","209543_s_at",1.66e-16,1.2e-17,-9.59,29.2319654,-1.44,"CD34 molecule",7923978,0.0244338,0.00136,-4.0473854,-1.07019,-1.23553786,"CD34 molecule"
"69","CD44","229221_at",1.82e-06,4.1e-07,-5.27,5.3595854,-0.826,"CD44 molecule (Indian blood group)",7939341,0.0015054,1.61e-05,6.6119048,3.32526,0.5912619,"CD44 molecule (Indian blood group)"
"70","CD53","203416_at",8.25e-13,8.91e-14,8.13,20.4115407,1.07,"CD53 molecule",7903893,0.0014784,1.57e-05,6.6290114,3.35144,2.26057429,"CD53 molecule"
"71","CD69","209795_at",1.91e-06,4.32e-07,5.26,5.3103596,0.799,"CD69 molecule",7961075,5.86e-05,1.94e-08,11.9788376,9.68685,1.75398429,"CD69 molecule"
"72","CDH3","203256_at",4.31e-24,1.33e-25,12.4,47.4204116,1.48,"cadherin 3",7996819,0.0121558,0.000447,4.6462336,0.03199,1.41977714,"cadherin 3"
"73","CDKN1A","202284_s_at",5.37e-21,2.33e-22,11.3,39.9978466,0.869,"cyclin dependent kinase inhibitor 1A",8119088,0.003064,5.15e-05,5.8870271,2.17608,0.88498548,"cyclin dependent kinase inhibitor 1A"
"74","CDON","227526_at",1.02e-26,2.36e-28,-13.4,53.7238721,-1.08,"cell adhesion associated, oncogene regulated",7952526,0.0313477,0.00199,-3.8462639,-1.44688,-1.01922595,"cell adhesion associated, oncogene regulated"
"75","CDV3","213554_s_at",1.11e-18,6.32e-20,10.4,34.4353627,1.28,"CDV3 homolog",8082788,0.000223,4.57e-07,9.1634722,6.77418,0.58926143,"CDV3 homolog"
"76","CEBPD","213006_at",5.4e-32,6.46e-34,15.4,66.4661739,2.92,"CCAAT/enhancer binding protein delta",8150592,0.0031076,5.27e-05,5.87312,2.15327,0.71731238,"CCAAT/enhancer binding protein delta"
