"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.CSU","adj.P.Val.CSU","P.Value.CSU","t.CSU","B.CSU","logFC.CSU","Gene.title.CSU"
"134","EXPH5","214734_at",7.31e-10,1.11e-10,-6.88,13.3876308,-1.07,"exophilin 5",7951545,0.1066632,0.0137,-2.8428897,-3.32972,-0.95167333,"exophilin 5"
"135","FABP7","205030_at",2.27e-11,2.89e-12,-7.53,16.9800015,-3.2,"fatty acid binding protein 7",8121784,0.2252654,0.0471,-2.1914517,-4.48717,-1.16426024,"fatty acid binding protein 7"
"136","FAM114A1","226697_at",2.55e-07,5.17e-08,-5.7,7.3744069,-0.976,"family with sequence similarity 114 member A1",8094609,0.0869095,0.00995,-3.0100822,-3.01977,-0.67100786,"family with sequence similarity 114 member A1"
"137","FAM129B","223019_at",6.81e-19,3.77e-20,10.5,34.9480471,0.794,"family with sequence similarity 129 member B",8164217,0.0105635,0.000365,4.7569301,0.23161,0.79065119,"family with sequence similarity 129 member B"
"138","FAM214A","235193_at",5.68e-05,1.54e-05,4.45,1.860086,0.852,"family with sequence similarity 214 member A",7988970,0.0028204,4.58e-05,-5.9581158,2.29226,-0.9221381,"family with sequence similarity 214 member A"
"139","FAM26E","232217_at",2.98e-09,4.85e-10,-6.61,11.9409825,-1.11,"family with sequence similarity 26 member E",8121601,0.2290893,0.0487,-2.1725208,-4.51906,-0.6098019,"family with sequence similarity 26 member E"
"140","FAM98A","212333_at",1.61e-19,8.27e-21,10.7,36.4541292,0.635,"family with sequence similarity 98 member A",8051413,0.0029571,4.88e-05,5.9204999,2.23088,0.9056081,"family with sequence similarity 98 member A"
"141","FASTKD2","216996_s_at",4.15e-25,1.14e-26,12.8,49.861065,0.739,"FAST kinase domains 2",8047815,0.0005108,2.52e-06,7.8715808,5.13858,0.72122429,"FAST kinase domains 2"
"142","FAXDC2","48031_r_at",9.93e-11,1.36e-11,-7.26,15.4505722,-0.658,"fatty acid hydroxylase domain containing 2",8115397,0.0044465,9.25e-05,-5.5384842,1.59565,-0.92304262,"fatty acid hydroxylase domain containing 2"
"143","FBXL20","235089_at",6.89e-27,1.57e-28,13.5,54.1279749,2.09,"F-box and leucine rich repeat protein 20",8014825,0.0012962,1.28e-05,-6.7599678,3.55034,-0.59396857,"F-box and leucine rich repeat protein 20"
"144","FBXO32","241763_s_at",2.36e-06,5.39e-07,-5.21,5.0955566,-0.83,"F-box protein 32",8152703,0.0528501,0.00464,-3.4046654,-2.27907,-0.79258429,"F-box protein 32"
"145","FCER1G","1554899_s_at",0.000294,8.82e-05,4.02,0.1944203,0.888,"Fc fragment of IgE receptor Ig",7906720,0.0697974,0.00715,3.1813908,-2.69931,0.94360786,"Fc fragment of IgE receptor Ig"
"146","FCGR1CP","216950_s_at",0.00014,4e-05,4.22,0.9465486,0.585,"Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia",7905047,0.0897571,0.0104,2.9862213,-3.0642,0.67728143,"Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia"
"147","FCGR3B","204007_at",3.14e-14,2.88e-15,8.7,23.8031162,2.36,"Fc fragment of IgG receptor IIIb",7921873,0.0155932,0.000658,4.435057,-0.35268,1.30489357,"Fc fragment of IgG receptor IIIb///Fc fragment of IgG receptor IIIa"
"148","FHL1","201540_at",2.11e-17,1.38e-18,-9.93,31.3782255,-0.823,"four and a half LIM domains 1",8170119,0.0974851,0.0119,-2.9158248,-3.19492,-0.9315969,"four and a half LIM domains 1"
"149","FLVCR2","222866_s_at",8.44e-55,5.86e-58,24.7,121.4883947,4.79,"feline leukemia virus subgroup C cellular receptor family member 2",7975799,0.017179,0.000776,4.3460474,-0.51622,0.74822286,"feline leukemia virus subgroup C cellular receptor family member 2"
"150","FMO5","215300_s_at",5.29e-11,7.02e-12,-7.38,16.1050468,-1.14,"flavin containing monooxygenase 5",7919314,0.0088196,0.000274,-4.917857,0.51914,-0.64906643,"flavin containing monooxygenase 5"
"151","FOSL2","218880_at",6.54e-32,7.92e-34,15.3,66.2632972,2.45,"FOS like 2, AP-1 transcription factor subunit",8041048,0.0425193,0.00323,3.5925511,-1.92464,0.70050881,"FOS like 2, AP-1 transcription factor subunit"
"152","FPR1","205119_s_at",2.78e-05,7.23e-06,4.63,2.5870448,0.758,"formyl peptide receptor 1",8038899,0.0167854,0.000744,4.3690105,-0.47395,1.08449524,"formyl peptide receptor 1"
"153","FRZB","203697_at",1.27e-17,8.01e-19,-10,31.9156735,-1.59,"frizzled-related protein",8057506,0.2284857,0.0485,-2.1752672,-4.51444,-0.79420595,"frizzled-related protein"
"154","FST","207345_at",1.3e-14,1.15e-15,-8.85,24.71553,-0.833,"follistatin",8105302,0.0661725,0.00656,3.2257984,-2.6159,1.35447929,"follistatin"
"155","FUS","231108_at",0.0033,0.00117,-3.3,-2.2342723,-0.723,"FUS RNA binding protein",7995069,0.0096077,0.000311,4.8471539,0.39321,0.6449019,"FUS RNA binding protein"
"156","FZD4","224337_s_at",0.000325,9.8e-05,-3.99,0.0940581,-0.688,"frizzled class receptor 4",7950885,0.1352429,0.0202,-2.6428514,-3.69526,-0.72876214,"frizzled class receptor 4"
"157","G3BP1","201514_s_at",0.000671,0.000212,3.79,-0.635995,0.68,"G3BP stress granule assembly factor 1",8109368,0.0001305,1.76e-07,9.9486057,7.66918,0.99465952,"G3BP stress granule assembly factor 1"
"158","GABPB1","206173_x_at",2.29e-09,3.68e-10,6.66,12.2126452,0.925,"GA binding protein transcription factor beta subunit 1",7988687,0.0005056,2.44e-06,7.8921479,5.16633,0.75713929,"GA binding protein transcription factor beta subunit 1"
"159","GALNT15","239461_at",7.25e-10,1.1e-10,-6.88,13.3955776,-1.38,"polypeptide N-acetylgalactosaminyltransferase 15",8078155,0.0341833,0.00228,-3.7742201,-1.58233,-0.84267071,"polypeptide N-acetylgalactosaminyltransferase 15"
"160","GALNT6","219956_at",5.38e-42,2.04e-44,19.2,90.5220842,3.64,"polypeptide N-acetylgalactosaminyltransferase 6",7963313,0.0103414,0.00035,4.7813151,0.27539,0.59672214,"polypeptide N-acetylgalactosaminyltransferase 6"
"161","GARS","208693_s_at",4.56e-35,3.99e-37,16.5,73.8194831,0.762,"glycyl-tRNA synthetase",8132070,0.0010011,8.09e-06,7.0630625,4.00101,0.94513167,"glycyl-tRNA synthetase"
"162","GART","230766_at",2.15e-07,4.32e-08,5.74,7.5494162,1.12,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",8070102,0.0041472,8.32e-05,5.6011003,1.70124,0.88075119,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
"163","GAS5","1560402_at",6.39e-09,1.08e-09,6.46,11.1599584,0.695,"growth arrest specific 5 (non-protein coding)",7922404,0.0149929,0.000617,4.4703573,-0.28804,0.77517548,"growth arrest specific 5 (non-protein coding)///small nucleolar RNA, C/D box 80"
"164","GCH1","204224_s_at",4.59e-24,1.42e-25,12.4,47.3557888,0.959,"GTP cyclohydrolase 1",7979269,0.0303649,0.00191,3.8691629,-1.40388,0.87770357,"GTP cyclohydrolase 1"
"165","GFM1","225161_at",1.11e-16,7.82e-18,9.66,29.6565962,1.17,"G elongation factor mitochondrial 1",8083630,0.0006677,4.05e-06,7.53489,4.67606,0.75275119,"G elongation factor mitochondrial 1"
"166","GK3P","215966_x_at",6.14e-38,3.98e-40,17.6,80.6943502,3.09,"glycerol kinase 3 pseudogene",8174103,0.0865088,0.00988,3.013928,-3.0126,1.00675619,"glycerol kinase 3 pseudogene///glycerol kinase"
"167","GLIPR1","226142_at",0.000463,0.000143,3.89,-0.2617343,0.652,"GLI pathogenesis related 1",7957260,0.0867851,0.00993,3.0115959,-3.01695,0.76416929,"GLI pathogenesis related 1"
"168","GLIPR2","225602_at",1.02e-09,1.57e-10,-6.82,13.0451704,-0.592,"GLI pathogenesis related 2",8155192,0.0261177,0.00153,3.9850708,-1.18664,0.8229569,"GLI pathogenesis related 2"
"169","GLUL","217202_s_at",2.94e-36,2.26e-38,17,76.6762322,3.46,"glutamate-ammonia ligase",8154951,0.0017904,2.08e-05,6.4492222,3.0742,0.86385429,"glutamate-ammonia ligase"
"170","GNA15","205349_at",2.18e-33,2.29e-35,15.9,69.790652,2.22,"G protein subunit alpha 15",8024572,0.0564968,0.00511,3.3549362,-2.37282,0.77719595,"G protein subunit alpha 15"
"171","GPAT3","224480_s_at",2.07e-21,8.61e-23,11.4,40.9888227,1.83,"glycerol-3-phosphate acyltransferase 3",8096116,0.0025035,3.9e-05,6.0561786,2.45128,0.80764548,"glycerol-3-phosphate acyltransferase 3"
"172","GPATCH4","224634_at",6.76e-23,2.36e-24,12,44.5632517,1.26,"G-patch domain containing 4",7921076,0.0001163,8.73e-08,10.5620333,8.32145,1.13732762,"G-patch domain containing 4"
"173","GPCPD1","230492_s_at",2.56e-34,2.41e-36,16.3,72.0313105,2.72,"glycerophosphocholine phosphodiesterase 1",8064868,0.0069152,0.00019,5.1220233,0.87912,0.86924571,"glycerophosphocholine phosphodiesterase 1"
"174","GPR183","205419_at",2.32e-20,1.09e-21,11,38.4680056,1.88,"G protein-coupled receptor 183",7972557,0.0005224,2.64e-06,7.8382752,5.09353,1.63357833,"G protein-coupled receptor 183"
"175","GPR65","214467_at",7.09e-17,4.91e-18,9.73,30.117412,1.62,"G protein-coupled receptor 65",7976080,0.0089493,0.000279,4.9064599,0.49888,0.62370643,"G protein-coupled receptor 65"
"176","GPX2","202831_at",8.78e-28,1.79e-29,13.8,56.290408,2.66,"glutathione peroxidase 2",7979658,0.0018783,2.29e-05,6.3873736,2.97771,0.99384071,"glutathione peroxidase 2"
"177","GRPEL1","212432_at",4.57e-21,1.98e-22,11.3,40.1627794,1.42,"GrpE like 1, mitochondrial",8099246,0.0034911,6.34e-05,5.762168,1.97021,0.72387833,"GrpE like 1, mitochondrial"
"178","GSDMC","234305_s_at",4.71e-17,3.19e-18,9.8,30.5463366,1.02,"gasdermin C",8152828,0.0065284,0.000172,5.1793059,0.97911,1.23366095,"gasdermin C"
"179","GSPT1","201912_s_at",6.73e-41,2.92e-43,18.8,87.8761047,1.19,"G1 to S phase transition 1",7999532,0.000223,4.52e-07,9.1717696,6.78401,1.14479976,"G1 to S phase transition 1"
"180","GSTM5","205752_s_at",1.42e-17,9.05e-19,-10,31.7949451,-2,"glutathione S-transferase mu 5",7903777,0.0816964,0.00904,-3.0601646,-2.92633,-0.61385429,"glutathione S-transferase mu 5"
"181","GTPBP4","218239_s_at",2.88e-16,2.13e-17,9.5,28.6634037,0.85,"GTP binding protein 4",7925823,0.0003991,1.55e-06,8.2260245,5.60879,1.44020976,"GTP binding protein 4"
"182","GYG1","201554_x_at",7.26e-07,1.56e-07,5.48,6.3000958,0.609,"glycogenin 1",8083272,0.0004449,1.99e-06,8.0412879,5.36582,0.82471881,"glycogenin 1"
"183","GZMB","210164_at",5.48e-58,2.61e-61,26.2,129.1372838,5.92,"granzyme B",7978366,0.0190262,0.000918,4.2560211,-0.6824,0.81725548,"granzyme B"
"184","HCAR3","205220_at",2.62e-14,2.39e-15,8.73,23.9877447,1.78,"hydroxycarboxylic acid receptor 3",7967322,0.0395922,0.0029,3.6499517,-1.8164,0.91404976,"hydroxycarboxylic acid receptor 3"
"185","HCK","208018_s_at",5.37e-10,8.05e-11,6.94,13.704585,0.791,"HCK proto-oncogene, Src family tyrosine kinase",8061668,0.001162,1.05e-05,6.8873608,3.74141,1.02743405,"HCK proto-oncogene, Src family tyrosine kinase"
"186","HCLS1","202957_at",3.61e-10,5.3e-11,7.02,14.1147464,0.815,"hematopoietic cell-specific Lyn substrate 1",8089911,0.0505956,0.00436,3.4378223,-2.21654,0.74362143,"hematopoietic cell-specific Lyn substrate 1"
"187","HEATR1","218594_at",3.31e-15,2.75e-16,9.08,26.1298272,0.765,"HEAT repeat containing 1",7925364,0.0005192,2.57e-06,7.855538,5.1169,1.21636333,"HEAT repeat containing 1"
"188","HEG1","212822_at",5.77e-11,7.69e-12,-7.36,16.0153261,-0.937,"heart development protein with EGF like domains 1",8090193,0.0105329,0.000363,4.7604581,0.23795,0.83040905,"heart development protein with EGF like domains 1"
"189","HLF","204754_at",1.75e-14,1.57e-15,-8.8,24.4078461,-1.02,"HLF, PAR bZIP transcription factor",8008588,0.0968756,0.0118,-2.9227755,-3.18204,-0.64183929,"HLF, PAR bZIP transcription factor"
"190","HNRNPR","208765_s_at",9.47e-07,2.06e-07,5.42,6.0288567,0.775,"heterogeneous nuclear ribonucleoprotein R",7913571,0.0038476,7.35e-05,5.6744981,1.82428,0.59422048,"heterogeneous nuclear ribonucleoprotein R"
