"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"4595","Hidradenitis","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","41/5292","104/18862",0.00792274958942254,0.0358892317852501,0.0247915286337248,"THBS1/TREM2/CTSS/HLA-DOB/CTSL/HLA-DOA/SEC24A/LAG3/FCER1G/IFI30/MARCHF1/SEC24D/AP2B1/HLA-DPA1/HLA-DMB/HLA-DMA/LGMN/HLA-DPB1/KIF3C/FCGR2B/CTSD/DCTN5/DNM2/KIF2A/CANX/CD74/SAR1B/HLA-DQB1/DYNC1I2/OSBPL1A/DYNC1H1/KIF23/CLTA/AP1M2/CLTC/CAPZA1/RAB7A/SPTBN2/HLA-DQB2/CTSV/CAPZA3",41
"4596","Hidradenitis","GO:0006906","vesicle fusion","41/5292","104/18862",0.00792274958942254,0.0358892317852501,0.0247915286337248,"SNAP25/RAB20/SPHK1/CORO1A/PLA2G5/SAMD9/DYSF/TAP2/RAB8B/SYT11/GOSR2/CALR/SOX30/PIP4K2A/TAPBP/VPS18/TRIM9/RAB39A/SEC22B/STX6/STX11/TAP1/CPLX1/SNCA/STX16/AKT2/CAV2/SEPTIN8/VPS8/STX17/TBC1D4/RAB7B/SYT1/SNAP23/GOSR1/TSNARE1/RAB7A/STXBP6/VAV3/VTI1A/STX19",41
"4597","Hidradenitis","GO:0050994","regulation of lipid catabolic process","26/5292","60/18862",0.00792975281881083,0.0358892317852501,0.0247915286337248,"IL1B/APOC2/RARRES2/APOC1/PIK3CG/ABCD2/TNF/PDE3B/CNR1/ADRA2A/SORL1/PPARA/ABCD1/IRS1/SCARB1/AKT2/ABCB11/IRS2/ABHD5/ETFBKMT/ACACB/PRKAA1/TYSND1/MFSD2A/GPLD1/AADAC",26
"4598","Hidradenitis","GO:0060998","regulation of dendritic spine development","26/5292","60/18862",0.00792975281881083,0.0358892317852501,0.0247915286337248,"SDK1/APOE/KALRN/MEF2C/LRP8/LPAR1/ACTR2/TANC2/DNM1L/NLGN1/FSTL4/DHX36/DNM3/CPEB3/C21orf91/SRGAP2C/PTEN/TIAM1/EFNA1/BHLHB9/ZMYND8/SHANK2/PAK3/PPP1R9A/UBE3A/NGEF",26
"4599","Hidradenitis","GO:0050765","negative regulation of phagocytosis","12/5292","22/18862",0.00793232941331663,0.0358892317852501,0.0247915286337248,"CD300LF/TLR2/CD300A/DYSF/PLSCR1/SYT11/SIRPA/CD47/FCGR2B/ATG5/APPL1/PTEN",12
"4600","Hidradenitis","GO:0051882","mitochondrial depolarization","12/5292","22/18862",0.00793232941331663,0.0358892317852501,0.0247915286337248,"IFI6/PPP2R3C/ABCD1/PARP1/MLLT11/KDR/SRC/CASP1/GCLM/BCL2/MYOC/ALOX12",12
"4601","Hidradenitis","GO:0072576","liver morphogenesis","12/5292","22/18862",0.00793232941331663,0.0358892317852501,0.0247915286337248,"IL6/MDK/CEACAM1/XBP1/SULF2/CFLAR/FBXW7/TNFAIP3/RPS6KA1/FGF1/CUL3/NOTCH2",12
"4602","Hidradenitis","GO:0051100","negative regulation of binding","59/5292","159/18862",0.00801417133590578,0.0362215659188236,0.0250210980833511,"ITGA4/SOX11/IL10/SLN/GZMA/ARHGAP28/DACT1/CTSZ/BAG2/HMGA2/NES/FBXW7/ATP2A3/XIRP1/ARRB2/CARD16/MDFI/LEF1/TMC8/CCL23/ACE/BAX/NFATC4/HEY2/MAD2L2/FRMD7/TMBIM6/HFE/SORL1/TEX14/PPARA/AURKA/MSX2/IFIT2/HMOX1/SRI/ZNF593/ID1/SUMO3/JAK2/DNAJB2/PER2/ZNF462/RSF1/TNKS/GSK3B/EPB41L5/LRPAP1/WFIKKN2/ENHO/SENP2/PTPRF/ZNF675/P2RY1/CARD18/SYMPK/MAP2/NOG/CTNNBIP1",59
"4603","Hidradenitis","GO:0051650","establishment of vesicle localization","75/5292","209/18862",0.00801728531134329,0.0362215659188236,0.0250210980833511,"SERPINA1/CSNK1D/ITGA4/MYO1F/TCIRG1/CTSZ/SEC24A/RAB27A/MYO1B/MX2/YKT6/WIPI1/SEC24D/SYT11/CTSC/MX1/MCFD2/GOSR2/STARD3NL/LIN7A/SAR1A/MYO1G/PREB/MYO7A/TMED9/CNIH3/LMAN1/SEC22B/ARFGAP3/DNM2/CEP19/PPP6R1/TOR1A/SAR1B/MYO5A/TANC2/MYO7B/PRKCZ/NLGN1/BORCS5/TRAK1/MYO6/MYO19/CLASP2/DNM3/CUL3/CCDC186/TFG/DYNC1H1/KIF1C/BBS2/TRAPPC10/ASIP/EXOC4/KIF1B/FYCO1/SNAP23/MYO5C/MLPH/TMED10/AP1M2/GOSR1/BICDL2/GPR143/WDR11/RAB11A/PDCD6/RAB27B/SCFD1/COL7A1/PPP6R3/MAP2/MYO5B/BICDL1/KIF13A",75
"4604","Hidradenitis","GO:0050873","brown fat cell differentiation","21/5292","46/18862",0.0080897121122566,0.0364702984130222,0.0251929172738248,"PLAC8/SIX1/DIO2/EBF2/ERO1A/PTGS2/FNDC5/FABP3/LRG1/RGS2/HNRNPU/PEX11A/NUDT7/ARL4A/BMP7/ZBTB7B/CEBPA/PPARGC1A/RREB1/NAPEPLD/ADRB1",21
