"disease","ID","Description","GeneRatio","p.adjust","Count"
"AD","GO:0010883","regulation of lipid storage","7/561",0.026898246536212,7
"AD","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","6/561",0.026898246536212,6
"AD","GO:0019432","triglyceride biosynthetic process","6/561",0.026898246536212,6
"AD","GO:0032570","response to progesterone","6/561",0.026898246536212,6
"AD","GO:0043277","apoptotic cell clearance","6/561",0.026898246536212,6
"AD","GO:1905820","positive regulation of chromosome separation","6/561",0.026898246536212,6
"AD","GO:0042306","regulation of protein import into nucleus","9/561",0.0273071421308264,9
"AD","GO:0032869","cellular response to insulin stimulus","18/561",0.0277212295096022,18
"AD","GO:0002443","leukocyte mediated immunity","24/561",0.0277853980096156,24
"AD","GO:0051347","positive regulation of transferase activity","21/561",0.0277853980096156,21
"AD","GO:0019915","lipid storage","10/561",0.0283710058451279,10
"AD","GO:0036336","dendritic cell migration","5/561",0.0287777446407809,5
"AD","GO:0060907","positive regulation of macrophage cytokine production","5/561",0.0287777446407809,5
"AD","GO:0043410","positive regulation of MAPK cascade","28/561",0.0290896777772507,28
"AD","GO:0043303","mast cell degranulation","7/561",0.0312405387043754,7
"AD","GO:0070663","regulation of leukocyte proliferation","18/561",0.0314312349174365,18
"AD","GO:0002683","negative regulation of immune system process","31/561",0.0315864025989336,31
"AD","GO:0010639","negative regulation of organelle organization","26/561",0.0315864025989336,26
"AD","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","6/561",0.0322425220601956,6
"AD","GO:0046456","icosanoid biosynthetic process","6/561",0.0322425220601956,6
"AD","GO:0032870","cellular response to hormone stimulus","38/561",0.0324597743344374,38
"AD","GO:0034341","response to type II interferon","12/561",0.0325317399440605,12
"AD","GO:0002675","positive regulation of acute inflammatory response","4/561",0.0325317399440605,4
"AD","GO:0007100","mitotic centrosome separation","4/561",0.0325317399440605,4
"AD","GO:0030889","negative regulation of B cell proliferation","4/561",0.0325317399440605,4
"AD","GO:0042308","negative regulation of protein import into nucleus","4/561",0.0325317399440605,4
"AD","GO:0051767","nitric-oxide synthase biosynthetic process","4/561",0.0325317399440605,4
"AD","GO:0051769","regulation of nitric-oxide synthase biosynthetic process","4/561",0.0325317399440605,4
"AD","GO:0090232","positive regulation of spindle checkpoint","4/561",0.0325317399440605,4
"AD","GO:0090267","positive regulation of mitotic cell cycle spindle assembly checkpoint","4/561",0.0325317399440605,4
"AD","GO:1903490","positive regulation of mitotic cytokinesis","4/561",0.0325317399440605,4
"AD","GO:0019882","antigen processing and presentation","11/561",0.0334195546758685,11
"AD","GO:0032868","response to insulin","21/561",0.0337295639162586,21
"AD","GO:0002448","mast cell mediated immunity","7/561",0.0350187336977869,7
"AD","GO:0045931","positive regulation of mitotic cell cycle","13/561",0.0350187336977869,13
"AD","GO:0006536","glutamate metabolic process","5/561",0.0350187336977869,5
"AD","GO:0006654","phosphatidic acid biosynthetic process","5/561",0.0350187336977869,5
"AD","GO:0060421","positive regulation of heart growth","5/561",0.0350187336977869,5
"AD","GO:0090266","regulation of mitotic cell cycle spindle assembly checkpoint","5/561",0.0350187336977869,5
"AD","GO:1903504","regulation of mitotic spindle checkpoint","5/561",0.0350187336977869,5
"AD","GO:0018108","peptidyl-tyrosine phosphorylation","16/561",0.0350566080283648,16
"AD","GO:0048545","response to steroid hormone","23/561",0.0350566080283648,23
"AD","GO:0051235","maintenance of location","23/561",0.0350566080283648,23
"AD","GO:0009636","response to toxic substance","18/561",0.0358171166925295,18
"AD","GO:0033674","positive regulation of kinase activity","18/561",0.0358171166925295,18
"AD","GO:0071900","regulation of protein serine/threonine kinase activity","18/561",0.0358171166925295,18
"AD","GO:0032102","negative regulation of response to external stimulus","25/561",0.0358709657764695,25
"AD","GO:0071347","cellular response to interleukin-1","9/561",0.0363440720063969,9
"AD","GO:0001774","microglial cell activation","6/561",0.0363440720063969,6
"AD","GO:0061081","positive regulation of myeloid leukocyte cytokine production involved in immune response","6/561",0.0363440720063969,6
"AD","GO:0097242","amyloid-beta clearance","6/561",0.0363440720063969,6
"AD","GO:0099172","presynapse organization","6/561",0.0363440720063969,6
"AD","GO:0006690","icosanoid metabolic process","10/561",0.036352166467726,10
"AD","GO:0071675","regulation of mononuclear cell migration","12/561",0.0365568004037247,12
"AD","GO:0044242","cellular lipid catabolic process","18/561",0.0375110595713054,18
"AD","GO:0002758","innate immune response-activating signaling pathway","21/561",0.0382406471251703,21
"AD","GO:2000401","regulation of lymphocyte migration","8/561",0.0386106232635649,8
"AD","GO:0018212","peptidyl-tyrosine modification","16/561",0.0388125761721222,16
"AD","GO:0002279","mast cell activation involved in immune response","7/561",0.0388125761721222,7
"AD","GO:0006739","NADP metabolic process","7/561",0.0388125761721222,7
"AD","GO:0019369","arachidonate metabolic process","7/561",0.0388125761721222,7
"AD","GO:2000404","regulation of T cell migration","7/561",0.0388125761721222,7
"AD","GO:0045055","regulated exocytosis","17/561",0.0391887493134885,17
"AD","GO:0045860","positive regulation of protein kinase activity","17/561",0.0391887493134885,17
"AD","GO:1902807","negative regulation of cell cycle G1/S phase transition","9/561",0.0398164416320279,9
"AD","GO:0000226","microtubule cytoskeleton organization","38/561",0.0398400300917271,38
"AD","GO:0002697","regulation of immune effector process","24/561",0.040842443171653,24
"AD","GO:0034368","protein-lipid complex remodeling","4/561",0.040842443171653,4
