"disease","ID","Description","GeneRatio","p.adjust","Count"
"CSU","GO:0016072","rRNA metabolic process","107/2486",7.22523692275942e-15,107
"CSU","GO:0006364","rRNA processing","96/2486",1.38969211312214e-14,96
"CSU","GO:0006397","mRNA processing","159/2486",8.58179085922621e-13,159
"CSU","GO:0022618","protein-RNA complex assembly","84/2486",5.76806385169643e-12,84
"CSU","GO:0071826","protein-RNA complex organization","87/2486",5.92189263464304e-12,87
"CSU","GO:0008380","RNA splicing","143/2486",2.08118695572342e-10,143
"CSU","GO:0042274","ribosomal small subunit biogenesis","52/2486",3.73304693539073e-10,52
"CSU","GO:0006403","RNA localization","78/2486",8.98878490437109e-10,78
"CSU","GO:0000375","RNA splicing, via transesterification reactions","106/2486",2.31136057432409e-09,106
"CSU","GO:0010608","post-transcriptional regulation of gene expression","157/2486",2.87233498090657e-09,157
"CSU","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","104/2486",4.27057846009345e-09,104
"CSU","GO:0000398","mRNA splicing, via spliceosome","104/2486",4.27057846009345e-09,104
"CSU","GO:0006913","nucleocytoplasmic transport","113/2486",4.27057846009345e-09,113
"CSU","GO:0051169","nuclear transport","113/2486",4.27057846009345e-09,113
"CSU","GO:0051168","nuclear export","66/2486",3.84690978586903e-08,66
"CSU","GO:0006412","translation","185/2486",6.36155856738641e-08,185
"CSU","GO:0030490","maturation of SSU-rRNA","31/2486",6.36155856738641e-08,31
"CSU","GO:0051236","establishment of RNA localization","62/2486",6.36155856738641e-08,62
"CSU","GO:0042273","ribosomal large subunit biogenesis","33/2486",1.16240870397165e-07,33
"CSU","GO:0050657","nucleic acid transport","60/2486",1.53584844291693e-07,60
"CSU","GO:0050658","RNA transport","60/2486",1.53584844291693e-07,60
"CSU","GO:1903311","regulation of mRNA metabolic process","90/2486",3.38180559409031e-07,90
"CSU","GO:0045727","positive regulation of translation","56/2486",4.34064394749827e-07,56
"CSU","GO:0000460","maturation of 5.8S rRNA","23/2486",4.50224595917145e-07,23
"CSU","GO:0006417","regulation of translation","116/2486",5.56660843983341e-07,116
"CSU","GO:0006405","RNA export from nucleus","40/2486",7.38669734566724e-07,40
"CSU","GO:0015931","nucleobase-containing compound transport","75/2486",9.43842422142448e-07,75
"CSU","GO:0006457","protein folding","69/2486",1.1989200533271e-06,69
"CSU","GO:0034504","protein localization to nucleus","100/2486",3.04331589615556e-06,100
"CSU","GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","13/2486",3.38900304495138e-06,13
"CSU","GO:0006401","RNA catabolic process","91/2486",3.56428481647388e-06,91
"CSU","GO:0045088","regulation of innate immune response","116/2486",9.55284698104982e-06,116
"CSU","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","20/2486",9.75876906235709e-06,20
"CSU","GO:0034655","nucleobase-containing compound catabolic process","134/2486",2.22936790354761e-05,134
"CSU","GO:0000380","alternative mRNA splicing, via spliceosome","26/2486",2.70227186490422e-05,26
"CSU","GO:0034976","response to endoplasmic reticulum stress","87/2486",3.31256933809885e-05,87
"CSU","GO:0006413","translational initiation","48/2486",3.57234140201228e-05,48
"CSU","GO:0051028","mRNA transport","47/2486",4.62604985876878e-05,47
"CSU","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","16/2486",7.04606432304502e-05,16
"CSU","GO:0043487","regulation of RNA stability","57/2486",7.04606432304502e-05,57
"CSU","GO:0006402","mRNA catabolic process","76/2486",8.25091221202451e-05,76
"CSU","GO:0141188","nucleic acid catabolic process","92/2486",9.03790707929435e-05,92
"CSU","GO:0002831","regulation of response to biotic stimulus","129/2486",0.000136712932296906,129
"CSU","GO:0000470","maturation of LSU-rRNA","16/2486",0.000204342845420595,16
"CSU","GO:0032103","positive regulation of response to external stimulus","142/2486",0.000204342845420595,142
"CSU","GO:0031349","positive regulation of defense response","117/2486",0.000204342845420595,117
"CSU","GO:0010498","proteasomal protein catabolic process","153/2486",0.000228118750054683,153
"CSU","GO:0006606","protein import into nucleus","55/2486",0.000270661966493505,55
"CSU","GO:0002183","cytoplasmic translational initiation","23/2486",0.000314740789366378,23
"CSU","GO:0045089","positive regulation of innate immune response","94/2486",0.000335016648042283,94
"CSU","GO:0051170","import into nucleus","56/2486",0.000357982107916086,56
"CSU","GO:0043488","regulation of mRNA stability","52/2486",0.000417873246816459,52
"CSU","GO:0061013","regulation of mRNA catabolic process","55/2486",0.000452542094764314,55
"CSU","GO:0000245","spliceosomal complex assembly","31/2486",0.000547786596660802,31
"CSU","GO:0000966","RNA 5'-end processing","20/2486",0.000549315242587593,20
"CSU","GO:0061077","chaperone-mediated protein folding","29/2486",0.000569605977300499,29
"CSU","GO:0042255","ribosome assembly","25/2486",0.000570608239375352,25
"CSU","GO:0048024","regulation of mRNA splicing, via spliceosome","35/2486",0.000621658405411747,35
"CSU","GO:1903313","positive regulation of mRNA metabolic process","44/2486",0.000663713236448393,44
"CSU","GO:0009451","RNA modification","57/2486",0.000741327755413343,57
"CSU","GO:0050684","regulation of mRNA processing","41/2486",0.000741327755413343,41
"CSU","GO:0002833","positive regulation of response to biotic stimulus","97/2486",0.000809401036828648,97
"CSU","GO:1904358","positive regulation of telomere maintenance via telomere lengthening","15/2486",0.00115119994014289,15
"CSU","GO:0000956","nuclear-transcribed mRNA catabolic process","44/2486",0.00117879501089398,44
"CSU","GO:0043414","macromolecule methylation","44/2486",0.00117879501089398,44
"CSU","GO:0031047","regulatory ncRNA-mediated gene silencing","39/2486",0.0012089039430789,39
"CSU","GO:0002218","activation of innate immune response","81/2486",0.0012442479610628,81
"CSU","GO:1900151","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","13/2486",0.0012442479610628,13
"CSU","GO:0043484","regulation of RNA splicing","52/2486",0.00140213358485774,52
"CSU","GO:0051084","'de novo' post-translational protein folding","20/2486",0.00169195337444104,20
"CSU","GO:0071216","cellular response to biotic stimulus","63/2486",0.00175183672359528,63
"CSU","GO:0006399","tRNA metabolic process","61/2486",0.00176536340145603,61
"CSU","GO:0006458","'de novo' protein folding","21/2486",0.00226815029541294,21
"CSU","GO:2000045","regulation of G1/S transition of mitotic cell cycle","52/2486",0.00226815029541294,52
"CSU","GO:0006406","mRNA export from nucleus","27/2486",0.00310302730681218,27
"CSU","GO:0001819","positive regulation of cytokine production","106/2486",0.00310302730681218,106
"CSU","GO:0000381","regulation of alternative mRNA splicing, via spliceosome","17/2486",0.00310302730681218,17
"CSU","GO:0045943","positive regulation of transcription by RNA polymerase I","17/2486",0.00310302730681218,17
"CSU","GO:0070670","response to interleukin-4","17/2486",0.00310302730681218,17
"CSU","GO:0001510","RNA methylation","32/2486",0.00351761753111178,32
"CSU","GO:0035194","regulatory ncRNA-mediated post-transcriptional gene silencing","23/2486",0.00351761753111178,23
"CSU","GO:1903312","negative regulation of mRNA metabolic process","30/2486",0.00416660533493792,30
"CSU","GO:1902369","negative regulation of RNA catabolic process","27/2486",0.00432795811921118,27
"CSU","GO:0002758","innate immune response-activating signaling pathway","73/2486",0.00432795811921118,73
"CSU","GO:0051604","protein maturation","139/2486",0.00436128172900954,139
"CSU","GO:0018279","protein N-linked glycosylation via asparagine","20/2486",0.00451406322369481,20
"CSU","GO:0007004","telomere maintenance via telomerase","25/2486",0.00477124865411004,25
"CSU","GO:0032479","regulation of type I interferon production","40/2486",0.00488379647137103,40
"CSU","GO:0032606","type I interferon production","40/2486",0.00488379647137103,40
"CSU","GO:0010586","miRNA metabolic process","33/2486",0.00488379647137103,33
"CSU","GO:1904356","regulation of telomere maintenance via telomere lengthening","23/2486",0.00511233059655228,23
"CSU","GO:0000963","mitochondrial RNA processing","14/2486",0.00511233059655228,14
"CSU","GO:0042119","neutrophil activation","17/2486",0.00512068913844199,17
"CSU","GO:0072594","establishment of protein localization to organelle","119/2486",0.00528866761268509,119
"CSU","GO:0002237","response to molecule of bacterial origin","80/2486",0.00528866761268509,80
"CSU","GO:0140053","mitochondrial gene expression","59/2486",0.00556610669889008,59
"CSU","GO:0032496","response to lipopolysaccharide","78/2486",0.00558937579875726,78
"CSU","GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","24/2486",0.00566114311634233,24
"CSU","GO:0032212","positive regulation of telomere maintenance via telomerase","13/2486",0.0057284267807481,13
"CSU","GO:0006446","regulation of translational initiation","32/2486",0.00584894356979402,32
"CSU","GO:0071353","cellular response to interleukin-4","16/2486",0.00606196346481599,16
"CSU","GO:0006278","RNA-templated DNA biosynthetic process","25/2486",0.00625111761283707,25
"CSU","GO:0032922","circadian regulation of gene expression","25/2486",0.00625111761283707,25
"CSU","GO:0035195","miRNA-mediated post-transcriptional gene silencing","20/2486",0.00638846523813849,20
"CSU","GO:0036230","granulocyte activation","18/2486",0.00638846523813849,18
"CSU","GO:0016556","mRNA modification","11/2486",0.00712674959320421,11
